Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
11/30/2006 00:00:00,0.6,,646.691,-26.94,,134.376,-26.264,39.543,552.593,,,941.058,189.306,967.322,,5677,172.548,39.543,,,,,,,
11/30/2007 00:00:00,3.3,,957.7,-1.228,,195.757,505.058,60.138,415.813,-0.10306,,1442.024,272.313,936.966,5.54818,10148,274.202,60.138,,,,,,,
11/30/2008 00:00:00,3.2,,1060.103,0.733,-2.636499,175.468,479.092,122.508,410.202,0.049576,0.162851,1515.034,416.439,1035.942,3.284857,10177,293.26,122.508,,,,,,,
11/30/2009 00:00:00,2.9,,1000.227,5.755,1.311575,174.885,480.247,107.767,326.59,0.403062,1.311575,1340.608,338.775,860.361,3.25403,9343,265.263,107.767,,,,,,,
11/30/2010 00:00:00,3.5,,1024.804,43.223,5.905748,200.6,529.397,75.065,300.913,3.203565,9.274576,1357.823,336.736,828.426,2.895079,9475,305.783,75.065,,,,,,,
11/30/2011 00:00:00,3.9,,1094.681,50.518,6.341856,210.878,552.23,61.255,440.425,3.516871,10.100822,1515.072,332.997,962.842,2.872105,10212,321.148,61.255,,,,,,,
11/30/2012 00:00:00,5.632,1.269,1219.068,62.021,7.950255,232.432,580.157,42.779,417.113,4.036747,11.849818,1557.749,364.164,977.592,2.935487,10952,360.799,42.779,,,,,,,
11/30/2013 00:00:00,2.148,1.607,1265.931,62.155,7.718377,235.984,563.405,102.639,404.083,3.917104,11.94115,1615.769,433.555,1052.364,3.048464,11239,364.224,102.639,,,,,,,
11/30/2014 00:00:00,1.5,1.697,1290.016,66.336,8.155136,234.848,604.372,123.766,386.123,4.055142,12.643834,1655.929,455.81,1051.557,3.117976,11096,356.122,123.766,,,,,,,
11/30/2015 00:00:00,1.847,1.805,1282.912,104.217,12.841687,305.466,698.131,248.45,740.782,5.114475,17.817583,2419.445,667.753,1721.314,3.483756,10684,373.772,248.45,73.9,68.85,67.06,,False,False,
11/30/2016 00:00:00,3.163,1.813,1375.46,121.638,7.748432,306.141,763.295,182.438,744.551,5.07491,17.98631,2374.256,541.061,1610.961,3.544164,9904,431.745,182.438,68.85,67.06,,,False,,
11/30/2017 00:00:00,3.508,2.341,1348.255,100.887,8.970539,305.166,789.525,337.295,681.304,4.187613,13.640567,2444.097,673.343,1654.572,3.257361,9749,413.84,337.295,67.06,,,,,,
