Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/2000 00:00:00,2526,,18079,4210,,5845,8955,2281,1751,,,21590,9084,12635,,108201,14268,2281,,,,,,,
12/31/2001 00:00:00,2651,,20489,3087,9.231177,6898,8252,2124,2108,14.053217,40.434408,22343,9430,14091,2.909278,107899,16059,2124,,,,,,,
12/31/2002 00:00:00,2900,,21212,3935,22.460812,7605,7388,1551,3092,17.618088,56.044664,22327,8808,14939,3.197337,106166,16969,1551,,,,,,,
12/31/2003 00:00:00,2791,,21441,4490,36.151203,7840,5804,1452,3651,20.630873,76.941581,21200,8471,15396,3.739433,100919,17253,1452,,,,,,,
12/31/2004 00:00:00,2904,,19986,3908,27.91431,6548,5937,1582,4381,17.70569,72.484466,22944,8564,17007,4.093851,99837,15626,1582,,,,,,,
12/31/2005 00:00:00,3136,,21660,4689,33.663214,7494,7570,1200,5271,18.702884,71.944764,27198,9511,19628,3.84672,99503,16896,1200,,,,,,,
12/31/2006 00:00:00,3457,,23225,5389,32.26927,8607,9648,718,4772,20.43184,64.550518,25553,7265,15905,3.15931,101802,18215,718,,,,,,,
12/31/2007 00:00:00,3237,6.035,22716,5214,24.319343,8717,9910,3504,7067,18.438362,54.916004,31003,10345,21093,2.978356,103401,17510,3504,,,,,,,
12/31/2008 00:00:00,3681,3.470600353462,24352,4602,18.820577,9085,8318,956,15231,13.074607,52.492301,39393,10017,31075,4.014828,,17937,956,,,,,,,
12/31/2009 00:00:00,4106,3.128,28368,5531,27.219001,10150,10742,1471,14786,13.448423,61.674844,42862,12118,32120,4.586028,,20988,1471,,,,,,,
12/31/2010 00:00:00,4457,3.676,28392,1634,-17.700614,5522,9745,291,14809,3.840549,17.298327,42230,12794,32485,4.504129,96461,20800,291,,,,,,,
12/31/2011 00:00:00,4009,6.779,27387,5261,17.731544,9255,8827,2698,12203,12.629936,62.190437,41080,15010,32253,4.92405,97389,19739,2698,,,,,,,
12/31/2012 00:00:00,3979,4.386,26431,4499,13.374783,8806,6737,3631,14671,10.898608,65.052053,41481,13815,34744,5.96884,99488,18506,3631,,,,,,,
12/31/2013 00:00:00,3923,7.207,26505,5436,26.287411,8483,7812,2789,15456,13.00992,84.957412,42086,13677,34274,6.530202,99451,17920,2789,,,,,,,
12/31/2014 00:00:00,3450,3.902,23006,2756,-19.698046,5063,4936,2943,15841,6.662074,48.952043,40651,13295,35715,7.347869,98702,15683,2943,,,,,,,
12/31/2015 00:00:00,3560,6.661,23923,8422,76.378373,11999,8878,1308,15324,17.900677,179.631012,53446,13417,44568,10.034873,101192,15070,1308,1373,1562,1322.5,,True,False,
12/31/2016 00:00:00,3628,6.83,27889,912,-95.543443,4425,4963,4129,14661,1.620944,29.240141,59081,19001,54118,18.038955,99827,18599,4129,1562,1322.5,,,False,,
12/31/2017 00:00:00,4476,,30186,1532,,6224,3489,2825,14264,2.653687,,56381,26569,52892,109.339015,99349,19844,2825,1322.5,,,,,,
12/31/2017 00:00:00,4476,6.83,30186,1532,,7068,3489,2825,14264,2.65368692730076,,56381,26569,52892,93.9347471451876,99349,19844,2825,1322.5,,,,,,
