Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
3/31/1990 00:00:00,,,50.603,21.264,,43.022,764.282,0,227.102,,,1103.397,54.129,339.115,,,,0,,,,,,,
3/31/1991 00:00:00,,,59.824,23.031,-0.104993,50.695,612.953,0,251.113,2.273074,3.344527,923.022,,310.069,1.471368,,,0,,,,,,,
3/31/1992 00:00:00,,,70.783,10.624,-2.163355,,490.056,,394.909,1.132863,1.926367,952.58,,462.524,1.700441,,,,,,,,,,
3/31/1993 00:00:00,,,83.95,27.064,0.743696,,411.657,,404.634,2.956985,6.002797,877.933,,466.276,2.030039,,,,,,,,,,
3/31/1994 00:00:00,,,91.946,16.03,-1.657676,,637.04,227.874,236.25,1.559883,3.057127,1177.349,,540.309,1.959844,,,227.874,,,,,,,
3/31/1995 00:00:00,,,94.204,40.305,1.853147,,657.407,,457.6,3.408184,6.22737,1187.84,,530.433,1.827181,,,,,,,,,,
3/31/1996 00:00:00,,,96.74,34.747,0.855137,,643.204,,495.423,2.893307,5.343181,1214.048,,570.844,1.846738,,,,,,,,,,
3/31/1997 00:00:00,,,97.685,34.844,0.336868,,798.904,,480.691,2.670536,4.83237,1395.466,,596.562,1.809514,,,,,,,,,,
3/31/1999 00:00:00,,,116.6,42.8,,,1068.9,566.9,198.1,,,1912.9,,844,,,,566.9,,,,,,,
3/31/2000 00:00:00,,,120.8,46.1,1.05613,,1127.8,,761.4,2.375554,4.197205,1968.3,,840.5,1.766832,82,,,,,,,,,
3/31/2001 00:00:00,,,106.8,16.2,-1.102528,,847.4,,693.1,0.900325,1.64034,1630.4,,783,1.821942,77,,,,,,,,,
3/31/2002 00:00:00,,,85.3,4.5,-2.039762,,701.8,,417.4,0.319568,0.580945,1185.9,,484.1,1.817906,64,,,,,,,,,
3/31/2003 00:00:00,,,72.6,-20.5,,,568.5,,286.7,-1.955267,-3.227584,911,,342.5,1.650712,45,,,,,,,,,
3/31/2004 00:00:00,,,63.8,30.7,1.699566,,561.2,61.6,221,3.361621,5.435071,915.5,,354.3,1.616801,50,,61.6,,,,,,,
3/31/2005 00:00:00,,,51.8,25.2,1.430512,,543.3,61.4,184.3,2.795806,4.563151,887.2,,343.9,1.632141,56,,61.4,,,,,,,
3/31/2006 00:00:00,,,44.5,148.3,21.761267,,654.7,212.4,131.8,14.826293,24.75793,1113.3,,458.6,1.669866,,,212.4,,,,,,,
3/31/2007 00:00:00,,1.005,73.6,382.8,42.301989,,1076,246,157.3,28.872044,44.238992,1538.4,61.8,462.4,1.532243,,,246,,,,,,,
3/31/2008 00:00:00,,0.882,84.6,-4.1,,,1049.4,281,156.8,-0.268659,-0.385846,1513.8,26.6,464.4,1.436194,74,,281,,,,,,,
3/31/2009 00:00:00,,0.859,47.1,-436.1,,,568.6,252.5,152.8,-34.666137,-53.909389,1002.2,28.3,433.6,1.555102,77,,252.5,,,,,,,
3/31/2010 00:00:00,,0.792,48.7,156.4,18.181126,,876.7,134,146.3,14.283105,21.642566,1187.8,30.6,311.1,1.515256,69,,134,,,,,,,
3/31/2011 00:00:00,,1.364,67.8,260.1,23.570982,,1112.7,207.9,172.7,19.174346,26.148588,1525.2,31.6,412.5,1.363728,78,,207.9,,,,,,,
3/31/2012 00:00:00,,2.913,57.9,155.2,11.000133,,1238.3,363.2,175.5,8.896787,13.202892,1963.7,186.7,725.4,1.484007,85,,363.2,,,,,,,
3/31/2013 00:00:00,,4.927,69.1,180.6,10.898783,,1537.7,521,185.4,8.426848,13.011527,2322.6,78.2,784.9,1.544056,85,,521,,,,,,,
3/31/2014 00:00:00,,3.409,85.2,422.2,22.600926,,1931.9,476.8,175.8,17.001913,24.337099,2643.9,58.7,712,1.431433,91,,476.8,,,,,,,
3/31/2015 00:00:00,,3.527,88.8,508.2,22.092327,,2390.9,494.5,172.5,17.590557,23.512538,3134.2,73.1,743.3,1.336657,96,,494.5,,,,,,,
3/31/2016 00:00:00,,2.65,128.8,556.2,19.792015,,2912.2,456.2,194.5,16.275531,20.97641,3700.6,135,788.4,1.288831,96,,456.2,888.926,795.516,665.9,,False,False,
3/31/2017 00:00:00,,1.416,121.9,-139.4,,,2738.4,393.8,179.8,-3.89092,-4.933989,3464.8,147,726.4,1.268078,102,,393.8,795.516,665.9,,,False,,
9/30/2017 00:00:00,,1.416,129.9,-51.3,-0.912406041809115,,2634.8,387.7,184.6,-1.44297708957428,-1.87857038230555,3333.6,274.9,698.8,1.26524231370505,,,387.7,708.76,,,,,,
