Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/2002 00:00:00,,,106.253,-80.514,,45.273,-28.632,0,0,,,227.992,196.8,256.624,,,4.317,0,,,,,,,
12/31/2003 00:00:00,,,,,,,,,,,,,,,,1532,,,,,,,,,
12/31/2004 00:00:00,,,312.2,-2.4,,41.7,93.7,15.6,61.7,,,373.8,182.4,280.1,,1881,54,15.6,,,,,,,
12/31/2005 00:00:00,,,463.3,44.5,36.017807,81,152.8,29.3,8.8,11.018943,36.017807,433.9,229.9,281.1,3.268717,2605,117,29.3,,,,,,,
12/31/2006 00:00:00,,,680,82.3,40.493639,121.4,224.5,10.7,46.8,14.77691,43.625762,680,340.8,455.5,2.952293,3732,184.1,10.7,,,,,,,
12/31/2007 00:00:00,,,862.4,103.1,34.983725,167.3,309.8,16.3,25.2,13.376581,38.6287,861.5,448.2,551.7,2.887786,4730,251.9,16.3,,,,,,,
12/31/2008 00:00:00,,,1077.2,113.9,24.550777,202.4,480.3,6.4,1.9,11.108402,28.861016,1189.2,592.3,708.9,2.598125,5442,305.7,6.4,,,,,,,
12/31/2009 00:00:00,0,,1055.1,67,9.027986,156.3,499.5,7.4,0.7,5.831158,13.680449,1108.8,504.5,609.3,2.346095,5387,235.6,7.4,,,,,,,
12/31/2010 00:00:00,0,,1040.4,1.5,-4.666945,80.6,485.8,7.8,5.3,0.133215,0.304507,1143.2,541.8,657.4,2.28583,5687,204,7.8,,,,,,,
12/31/2011 00:00:00,0,,1162.6,41.7,2.916653,129.6,500.7,2.4,6.8,3.538546,8.454988,1213.7,578.4,713,2.389396,6452,279.1,2.4,,,,,,,
12/31/2012 00:00:00,0,,1244.1,70.9,7.928488,160,527.4,5.4,6.9,5.637723,13.792433,1301.5,612.5,774.1,2.446455,7138,320.7,5.4,,,,,,,
12/31/2013 00:00:00,7.2,,1533.5,66.9,6.308439,188.1,514.2,1.2,140.7,4.545146,12.845622,1642.3,758.8,1128.1,2.826229,8375,373.8,1.2,,,,,,,
12/31/2014 00:00:00,8.7,,1676.1,69.9,6.157578,224,537.4,1.4,209.4,3.895235,13.294028,1946.7,891.9,1409.3,3.412895,8700,383.1,1.4,,,,,,,
12/31/2015 00:00:00,10.3,1.9683,1927,119.9,13.919978,305,583.7,9.2,245.3,5.610275,21.389707,2327.6,1085.7,1743.9,3.812595,9290,428.4,9.2,333.2,246,257.4,,False,False,
12/31/2016 00:00:00,2.9,2.9079,2233.4,138.8,13.844531,380.5,742,7.8,193.6,5.564576,20.939881,2661.1,1183.1,1919.1,3.763069,8608,448.8,7.8,246,257.4,,,False,,
12/31/2017 00:00:00,,1.1209,2352.3,114,8.451911,377,727.7,8.5,342.9,4.129612,15.51337,2860,1224.7,2132.3,3.756617,8788,401.6,8.5,257.4,,,,,,
12/31/2017 00:00:00,,1.1209,2352.3,,,,,,,,,,,,,,,,257.4,,,,,,
