Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1995 00:00:00,,,7428,1615,,2241,6140,1548,966,,,10222,,4082,,4918,,1548,,,,,,,
12/31/1996 00:00:00,,,6766,1286,12.44458,1780,6945,585,450,12.648144,19.660602,10113,,3168,1.554426,2252,,585,,,,,,,
12/31/1997 00:00:00,,,6581,2274,29.118381,2695,8674,1940,2105,18.933433,29.118381,13908,,5234,1.537935,3332,,1940,,,,,,,
12/31/1998 00:00:00,,,6658,1918,12.280137,2490,9974,2709,2157,12.752236,20.570571,16173,,6199,1.613095,,,2709,,,,,,,
12/31/1999 00:00:00,,,8481,4334,29.579474,4860,13525,2874,1499,24.492103,36.886676,19218,,5693,1.506064,2916,,2874,,,,,,,
12/31/2000 00:00:00,,,5810,1027,1.244077,1732,13502,2543,3968,5.047675,7.599808,21474,,7972,1.505606,2947,,2543,,,,,,,
12/31/2001 00:00:00,,,7570,1223,2.625125,2092,13355,2898,4066,5.612409,9.107495,22108,,8753,1.622743,4004,,2898,,,,,,,
12/31/2002 00:00:00,,,9485,4365,22.66668,4862,16640,1808,2547,19.714112,29.105821,22175,,5535,1.476395,3232,,1808,,,,,,,
12/31/2003 00:00:00,,,3540,-867,,-239,16413,728,2632,-4.009249,-5.246279,21075,,4662,1.308544,2581,,728,,,,,,,
12/31/2004 00:00:00,,,5848,1557,9.400471,1771,16713,1630,4283,6.912473,9.400471,23974,,7261,1.359929,2632,,1630,,,,,,,
12/31/2005 00:00:00,,,15228,14202,39.574992,14320,48227,1246,4037,36.352467,43.738836,54161,,5934,1.203188,1177,,1246,,,,,,,
12/31/2006 00:00:00,,,11943,11621,18.521711,,58491,2505,2778,19.552123,21.778894,64711,,6220,1.113889,1128,,2505,,,,,,,
12/31/2007 00:00:00,,,-1726,-1942,,,54837,1416,9857,-2.964795,-3.42722,66293,,11456,1.155972,,,1416,,,,,,,
12/31/2008 00:00:00,,,-28518,-29114,,,23583,2229,9749,-56.936676,-74.251466,35975,,12392,1.304106,21,,2229,,,,,,,
12/31/2009 00:00:00,,,21278,20669,59.007667,21193,42544,2330,8513,46.051356,62.513043,53790,,11246,1.357464,21,,2330,,,,,,,
12/31/2010 00:00:00,,,15486,14870,26.954314,15393,56327,2458,11123,23.728029,30.079599,71547,,15220,1.267682,,,2458,,,,,,,
12/31/2011 00:00:00,,,-14949,-15647,,-15053,39140,2923,13947,-24.322455,-32.779913,57116,,17976,1.347722,,,2923,,,,,,,
12/31/2012 00:00:00,,,11714,11008,20.699742,11592,48378,4305,14235,17.51221,25.155968,68602,,20224,1.436482,23,,4305,,,,,,,
12/31/2013 00:00:00,,,12840,12140,18.313548,,59280,3798,13803,16.499161,22.552899,78557,,19277,1.366912,21,,3798,,,,,,,
12/31/2014 00:00:00,,,5789,5265,4.046225,,67406,3905,11666,6.475378,8.311889,84059,,16653,1.283615,23,,3905,,,,,,,
12/31/2015 00:00:00,,,3590,3104,1.392914,,67850,2149,11163,3.72638,4.589815,82537,,14687,1.231709,25,,2149,158.9,180.2,211.6,,True,True,
12/31/2016 00:00:00,,,16765,16451,18.890645,,82129,5425,7382,18.467566,21.937738,95624,,13495,1.187906,20,,5425,180.2,211.6,,,True,,
12/31/2017 00:00:00,,,15743,15555,14.786893,,95880,4523,7170,15.251196,17.476644,108360,,12480,1.14592,20,,4523,211.6,,,,,,
