Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/2009 00:00:00,0,,13456,-777,,107,3873,847,4019,,,16373,5382,12500,,57563,,847,,,,,,,
12/31/2010 00:00:00,0,,14798,100,3.240966,1282,2825,538,4114,0.683387,3.240966,12893,4208,10068,4.742505,,,538,,,,,,,
12/31/2011 00:00:00,,1.494,16103,562,14.208065,1427,5686,579,4304,3.442995,14.208065,19753,6529,14067,4.126659,56791,,579,,,,,,,
12/31/2012 00:00:00,,1.334,18117,-716,,801,2978,670,4128,-3.697488,-17.757937,18976,7564,15998,4.802703,59574,,670,,,,,,,
12/31/2013 00:00:00,0,5.861,18569,122,3.704266,1586,4216,587,4535,0.61379,3.704266,20777,8317,16561,6.035069,60089,,587,,,,,,,
12/31/2014 00:00:00,,7.896,20170,982,26.562077,2367,3793,713,5904,4.420536,26.562077,23652,9801,19859,6.008791,59484,,713,,,,,,,
12/31/2015 00:00:00,0,8.871,22858,1495,24.97991,3670,5534,1132,7498,5.762411,34.324417,28236,11366,22702,5.956607,60862,,1132,610.5,440.9,651,,False,False,
12/31/2016 00:00:00,0,3.04,22567,1931,27.083727,3871,5664,926,7589,6.944919,36.495936,27373,9336,21709,5.255056,63387,,926,440.9,651,,,True,,
12/31/2017 00:00:00,,4.531,22972,2001,23.254319,3925,7396,930,6401,7.325109,32.157493,27261,9692,19865,4.390036,63994,,930,651,,,,,,
12/31/2017 00:00:00,,4.531,22972,2021,11.1601531319303,3925,7396,930,6401,7.39832338836622,32.4789071916432,27261,9692,19865,,63994,,930,651,,,,,,
