Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1991 00:00:00,,,106,34.2,,51.2,952,367.9,284.8,,,1898.8,,946.8,,,,367.9,,,,,,,
12/31/1992 00:00:00,,,116.7,35.7,-1.079325,60.7,989.3,414.2,135,1.993856,2.994255,1682.2,,692.9,2.07799,,,414.2,,,,,,,
12/31/1993 00:00:00,,,123.3,50.4,0.347533,65.1,1066.9,56.6,474.9,2.965055,4.138803,1717.4,,650.5,1.790111,,,56.6,,,,,,,
12/31/1994 00:00:00,,,136.2,59.5,0.822138,80.9,1368.5,306.7,330.3,3.085619,4.852617,2139.2,,770.7,1.933327,,,306.7,,,,,,,
12/31/1995 00:00:00,,,182.6,161.5,9.977449,96.7,1484.3,283.3,566.8,6.99331,13.843251,2479.5,,995.2,2.125593,,,283.3,,,,,,,
12/31/1996 00:00:00,,,221.1,70.7,1.235521,119.3,1815.5,339.7,442.7,2.700071,4.844544,2757.4,,941.9,2.128389,,,339.7,,,,,,,
12/31/1997 00:00:00,,,248.7,89.6,1.948182,143.6,2242,362.4,472.1,2.334032,5.335743,4920.3,,2678.3,2.570027,,,362.4,,,,,,,
12/31/1998 00:00:00,,,262.7,77.5,0.898864,152.1,2613.9,240.5,762.1,1.432307,4.221938,5901.4,,3287.5,2.947648,,,240.5,,,,,,,
12/31/1999 00:00:00,,,283.1,81.8,0.58401,161.7,2833.3,412.3,685.4,1.230501,3.852584,7394,,4560.7,3.130908,,,412.3,,,,,,,
12/31/2000 00:00:00,,,299.9,105.5,1.863124,194.2,2366.6,2.9,1688.9,1.807126,4.603268,4282,,1915.4,2.547287,,,2.9,,,,,,,
12/31/2001 00:00:00,,,311.2,70.8,0.362118,197.9,2341.9,6.3,1778.3,1.62036,3.016231,4456.8,,2114.9,1.861458,835,,6.3,,,,,,,
12/31/2002 00:00:00,,,336.4,81,0.453695,213.5,2683.5,13.1,1881.9,1.737713,3.223624,4865.8,,2182.3,1.855096,813,,13.1,,,,,,,
12/31/2003 00:00:00,,,361.2,80.6,0.104638,229.1,2859.4,11.2,2037.1,1.601192,2.908225,5201.7,,2342.3,1.816288,802,,11.2,,,,,,,
12/31/2004 00:00:00,,,382.6,332.1,7.649807,244.7,2534.2,13.2,2366.3,5.935073,12.314595,5989.4,240.2,3455.2,2.074885,787,,13.2,,,,,,,
12/31/2005 00:00:00,,,431.3,366.3,8.37342,285.9,2933.1,173.5,2810.2,5.517148,13.399667,7289.2,417.5,4356.1,2.428731,811,,173.5,,,,,,,
12/31/2006 00:00:00,,,527.9,1564.1,36.639489,341.4,4732.4,43.5,3341.3,19.503223,40.808819,8750.2,369.7,4017.8,2.092414,515,,43.5,,,,,,,
12/31/2007 00:00:00,,0.652877,548.7,-105,,331.4,4708.9,152.3,3704,-1.171698,-2.272875,9172.5,597.5,4463.6,1.939812,507,,152.3,,,,,,,
12/31/2008 00:00:00,,0.595967,607.9,-2451.3,,321.1,1985.8,95.2,4195.5,-29.350911,-75.832947,7530.9,1280.5,5545.1,2.583666,,,95.2,,,,,,,
12/31/2009 00:00:00,,0.967972,404.9,-338.8,,-289.5,2421.1,235.9,3652.7,-4.647717,-15.473499,7048.3,,4627.2,3.329269,617,,235.9,,,,,,,
12/31/2010 00:00:00,,0.732365,420,511.8,16.520934,736.6,2293.3,165.4,2632.1,7.888713,21.804239,5927.2,,3633.9,2.763979,,,165.4,,,,,,,
12/31/2011 00:00:00,,0.755449,523.4,30,-3.772495,484.5,2945.6,175.9,3435.6,0.45021,1.154846,7399.9,,4454.3,2.565124,586,,175.9,,,,,,,
12/31/2012 00:00:00,,1.81,531.9,155.9,0.942517,388.5,3006.2,491.3,3354.5,2.079831,5.285552,7591.7,334.8,4585.5,2.541337,645,,491.3,,,,,,,
12/31/2013 00:00:00,,1.081,515.3,359.8,6.650451,422.8,3621.1,472.8,3542.1,4.579473,11.077927,8121.9,320,4500.8,2.41904,2027,,472.8,,,,,,,
12/31/2014 00:00:00,,1.154,541.2,586.2,10.113393,894.9,4596.8,491.7,3862.3,6.629759,14.577013,9562,354.1,4965.2,2.198724,2177,,491.7,,,,,,,
12/31/2015 00:00:00,,1.621,578.5,518.4,7.050229,620.2,5054.9,498.4,3973.2,5.260568,10.913225,10146.9,427.2,5092,2.074534,2544,,498.4,317.3,281.3,253,,False,False,
12/31/2016 00:00:00,,1.814,594.9,182.7,-0.122549,399,5046.4,848.3,3814.3,1.78104,3.670444,10369.2,460.7,5322.8,2.060843,2550,,848.3,281.3,253,,,False,,
12/31/2017 00:00:00,,1.493,619,216.7,0.549046,411.5,5129.2,722,4275.8,2.047846,4.310808,10794.5,489.5,5665.3,2.105045,2603,,722,253,,,,,,
12/31/2017 00:00:00,,1.493,619,216.7,-1.78822263226684,411.5,5129.2,722,4275.8,2.0478460760642,4.31080785374684,10794.5,489.5,5665.3,2.17313002880699,2603,,722,253,,,,,,
