Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1994 00:00:00,,,70.080206,22.392778,,,414.162975,0,21.415581,,,486.376717,,72.213729,,,,0,,,,,,,
12/31/1995 00:00:00,,,70.688322,14.223341,-0.23632,,451.738916,0,31.700705,2.752728,3.599143,547.022916,,95.283985,1.307482,,,0,,,,,,,
12/31/1996 00:00:00,,,76.737959,15.044889,-0.220171,,483.780505,0,49.440131,2.614339,3.815316,603.928754,,120.148268,1.459381,,,0,,,,,,,
12/31/1997 00:00:00,,,76.00849,11.373459,-1.158178,,466.864754,0,103.882421,1.832093,2.901667,637.652033,,170.787264,1.583799,,,0,,,,,,,
12/31/1998 00:00:00,,,130.908429,25.766629,-0.651031,,856.990624,321.049852,196.807569,2.224629,4.372574,1678.835721,,821.845357,1.96553,,,321.049852,,,,,,,
12/31/1999 00:00:00,,,167.207001,50.231495,2.25681,129.439888,863.638915,421.725046,202.523178,2.920692,6.34476,1760.862374,,897.223431,2.172348,202,,421.725046,,,,,,,
12/31/2000 00:00:00,,,283.23999,59.48,2.915031,171.488998,988.993973,827.79303,201.531998,2.919039,7.263461,2314.450928,,1325.457031,2.488305,204,,827.79303,,,,,,,
12/31/2001 00:00:00,,,412.148987,65.294998,2.709739,330.269005,1249.667023,558.083008,1386.307983,2.211478,7.432259,3590.648926,,2340.981934,3.360765,355,,558.083008,,,,,,,
12/31/2002 00:00:00,,,443.675995,81.098999,2.860074,367.657997,1463.311035,505.976013,1597.973999,2.154886,8.031759,3936.337891,,2473.0271,3.727231,495,,505.976013,13.9523,15.4653,21.123,25.7107,True,True,True
12/31/2003 00:00:00,,,485.423004,88.294998,-0.083667,405.295006,2239.302979,316.29599,2111.129883,1.93923,6.030529,5169.852051,,2930.549072,3.109754,530,,316.29599,15.4653,21.123,25.7107,46.3635,True,True,True
12/31/2004 00:00:00,,,469.585999,105.147003,-0.031647,378.944992,2244.968018,324.049988,2567.766113,1.95643,5.73714,5579.01416,,3334.045898,2.932454,687,,324.049988,21.123,25.7107,46.3635,34.014,True,True,True
12/31/2005 00:00:00,,,536.799,120.449,-0.225348,421.533,2304.588,818.13,2605.717,2.037819,6.471198,6242.35,,3937.762,3.175551,,,818.13,25.7107,46.3635,34.014,17.5,True,True,False
12/31/2006 00:00:00,,,635.136,164.534,0.876605,512.045,2392.105,281.441,3680.254,2.511734,8.580869,6858.877,,4466.772,3.416312,1032,,281.441,46.3635,34.014,17.5,28.39,False,False,False
12/31/2007 00:00:00,,,765.582,197.712,1.243274,625.317,2482.032,439.195,4400.82,2.664368,9.993848,7982.314,,5500.282,3.750926,1103,,439.195,34.014,17.5,28.39,26.995,False,False,False
12/31/2008 00:00:00,,,943.765,200.277,-0.36009,763.623,3170.356,432.044,6971.343,2.020423,9.627202,11842.94,,8672.584,4.764944,1516,,432.044,17.5,28.39,26.995,22.04,True,True,False
12/31/2009 00:00:00,,0.395514,1003.35,162.102,-2.95226,764.931,3531.128,924.189,6670.504,1.330871,7.321662,12517.345,1456.228,8986.217,5.501406,1519,,924.189,28.39,26.995,22.04,30.02,False,False,False
12/31/2010 00:00:00,,0.437505,1028.698,124.574,-5.633582,788.293,3665.471,1739.085,5952.508,0.985122,5.33885,12773.728,2276.401,9108.257,5.419479,1495,,1739.085,26.995,22.04,30.02,33.685,False,False,False
12/31/2011 00:00:00,,0.468173,1064.255,142.414,-5.898837,811.75,3423.221,1178.745,6856.237,1.104794,6.336571,13007.373,1673.853,9584.152,5.735524,1476,,1178.745,22.04,30.02,33.685,35.73,True,True,True
12/31/2012 00:00:00,,0.525735,1096.558,166.587,-6.157962,825.732,3620.724,1043.28,6699.826,1.284579,7.735243,12929.055,1596.981,9308.331,6.021615,1453,,1043.28,30.02,33.685,35.73,40.99,True,False,True
12/31/2013 00:00:00,,0.592505,1053.526,53.601,-11.888929,773.963,3397.454,2153.583,5284.123,0.428791,2.493401,12071.948,2692.256,8674.494,5.814959,1346,,2153.583,33.685,35.73,40.99,37.345,False,True,False
12/31/2014 00:00:00,,0.803618,919.547,639.978,10.710086,671.739,3565.895,751.177,4880.377,5.727378,28.375479,10276.081,1188.334,6710.186,4.954358,1137,,751.177,35.73,40.99,37.345,36.665,True,False,False
12/31/2015 00:00:00,,0.966544,1309.1,274.7,-4.347335,898.3,11729.3,2849.1,6714.1,1.627385,4.598339,23483.6,3585.4,11754.3,2.8256,1496,,2849.1,40.99,37.345,36.665,,False,False,
12/31/2016 00:00:00,,2.162687,1318.9,1191.3,6.736651,1819.4,12536.2,2673,6745.6,4.982361,12.135752,24337.1,3436.5,11800.9,2.435743,1234,,2673,37.345,36.665,,,False,,
12/31/2017 00:00:00,,1.023678,1332.1,1228.6,6.502431,1835.9,12960.4,2347.1,7368.3,4.965756,11.984529,25145.8,3060.7,12185.4,2.413435,1200,,2347.1,36.665,,,,,,
12/31/2017 00:00:00,,1.023678,1332.1,1228.6,,1835.9,12960.4,2347.1,7368.3,4.96575584696936,11.9845291687598,25145.8,3060.7,12185.4,2.46059588753672,1200,,2347.1,36.665,,,,,,
