Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/2002 00:00:00,,,4341.8,157.1,,415.8,1129.4,596.2,975.8,,,4566.3,2164.5,3436.9,,35864,,596.2,,,,,,,
12/31/2003 00:00:00,88,,5344.4,216.9,,499.4,1114.3,353.5,683.9,5.044597,19.722664,4033,2014.8,2918.7,3.909661,33305,,353.5,,,,,,,
12/31/2004 00:00:00,66.9,,4447.4,325.6,16.093732,449.1,1373.9,190,225.5,8.953787,26.427499,3239.9,1282.8,1866,2.951544,31514,449.1,190,,,,,,,
12/31/2005 00:00:00,41.400002,,3242.199951,110.199997,,241.800003,669.200012,215.600006,144.199997,4.093306,10.787528,2144.5,1157.5,1475.300003,2.635407,27238,,215.600006,,,,,,,
12/31/2006 00:00:00,50.3,,3600.8,234.8,16.017393,421.4,698.6,48.6,100.2,9.412708,34.420582,2844.5,1798.6,2145.9,3.65682,29321,2199,48.6,,,,,,,
12/31/2007 00:00:00,50.7,0.7497,4078.9,180.1,2.282594,391,749.2,62.1,175.8,6.10612,24.944598,3054.5,1885.1,2305.3,4.08518,32544,2381.1,62.1,,,,,,,
12/31/2008 00:00:00,58.3,0.7547,4602.8,417.3,28.387769,623.2,1035.9,11.5,172.4,12.807096,46.785134,3462.2,2048.5,2426.3,3.653064,34831,2625.3,11.5,,,,,,,
12/31/2009 00:00:00,62,0.7557,4743.7,465.6,11.454618,628.9,1339.2,95.8,27.2,13.029972,39.234853,3684.4,2064.7,2345.2,3.011123,33988,2646.2,95.8,,,,,,,
12/31/2010 00:00:00,70.9,0.7557,4986.6,535.3,21.630341,759.9,1600.6,40.7,28.7,13.669037,36.443476,4147.9,2245,2547.3,2.666133,33755,2863.1,40.7,,,,,,,
12/31/2011 00:00:00,82.5,0.7582,5225.2,643.6,15.774242,791,2034,75.6,21.1,14.503499,35.499173,4727.2,2396.6,2693.2,2.447628,37542,2883.4,75.6,,,,,,,
12/31/2012 00:00:00,86.1,0.7587,6276.8,601.1,7.951494,877.4,1833.7,91.1,20.9,12.191585,31.314631,5133.7,2861.8,3300,2.568545,39851,3112.8,91.1,,,,,,,
12/31/2013 00:00:00,96.5,0.7587,6932.6,701.8,10.797228,1031.9,1724.6,118.1,21.1,13.396965,40.027377,5343.3,3217.4,3618.7,2.987794,43298,3516.2,118.1,,,,,,,
12/31/2014 00:00:00,103.1,,7334.5,755.6,7.506192,1119.9,2062.4,163.1,31.2,12.912597,40.71011,6360,3839.4,4297.6,3.152744,47064,3741.2,163.1,,,,,,,
12/31/2015 00:00:00,121.7,0.75,8647.3,1032.3,13.771778,1341.5,2575.5,204.4,32.5,14.890088,45.421745,7505.6,4413.9,4930.1,3.050469,49734,4369.2,204.4,39.17,42.57,44.78,,False,False,
12/31/2016 00:00:00,140.5,0.75,8784.3,1023.7,8.591016,1399.8,2795.6,25.7,203.1,13.245864,38.554534,7951.3,4438.5,5155.7,2.910685,52104,4679,25.7,42.57,44.78,,,False,,
12/31/2017 00:00:00,158.4,,8942.4,968,4.17886,1331.4,2907.4,40.4,194.7,12.339777,34.102519,7737.8,4205,4830.4,2.763625,55075,,40.4,44.78,,,,,,
12/31/2017 00:00:00,158.500000762939,,8942.4,968,,1331.5,2907.4,40.4,194.7,12.3397772976143,34.1025189360578,7737.8,4205,4830.4,2.81499199650757,55075,,40.4,44.78,,,,,,
