Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1988 00:00:00,,,4008.600098,226.199997,,1162.900024,4812.000122,684.400024,1356.099976,,,8095,1340.5,3283,,23063,1531.700195,684.400024,,,,,,,
12/31/1989 00:00:00,,,4975,280.200012,7.757223,1325.100037,5034.199951,883.599976,1534.599976,3.269888,9.771067,9043.200195,1782.800049,4009,2.988196,25308,1804,883.599976,,,,,,,
12/31/1990 00:00:00,,,5246.600098,187.100006,4.389096,1233.399963,4745.700073,1085.800049,1842.300049,2.025571,6.645356,9430.599609,2186.399902,4684.899963,3.280732,29557,1771.700195,1085.800049,,,,,,,
12/31/1991 00:00:00,7,,6560,136,2.507668,,4107,1079,2606,1.429127,5.14976,9602,2145,5495,3.603431,32162,1993,1079,,,,,,,
12/31/1992 00:00:00,9,,7836,261,6.857629,1559,5421,1726,2587,2.427004,9.359871,11906,3044,6485,3.856554,35245,2512,1726,,,,,,,
12/31/1993 00:00:00,10,,8428,287,6.331278,1724,5772,1138,2968,2.365547,9.076534,12359,2620,6587,3.83697,36413,2915,1138,,,,,,,
12/31/1994 00:00:00,5,,9105,406,9.095991,2026,5613,1466,3503,3.178829,11.881768,13185,2957,7572,3.737782,36143,3265,1466,,,,,,,
12/31/1995 00:00:00,8,,8270,450,8.682944,1816,5732,1310,3925,3.256857,11.871785,14449,2928,8717,3.645166,43923,3005,1310,,,,,,,
12/31/1996 00:00:00,10,,9951,43,-1.832677,2045,6433.100098,1907,4700,0.272427,1.010089,17119.099609,3666,10686,3.707744,42970,3552,1907,,,,,,,
12/31/1997 00:00:00,10,,11265,618,10.079058,2462,6890.299805,2140,4542,3.594862,13.063606,17263.300781,3873,10373,3.633965,40779,4210,2140,,,,,,,
12/31/1998 00:00:00,4,,11268,682,10.583057,2595,6711.200195,1598,6325,3.851638,13.350952,18150.199219,3337,11439,3.466305,40520,4447,1598,,,,,,,
12/31/1999 00:00:00,5,,12194,795,10.878038,2857,8232,1982,7272,3.989742,13.667778,21702,4167,13470,3.42573,39327,4895,1982,,,,,,,
12/31/2000 00:00:00,5,,13531,886,10.32609,3365,9000,3295,8053,3.795164,13.096822,24989,5790,15989,3.450924,44316,6074,3295,,,,,,,
12/31/2001 00:00:00,6,,13644,812,8.368444,3335,10383,2729,9281,3.121096,11.016144,27044,5258,16661,3.529575,47362,6490,2729,,,,,,,
12/31/2002 00:00:00,4,,13010,506,4.375637,3341,9435,2885,8777,1.927472,7.121745,25460,5168,16025,3.694863,51115,6243,2885,,,,,,,
12/31/2003 00:00:00,12,,12600,686,6.887397,3251,9499,2660,8157,2.728448,10.238042,24825,5224,15326,3.752332,481220,6036,2660,,,,,,,
12/31/2004 00:00:00,9,,13215,881,7.765095,2568,10661,2709,7907,3.47706,11.504309,25850,5350,15189,3.308631,46909,6598,2709,,,,,,,
12/31/2005 00:00:00,22,,18468,1511,11.358303,4555,14250,2682,13380,4.724754,15.14787,38111,6782,23861,3.206065,,8729,2682,,,,,,,
12/31/2006 00:00:00,25,,23969,2104,11.959916,5966,18725,3590,12470,5.081328,15.793424,44702,8621,25977,3.108129,88783,11353,3590,,,,,,,
12/31/2007 00:00:00,27,,27052,3865,17.650696,6777,21945,3616,12629,8.319611,22.762743,48211,9025,26266,2.736035,89364,12979,3616,,,,,,,
12/31/2008 00:00:00,24,,25157,1782,6.959578,4991,17974,5863,12789,3.815682,10.439367,45193,10765,27219,2.735911,86713,11041,5863,,,,,,,
12/31/2009 00:00:00,17,,21132,1471,5.763136,4630,22044,4449,13771,3.116558,8.554564,49206,9280,27162,2.744875,81498,9060,4449,,,,,,,
12/31/2010 00:00:00,15,,21653,1182,3.780902,4513,21121,2461,12151,2.529289,6.366133,44259,7214,23138,2.516966,80310,9274,2461,,,,,,,
12/31/2011 00:00:00,8,,20744,275,-0.29773,3958,19657,2814,11523,0.633546,1.574533,42554,7695,22897,2.485271,80967,8528,2814,,,,,,,
12/31/2012 00:00:00,61,4.950494,21160,610,1.418823,3889,19234,3522,9852,1.456682,3.667298,41198,8299,21964,2.51757,76359,8631,3522,,,,,,,
12/31/2013 00:00:00,74,3.219414,19719,1272,5.189633,3895,18677,2919,8785,3.214475,7.79364,37944,7460,19267,2.424545,70857,8632,2919,,,,,,,
12/31/2014 00:00:00,64,5.239905,18825,1287,5.125613,3647,20112,2469,9197,3.324121,7.652743,39490,6847,19378,2.302185,67584,8365,2469,,,,,,,
12/31/2015 00:00:00,105,5.781555,23584,-1469,,3682,35722,6823,14859,-2.604887,-6.021109,73298,14832,37576,2.311466,100956,7094,6823,50.3,53.65,54.95,,False,False,
12/31/2016 00:00:00,141,8.956308,26904,1791,1.767842,5242,34747,4947,14666,2.506385,5.760046,69617,12509,34870,2.298149,90000,11272,4947,53.65,54.95,,,False,,
12/31/2017 00:00:00,96,,26129,-1675,,1537,30975,3733,14766,-2.513204,-5.715846,63679,11519,32704,2.274326,81000,7781,3733,54.95,,,,,,
12/31/2017 00:00:00,,8.956308,26129,-1675,,1536,30975,3733,14766,-2.51320369703517,-5.71584568922862,63679,11519,32704,2.27339541128074,81000,7781,3733,54.95,,,,,,
