Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1988 00:00:00,431,,39502,2058,,5657,12019,7137,2891,,,33138,14082,21119,,180376,17123,7137,,,,,,,
12/31/1989 00:00:00,539,,48036,2412,13.249585,6403,14624,6799,2628,7.038123,19.056648,35403,13981,20779,2.707632,196852,20887,6799,,,,,,,
12/31/1990 00:00:00,566,,46369,2272,11.240721,6344,14010,7254,2262,6.402164,16.616082,35573,14381,21563,2.595385,197981,20691,7254,,,,,,,
12/31/1991 00:00:00,627,,50486,2470,11.667501,6949,16020,6577,2788,6.626247,17.170664,38979,14889,22959,2.59131,200080,22988,6577,,,,,,,
12/31/1992 00:00:00,669,,54500,2698,12.486281,7675,14650,11012,3596,6.466612,18.428332,44465,20019,29815,2.849766,209572,25747,11012,,,,,,,
12/31/1993 00:00:00,672,,57486,2887,13.010669,8423,16570,9004,4073,6.454786,19.518626,44988,18166,28418,3.0239,213880,27714,9004,,,,,,,
12/31/1994 00:00:00,691,,56894,3250,12.914298,8325,17774,7546,4180,7.20501,19.936204,45227,17297,27453,2.766992,212687,27575,7546,,,,,,,
12/31/1995 00:00:00,657,,56484,2918,10.725096,7989,18779,7802,3591,6.521545,16.706266,44261,17410,25482,2.561704,220172,26437,7802,,,,,,,
12/31/1996 00:00:00,710,,60490,3401,11.117349,8292,23050,9248,3443,7.137685,17.036091,51036,19859,27986,2.386781,221144,28995,9248,,,,,,,
12/31/1997 00:00:00,777,,69998,4182,13.176213,10051,21423,9713,3193,8.150696,19.659646,51581,20985,30158,2.41202,225808,34182,9713,,,,,,,
12/31/1998 00:00:00,807,,71747,4205,12.470404,9991,23379,10545,4047,7.766614,19.368508,56703,22567,33324,2.493816,231881,35784,10545,,,,,,,
12/31/1999 00:00:00,893,,74660,4724,12.821537,10987,25078,7967,4905,8.170042,19.988153,58939,22182,33861,2.446518,230929,38748,7967,,,,,,,
12/31/2000 00:00:00,1038,,81422,5763,13.212683,12516,30513,8376,4768,9.260583,21.204261,65524,23174,35011,2.289733,224541,43301,8376,,,,,,,
12/31/2001 00:00:00,1162,,84698,6681,13.062291,12443,34229,25486,9946,8.387421,21.023648,93786,41492,59557,2.506569,229765,46942,25486,,,,,,,
12/31/2002 00:00:00,1208,,89160,7564,14.002804,12541,35632,18702,10548,8.351643,22.093703,87352,33737,51720,2.645432,254199,50639,18702,,,,,,,
12/31/2003 00:00:00,1205,,87979,6213,9.358568,13693,37823,15419,14064,7.023791,17.330786,89561,30365,51738,2.46744,253000,50396,15419,,,,,,,
12/31/2004 00:00:00,1433,,84690,6621,9.178887,13327,40299,14722,10731,7.494991,17.397131,87117,29075,46818,2.321168,244000,49378,14722,,,,,,,
12/31/2005 00:00:00,1499,,91115,8081,10.590866,14604,49068,18841,8277,8.513709,18.633984,102718,35854,53650,2.188703,250000,53198,18841,,,,,,,
12/31/2006 00:00:00,1734,,98458,9197,10.506595,16363,52848,15494,6952,8.99361,18.676197,101805,32479,48957,2.076608,,57745,15494,,,,,,,
12/31/2007 00:00:00,1875,17.440958,107552,10649,11.727692,18173,54776,24541,6129,9.807244,20.554344,115361,43326,60585,2.095833,276000,62515,24541,,,,,,,
12/31/2008 00:00:00,1359,7.98703,103086,18039,8.386737,15781,54916,15383,6344,16.282449,34.891345,106215,33640,51299,2.142881,283000,57330,15383,,,,,,,
12/31/2009 00:00:00,1357,10.030403,100579,10428,6.588627,15950,53631,14341,8884,9.605261,20.921065,110916,36083,57285,2.178084,278000,57112,14341,,,,,,,
12/31/2010 00:00:00,1403,10.572493,88015,34233,15.323441,15325,62598,12539,7358,30.763355,61.802459,111641,30146,49043,2.008964,281000,43240,12539,,,,,,,
12/31/2011 00:00:00,1423,9.799615,83770,9487,5.406863,15396,58274,16100,6004,8.405543,15.989685,114091,35232,55817,1.902279,328000,39643,16100,,,,,,,
12/31/2012 00:00:00,1413,9.965431,89931,10228,6.240875,16437,62664,18408,9008,8.52447,17.364436,125877,38597,63213,2.037011,339000,42431,18408,,,,,,,
12/31/2013 00:00:00,1503,9.296276,92373,10015,4.997492,16233,64139,11380,10363,8.131732,16.207862,120442,32917,56303,1.993162,333000,44262,11380,,,,,,,
12/31/2014 00:00:00,1628,11.428013,91865,14456,11.178177,13963,71884,8810,12396,11.387519,21.78667,133450,32895,61566,1.913206,339000,44312,8810,,,,,,,
12/31/2015 00:00:00,1678,11.172205,89083,9066,3.116224,15586,63986,9629,11601,7.04314,13.687834,123992,33321,60006,1.943428,335000,44353,9629,74.55,73.05,83.8,,False,False,
12/31/2016 00:00:00,1736,11.21248,89786,8531,2.163431,16295,65981,12118,11091,6.667631,13.442266,131901,37517,65920,2.016048,328000,45587,12118,73.05,83.8,,,True,,
12/31/2017 00:00:00,1724,,90121,7183,-0.052342,13339,62777,10536,15932,5.477332,11.393088,130380,36054,67603,2.080043,323000,45198,10536,83.8,,,,,,
