Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1994 00:00:00,2778.676199,,27830.064127,2676.659297,,5125.798883,17426.257069,6879.107443,2851.902797,,,39285.49595,14765.398135,21859.238881,,144284,15829.500332,6879.107443,,,,,,,
12/31/1995 00:00:00,2990.579103,,30476.434558,3574.789197,12.177892,6385.611347,22435.242138,5341.765572,4841.895521,8.242666,17.605913,44085.593,12268.907563,21650.350862,2.135949,133959,17572.93788,5341.765572,,,,,,,
12/31/1996 00:00:00,2961.596967,,29351.078478,1866.389336,-12.976171,6129.760463,20915.608663,5423.450336,4178.491412,4.230822,8.661166,43336.071695,14041.822255,22420.463032,2.047159,116178,17237.36922,5423.450336,,,,,,,
12/31/1997 00:00:00,2547.541017,,21508.889496,3594.702475,12.756214,5570.374685,18486.423637,5105.669927,2469.735312,9.354048,19.130658,36515.97018,11665.412762,18029.546543,2.045174,87239,14716.136614,5105.669927,,,,,,,
12/31/1998 00:00:00,2699.854023,,21912.640103,4154.153272,13.732154,5742.546652,22991.266376,4421.39738,2066.229985,10.965653,20.653986,40920.669578,10909.752547,17929.403202,1.883516,82449,14964.628674,4421.39738,,,,,,,
12/31/1999 00:00:00,2827.626535,,21620.088427,4434.565496,12.932114,5894.99531,23545.283019,4703.773585,1537.106918,10.938629,19.410599,41211.949686,10951.572327,17666.666667,1.7745,81854,15079.120969,4703.773585,,,,,,,
12/31/2000 00:00:00,2759.741899,,21218.071436,4272.651726,13.090483,5563.336256,22874.481392,2340.082977,1413.709827,11.655068,19.465968,36036.90631,7207.876649,13162.424918,1.670172,67653,15148.654102,2340.082977,,,,,,,
12/31/2001 00:00:00,2484.521751,,18767.658577,4165.977747,11.797386,5207.472184,25514.519822,3721.532715,1501.385709,11.242267,17.758226,40222.315942,8553.440174,14702.976262,1.579595,71116,14090.42331,3721.532715,,,,,,,
12/31/2002 00:00:00,2798.2864,,20902.986588,4716.263758,11.945446,6035.759949,28786.277774,2886.299486,2772.671347,11.253972,17.852478,45742.201636,8404.139828,16955.923862,1.586327,72877,15990.02374,2886.299486,,,,,,,
12/31/2003 00:00:00,3758.851895,,24882.881755,5019.808475,10.883463,7176.40266,30519.002461,2779.000141,3190.999925,10.835312,17.405601,49317.000584,9319.996623,18797.996176,1.606377,78541,18984.406636,2779.000141,,,,,,,
12/31/2004 00:00:00,4171,,28247,5365,10.596467,7578,31315,4119,2736,10.539757,17.417134,52488,11849,21173,1.652518,81392,20979,4119,,,,,,,
12/31/2005 00:00:00,4825,,31005,6130,12.647229,8896,33164,7135,1319,11.123208,19.106394,57732,15328,24568,1.717705,90924,22746,7135,,,,,,,
12/31/2006 00:00:00,5321,,34393,7175,11.964539,9691,41294,6643,656,11.412438,19.365461,68008,16234,26714,1.696873,100735,24982,6643,,,,,,,
12/31/2007 00:00:00,6430,12.114586389217,38072,11946,13.496127,10121,49396,5117,677,16.65412,26.448513,75452,16641,26056,1.588106,,27040,5117,,,,,,,
12/31/2008 00:00:00,7217,15.817734778659,41459,8195,7.765987,12109,50437,4840,2195,10.660093,16.470541,78299,16487,27862,1.545065,96717,30020,4840,,,,,,,
12/31/2009 00:00:00,7469,18.9107370272,45103,8400,6.984572,12283,57462,5313,8675,9.666061,15.602508,95505,19470,38043,1.614154,99834,32924,5313,,,,,,,
12/31/2010 00:00:00,9070,10.640835386421,51561,9794,8.207821,14945,69769,8627,14360,8.951527,16.244413,123318,24658,53549,1.814709,,37073,8627,,,,,,,
12/31/2011 00:00:00,9583,17.800908786401,59375,9113,4.623606,16786,65940,6374,13855,7.568497,14.124303,117496,23148,51556,1.866197,123686,40392,6374,,,,,,,
12/31/2012 00:00:00,9332,14.113446980777,57561,9270,4.93337,16113,69263,5945,13781,7.671079,13.735266,124191,24051,54928,1.790526,127724,38805,5945,,,,,,,
12/31/2013 00:00:00,9071,14.276808596156,52716,9175,3.86175,15377,74472,6673,11242,7.326958,12.789239,126254,26368,51782,1.745505,135696,36137,6673,,,,,,,
12/31/2014 00:00:00,9086,13.832898641833,53634,10210,5.065587,15597,70844,6560,13799,8.114735,14.07218,125387,26973,54543,1.734152,133413,36289,6560,,,,,,,
12/31/2015 00:00:00,8935,12.05530854967,50387,17783,1.206149,14202,77122,5574,16327,13.841981,24.061646,131556,23708,54434,1.738309,118700,32983,5574,86.8,74.1,82.4,,False,False,
12/31/2016 00:00:00,9039,12.17438993345,49436,6712,0.241428,13618,74891,5789,17897,5.12993,8.838673,130124,22209,55233,1.722962,118393,31916,5789,74.1,82.4,,,True,,
12/31/2017 00:00:00,8972,13.310340783016,50135,7703,1.629694,13827,74227,5201,23224,5.853277,10.339597,133079,23403,58852,1.766463,121597,32960,5201,82.4,,,,,,
12/31/2017 00:00:00,8972,13.3103407830162,50135,7703,,14961,74227,5201,23224,5.85327674836533,10.3395973154362,133079,23403,58852,1.82996197407137,122000,32960,5201,82.4,,,,,,
