Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1989 00:00:00,,,148.542056,1.272606,,,15.228318,9.680289,18.249542,,,90.433215,38.134704,75.204901,,2280,,9.680289,,,,,,,
12/31/1990 00:00:00,,,189.004159,2.780917,1.441994,,69.445198,21.3403,40.787289,1.988356,6.568682,189.286908,70.141575,119.841704,3.303574,2387,,21.3403,,,,,,,
12/31/1991 00:00:00,,,185.436366,-1.571711,,,65.367645,30.066519,24.464294,-0.874427,-2.331738,170.1968,70.974984,104.829153,2.66659,2356,,30.066519,,,,,,,
12/31/1992 00:00:00,,,181.31331,-7.93934,,,56.749818,45.248309,7.408108,-4.832769,-13.003065,158.366013,84.686299,101.616195,2.690604,2134,,45.248309,,,,,,,
12/31/1993 00:00:00,,,180.47171,0.64525,0.507832,,56.419012,31.031328,14.791674,0.420992,1.140363,148.171882,66.868289,91.752864,2.708751,2,,31.031328,,,,,,,
12/31/1994 00:00:00,14.776335,,184.104445,0.670815,-0.868017,,57.619525,36.639178,8.181693,0.454863,1.176486,146.780652,48.850871,89.161124,2.586463,2067,,36.639178,,,,,,,
12/31/1995 00:00:00,14.571819,,200.063904,0.954071,0.075993,13.971562,58.151269,29.807805,17.711661,0.639619,1.648862,151.543852,65.102796,93.392575,2.577879,2220,,29.807805,,,,,,,
12/31/1996 00:00:00,13.651494,,210.26061,0.15032,-1.314868,13.338071,57.561749,20.350439,16.152733,0.100517,0.260142,147.550664,58.691196,89.988905,2.588055,2205,,20.350439,,,,,,,
12/31/1997 00:00:00,14.980852,,229.870701,5.865029,5.38279,21.764161,62.656262,23.700424,11.991328,3.983871,9.765421,146.888019,56.941552,84.231756,2.451239,2134,,23.700424,,,,,,,
12/31/1998 00:00:00,16.821504,,245.205868,7.663754,3.406652,25.620325,138.430744,19.697008,5.501501,4.236527,7.622327,214.906207,55.20674,76.47546,1.799192,2333,,19.697008,,,,,,,
12/31/1999 00:00:00,19.071187,,267.671536,9.876625,3.722832,32.853059,145.148605,24.593139,2.1055,4.246582,6.974892,250.250273,83.051695,105.101669,1.642472,2925,,24.593139,,,,,,,
12/31/2000 00:00:00,27.299999,,411.782013,2.338,-1.48077,26.156001,134.071996,77.376999,2.089,0.830993,1.682236,312.450012,156.207001,178.378001,2.024369,3635,,77.376999,,,,,,,
12/31/2001 00:00:00,24.6,,449.256012,3.043,-0.940723,31.358999,139.474997,132.229004,13.66,0.844075,2.243836,408.575989,231.307007,269.101007,2.658337,3745,,132.229004,,,,,,,
12/31/2002 00:00:00,22.997999,,476.528992,3.989,-0.201712,36.374999,133.882997,91.087997,56.299999,0.988949,2.947348,398.139008,162.194,264.256001,2.980283,3741,208.292999,91.087997,,,,,,,
12/31/2003 00:00:00,25.229,,442.260986,4.364,0.078058,41.795,128.927997,64.231003,49.999001,1.141915,3.339647,366.19101,136.707001,237.263,2.924602,3661,203.990982,64.231003,,,,,,,
12/31/2004 00:00:00,27.587999,,467.562988,15.234,6.217861,52.824001,136.528004,32.980999,52.707001,4.21324,11.488818,356.958008,128.688995,220.429996,2.726837,3757,215.792984,32.980999,,,,,,,
12/31/2005 00:00:00,32.695999,,484.300995,22.112,9.421355,63.924,148.351006,27.785999,42.792,6.113319,15.52569,366.446014,111.754997,218.094997,2.53965,3623,226.145996,27.785999,,,,,,,
12/31/2006 00:00:00,35.532001,,521.052979,29.02,14.959945,70.041002,168.931007,33.939999,28.49,7.80332,18.292875,377.339996,120.365997,208.408998,2.344243,3696,245.675964,33.939999,,,,,,,
12/31/2007 00:00:00,41.529,,589.027,30.132,8.131787,79.072,334.098,193.742,13.627,5.189468,10.577995,783.935,301.334,449.837,2.523507,4518,274.246,193.742,,,,,,,
12/31/2008 00:00:00,43.918,,611.621,12.36,1.848879,78.945,333.382,46.775,192.736,1.499146,3.023183,865.004,254.98,531.622,2.838212,4660,286.35,46.775,,,,,,,
12/31/2009 00:00:00,40.2,,602.084,-7.305,,63.289,319.245,21.867,261.414,-0.866842,-2.598248,820.424,156.857,501.179,2.997372,4323,272.285,21.867,,,,,,,
12/31/2010 00:00:00,42.6,,659.317,31.02,7.564049,116.3,327.182,18.062,206.608,3.810422,11.285089,807.742,182.509,480.56,2.961637,4515,316.157,18.062,,,,,,,
12/31/2011 00:00:00,44.3,1.182,733.1,41.563,9.562131,136.525,366.062,34.573,271.244,4.701981,14.231906,960.151,230.528,594.089,3.026789,,357.438,34.573,,,,,,,
12/31/2012 00:00:00,49,1.302,845.71,48.51,10.078255,164.801,404.431,96.693,246.63,4.776858,15.128904,1070.891,280.782,666.46,3.167124,5491,415.919,96.693,,,,,,,
12/31/2013 00:00:00,47.71,1.251,791.559,52.424,9.618436,157.178,450.251,28.192,368.825,4.655336,14.935293,1181.32,221.914,731.069,3.208209,6058,384.602,28.192,,,,,,,
12/31/2014 00:00:00,43.56,1.725,891.168,48.494,7.446556,176.743,497.662,13.41,378.665,3.951674,12.668979,1273.032,248.901,775.37,3.205977,5611,422.763,13.41,25.3125,60.1125,70.5,79.54,True,True,True
12/31/2015 00:00:00,52.511,1.576,1114.752,126.303,19.308942,257.891,644.751,30.744,366.044,9.320336,27.587435,1437.235,270.95,792.484,2.959918,6185,551.747,30.744,60.1125,70.5,79.54,,True,True,
