Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1988 00:00:00,,,6225.377697,62.366894,,,1185.214866,701.753346,972.548505,,,9989.496382,7240.718523,8804.281386,,75138,,701.753346,,,,,,,
12/31/1989 00:00:00,,,6896.107519,92.018223,13.311205,,1471.529361,498.7217,1073.164857,1.076976,16.09836,7098.758117,3905.377884,5627.228569,14.947739,80769,,498.7217,,,,,,,
12/31/1990 00:00:00,297.275584,,7629.936347,82.032812,7.956271,,1875.44307,508.097315,1394.832283,1.100009,10.739768,7816.183192,3888.806795,5940.740048,9.76335,83701,,508.097315,,,,,,,
12/31/1991 00:00:00,312.520485,,9010.102558,23.904006,0.287267,,1921.95528,1422.50178,2291.232505,0.263479,2.614859,10328.710333,5208.100293,8406.755053,9.924347,101219,,1422.50178,,,,,,,
12/31/1992 00:00:00,335.387838,,9393.908442,1.219592,-2.298991,907.224102,1944.944562,1175.991719,2180.935641,0.012066,0.135129,9887.385911,4889.344881,7942.441349,11.199603,97451,,1175.991719,,,,,,,
12/31/1993 00:00:00,340.876003,,8594.618245,61.741852,-0.141719,786.941827,2592.852885,938.323701,1662.151635,0.637058,3.637507,9496.049284,4093.103664,6903.196399,5.709853,91458,3323.541025,938.323701,,,,,,,
12/31/1994 00:00:00,358.40764,,8531.961699,103.512883,1.279814,741.51202,2506.71919,609.186273,1485.920571,1.13625,4.14454,8724.04746,3585.448436,6217.32827,3.647561,89762,3313.631839,609.186273,,,,,,,
12/31/1995 00:00:00,384.323972,,9058.520604,124.550847,1.754433,833.896124,2561.14349,671.080574,1286.059909,1.380382,5.027383,9321.800057,4162.163069,6760.656567,3.642022,92695,3492.302087,671.080574,,,,,,,
12/31/1996 00:00:00,398.65418,,9396.500075,201.232703,3.667786,880.240626,2878.847242,491.495632,1091.99231,2.325315,7.619707,7986.194217,2746.369046,5107.346975,3.276849,62998,3685.75989,491.495632,,,,,,,
12/31/1997 00:00:00,375.32948,,7225.778519,335.08294,5.701589,969.57575,3717.774183,360.237028,931.463495,4.036027,10.366458,8618.400291,3230.242226,4900.626108,2.568481,61499,3297.167345,360.237028,,,,,,,
