Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1998 00:00:00,,,13882.280704,-7.41957,,2224.811101,5679.859349,858.714044,5052.744289,,,18938.10808,4296.214044,13258.248731,,,,858.714044,,,,,,,
12/31/1999 00:00:00,,,17788.60058,601.891146,7.095964,3332.574889,5581.693649,1115.068493,5053.549191,2.951853,11.129808,21782.067248,6704.234122,16200.373599,3.770448,,,1115.068493,,,,,,,
12/31/2000 00:00:00,74.636989,,26149.342261,1837.822085,18.874718,8556.743984,7957.488229,315.216407,3870.540565,8.31431,29.078046,24181.569178,6294.141615,16224.080949,3.497349,16789,,315.216407,,,,,,,
12/31/2001 00:00:00,70.434226,,25713.165675,1918.859746,18.521739,8208.758482,5937.360678,737.070887,3921.310745,8.34414,28.837793,22257.579135,6486.40214,16320.218457,3.456054,16000,,737.070887,,,,,,,
12/31/2002 00:00:00,92.833504,,30546.511473,2124.827739,19.420724,7561.13758,8457.084272,624.241899,4737.047305,8.316446,30.969474,29664.125224,8595.130827,21207.040952,3.723883,17115,11891.643977,624.241899,,,,,,,
12/31/2003 00:00:00,104.099276,,35151.468574,2341.385084,15.982066,9133.579992,10719.553607,641.315242,4935.300013,7.753085,26.030144,33150.328362,8602.929077,22430.774754,3.357392,19326,13985.794363,641.315242,,,,,,,
12/31/2004 00:00:00,152.66334,,45153.267202,3703.758298,17.312698,12272.973044,14262.24651,778.575191,5178.265736,10.606096,32.10742,40861.700026,10063.043192,26599.453516,3.027261,23899,17180.497384,778.575191,,,,,,,
12/31/2005 00:00:00,165.485445,,59713.389304,5491.601903,35.981033,17860.319403,10336.637478,210.250256,4824.939622,13.52121,46.151036,40747.507075,11480.790031,26778.82977,3.413233,25644,23896.346687,210.250256,,,,,,,
12/31/2006 00:00:00,252.320112,,81029.730871,7981.341053,26.731384,31998.280977,27127.255841,889.846114,7880.830758,13.931527,43.30041,73471.632852,18391.007062,46344.377012,3.108088,25435,42058.608593,889.846114,,,,,,,
12/31/2007 00:00:00,336.991389,1.424468932868,89282.180207,7546.964083,9.858455,30116.48741,32908.863691,1133.185084,8154.852701,9.361801,25.554899,88805.616305,23774.281881,55896.752614,2.729699,29500,44715.796422,1133.185084,,,,,,,
12/31/2008 00:00:00,402.704871,,117054.977233,7767.733509,14.948916,43187.090187,31035.69633,2972.778855,7843.999138,8.144759,22.110417,83198.017669,22820.369173,52162.321339,2.71468,29500,57954.132394,2972.778855,,,,,,,
12/31/2009 00:00:00,331.387144,,73901.411259,2927.492893,-0.38167,26795.360192,34563.291249,598.283217,16574.034094,3.207116,8.881226,97210.659942,19310.350783,62647.368694,2.769225,28739,40991.294848,598.283217,,,,,,,
12/31/2010 00:00:00,338.749152,,87287.953894,6308.188367,8.702415,30934.837608,38813.454714,2011.006532,17109.328122,6.314894,18.227114,110281.506626,24949.510535,71468.051912,2.886369,30344,44644.322243,2011.006532,,,,,,,
12/31/2011 00:00:00,393.024728,,115282.313174,14068.713874,23.307426,46573.698104,47725.827504,3313.363901,18675.323806,11.16073,31.613307,128618.762341,28632.14967,80892.934837,2.832548,31715,58211.58707,3313.363901,,,,,,,
12/31/2012 00:00:00,481.497666,2.38014279528,121113.859247,11848.281843,15.850192,45415.547675,57548.391739,3310.066921,18169.389077,8.873149,23.039625,141109.591998,29412.822911,83561.200259,2.596556,23028,58433.180991,3310.066921,,,,,,,
12/31/2013 00:00:00,544.817359,2.3311372763,104979.494929,6793.191449,5.217134,37592.397795,58724.555442,2820.758141,27300.320016,4.778443,11.827479,146085.579493,27531.259279,87361.024051,2.475174,23413,52728.105059,2820.758141,,,,,,,
12/31/2014 00:00:00,477.302312,2.011351941783,96542.347593,3484.306876,-0.271628,29354.092174,50907.439804,3538.948465,27390.125666,2.339744,5.948662,131729.010029,23904.595291,80821.570225,2.542442,22516,48605.285415,3538.948465,,,,,,,
12/31/2015 00:00:00,335.270574,1.758928773129,57778.295668,-4656.535757,,12554.0204,40110.243869,2315.573076,29820.063029,-3.840049,-10.195759,109193.389886,15282.782302,69083.146017,2.655111,21581,31552.686287,2315.573076,,,,,,,
12/31/2016 00:00:00,298,1.356,45688,-2922,,10209,35099,3674,27999,-2.734375,-7.776617,104530,16798,69431,2.844019,20538,24183,3674,,,,,,,
12/31/2017 00:00:00,307,1.812,60971,4590,4.380963,22227,39885,4091,24183,4.257293,12.250944,111100,19017,71215,2.877637,20245,32759,4091,,,,,,,
12/31/2017 00:00:00,,1.812,60971,4590,8.78283457761677,22116,39885,4091,24183,4.25729258451978,12.2509441767979,111100,19017,71215,2.84655095113047,20245,32759,4091,,,,,,,
