Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/2003 00:00:00,91.364998,,1155.194946,-322.588989,,110.819,120.149963,76.491997,1115.112061,,,1939.793945,296.014008,1819.644073,,5344,414.647949,76.491997,,,,,,,
12/31/2004 00:00:00,82.307999,,1135.844971,-57.062,,148.823996,71.04303,60.530998,1104.337036,-3.057076,-59.690472,1793.31604,261.096985,1722.27301,19.525349,5162,444.633972,60.530998,,,,,,,
12/31/2005 00:00:00,87.75,,1148.855957,-52.405998,,134.239002,25.733032,16.167999,1181.620972,-2.923223,-108.303639,1792.178955,237.656006,1766.445984,37.0494,5003,476.343933,16.167999,,,,,,,
12/31/2006 00:00:00,78.022,,1229.421,-89.848,,241.163,550.641,177.976,492.525,-4.998059,-31.176977,1803.137,445.878,1252.496,6.237817,4889,516.93,177.976,,,,,,,
12/31/2007 00:00:00,82.252,8.009729,1274.458,97.436,6.427095,272.01,642.713,176.695,431.967,5.422058,16.329773,1790.923,403.785,1148.21,3.01173,5046,560.757,176.695,,,,,,,
12/31/2008 00:00:00,86.185,0.74814,1319.862,90.386,4.848471,262.072,648.395,347.646,362.792,4.910145,14.001307,1890.679,548.016,1242.284,2.851506,5219,557.485,347.646,,,,,,,
12/31/2009 00:00:00,91.6,2.194265,1361.954,84.349,3.777894,249.568,688.964,289.941,364.576,4.455943,12.614264,1895.231,503.002,1206.267,2.830885,4954,567.104,289.941,,,,,,,
12/31/2010 00:00:00,107.9,1.296556,1571.89,133.5,9.720322,336.985,842.117,178.15,455.332,6.752264,17.438659,2058.998,450.13,1216.881,2.582639,5288,681.708,178.15,,,,,,,
12/31/2011 00:00:00,107.6,1.03387,1583.647,146.535,8.575114,315.938,866.735,140.383,461.833,7.01244,17.15011,2120.289,408.115,1253.554,2.445669,5434,653.604,140.383,,,,,,,
12/31/2012 00:00:00,113.8,1.822486,1734.934,157.492,9.242842,338.853,879.308,111.629,450.066,7.375761,18.039876,2150.24,364.751,1270.932,2.445833,5669,700.555,111.629,,,,,,,
12/31/2013 00:00:00,127,1.725475,1830.386,172.335,9.794189,373.137,951.063,45.002,513.709,7.904075,18.830609,2210.422,328.102,1259.359,2.382392,5959,770.838,45.002,,,,,,,
12/31/2014 00:00:00,138.9,1.921632,2120.107,185,7.407232,436.291,1432.173,130.854,1253.784,5.957885,15.643127,3999.836,559.561,2567.663,2.625618,8160,888.403,130.854,49.695,61.33,57.83,71.62,True,False,True
12/31/2015 00:00:00,169.6,1.945734,2601.73,246.778,9.581009,572.181,1588.235,41.568,1380.354,6.030988,16.54826,4183.832,501.426,2595.597,2.743872,8273,1111.589,41.568,61.33,57.83,71.62,,False,False,
12/31/2016 00:00:00,186.152,1.962108,2903.187,252.71,8.789721,606.552,1732.174,547.221,1224.27,5.655568,15.597573,4752.847,1027.91,3020.673,2.757914,8897,1185.469,547.221,57.83,71.62,,,True,,
12/31/2017 00:00:00,196.432,2.028813,2996.294,270.27,9.219774,630.304,1769.336,89.381,1543.624,5.733671,15.969676,4674.621,603.381,2905.285,2.785245,9247,1224.469,89.381,71.62,,,,,,
12/31/2017 00:00:00,,2.028813,2996.367,,,602.844,,,,,,,,,,,,,71.62,,,,,,
