Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1995 00:00:00,,,15566.374524,943.337964,,7772.451156,11218.671466,,15819.401736,,,29888.887913,233.858398,18670.216447,,,,,,,,,,,
12/31/1996 00:00:00,,,20118.062047,894.503349,,8584.734567,17402.015215,,19262.292965,2.592563,8.121732,39116.445537,370.816054,21714.430322,3.132704,,,,,,,,,,
12/31/1997 00:00:00,,,22112.618591,1347.43605,,10509.38144,18348.164254,,21636.44533,3.316743,9.779777,42134.103198,869.713418,23785.938944,2.948608,,,,,,,,,,
12/31/1998 00:00:00,,,23480.712917,1977.513467,,11914.660662,19859.833598,,23153.7957,4.526085,11.459955,45248.854757,835.110806,25389.021159,2.53198,,,,,,,,,,
12/31/1999 00:00:00,,,28207.016583,4939.030197,34.969818,8611.970438,26308.004565,5901.036529,24284.009978,8.179042,36.152301,75523.971347,20501.014838,49215.966781,4.420114,129073,,5901.036529,,,,,,,
12/31/2000 00:00:00,,,30116,-940,,12284,30973,14439,25130,-1.102698,-8.170355,94967,30537,63994,7.409424,120973,,14439,,,,,,,
12/31/2001 00:00:00,,,32016,-3090,,12737,25960,8020,36913,-3.273288,-23.954417,93834,23260,67874,7.318152,116020,,8020,,,,,,,
12/31/2002 00:00:00,,,31408,-773,,13285,20231,6084,33708,-0.874311,-6.55557,82991,20645,62760,7.497986,106620,,6084,,,,,,,
12/31/2003 00:00:00,,,30850,1192,-4.00878,13568,20585,10065,30772,1.458211,8.721419,80497,23634,59912,5.980904,93187,,10065,,,,,,,
12/31/2004 00:00:00,,,28292,1815,0.121957,12411,20798,4204,37469,2.236172,11.225878,81834,17905,61036,5.020132,91365,,4204,,,,,,,
12/31/2005 00:00:00,,,29919,3216,-1.099516,12731,26985,9563,41416,3.616653,15.347173,96010,22481,69025,4.243474,85484,,9563,,,,,,,
12/31/2006 00:00:00,,,31275,3014,0.605121,12850,27098,5422,39352,3.250174,11.664087,89457,17468,62359,3.588758,83209,,5422,,,,,,,
12/31/2007 00:00:00,,,31290,2448,3.139071,11617,26985,6585,37051,2.768307,9.426261,87402,19139,60417,3.405064,83429,,6585,,,,,,,
12/31/2008 00:00:00,,,29000,2177,4.45055,11090,26328,6267,36527,2.516007,8.451087,85650,18966,59322,3.358929,77825,,6267,,,,,,,
12/31/2009 00:00:00,842,,26894,1581,3.252082,11044,27120,6475,33677,1.83926,6.133851,86267,19211,59147,3.334956,73589,,6475,,,,,,,
12/31/2010 00:00:00,698,,27571,3121,7.053614,11360,32610,6611,32036,3.558763,11.396542,89131,18071,56521,3.202388,84200,,6611,,,,,,,
12/31/2011 00:00:00,611,3.68,29957,-4811,,4816,26694,5859,33307,-5.561303,-18.644035,83886,17411,57192,3.352458,84154,,5859,,,,,,,
12/31/2012 00:00:00,602,2.968,25759,-1627,,6398,23012,5783,31520,-2.015597,-7.716752,77555,16816,54543,3.828519,83184,,5783,,,,,,,
12/31/2013 00:00:00,977,3.662,23407,-674,,7271,20186,5896,29058,-0.912198,-3.699333,70220,16349,50034,4.055408,82198,,5896,0.721,0.882,1.175,0.837,True,True,False
12/31/2014 00:00:00,1118,2.988,21573,1350,7.669147,8814,21699,4441,30156,1.90448,7.669147,71551,14616,49852,4.026899,82445,,4441,0.882,1.175,0.837,0.7205,True,False,False
12/31/2015 00:00:00,1720,2.453,19719,-70,,7098,21249,5549,28923,-0.098026,-0.392168,71268,15778,50019,4.000644,65867,,5549,1.175,0.837,0.7205,,False,False,
12/31/2016 00:00:00,1748,5.256,19025,1808,9.328965,8013,23553,3976,28580,2.551618,9.328965,70446,12339,46893,3.656098,61229,,3976,0.837,0.7205,,,False,,
12/31/2017 00:00:00,1992,,19828,1121,2.53322,7764,23783,4681,26189,1.610297,5.242728,68783,12388,45000,3.255753,59429,,4681,0.7205,,,,,,
12/31/2017 00:00:00,,5.256,19828,1121,,7764,23783,4681,26189,1.61029670542775,5.24272752782714,68783,12388,45000,3.15379113018598,,,4681,0.7205,,,,,,
