Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1988 00:00:00,,,381.209015,25.782,,41.272001,147.261005,3.062,0,,,230.819,68.447998,83.557998,,4395,,3.062,,,,,,,
12/31/1989 00:00:00,,,360.886993,22.169001,9.140554,34.421,160.612999,9.207,0,9.387598,14.429749,241.485001,68.404999,80.871999,1.537108,4332,,9.207,,,,,,,
12/31/1990 00:00:00,,,347.653992,13.974,3.609121,26.253,162.679007,4.939,0.717,5.813598,8.644816,239.25,73.921997,76.570997,1.486999,4197,,4.939,,,,,,,
12/31/1991 00:00:00,,,310.290985,10.939,1.72305,16.931,162.093996,7.199,0.652,4.775626,6.736397,218.867996,55.569,56.774,1.410579,3684,,7.199,,,,,,,
12/31/1992 00:00:00,,,303.440002,6.859,-0.807567,16.225,158.127003,0.888,0.146,3.233341,4.283917,205.399002,45.992001,47.272001,1.324919,3219,,0.888,,,,,,,
12/31/1993 00:00:00,,,347.72699,13.276,3.172054,26.061999,163.304998,0.462,0.004,6.071318,8.260534,231.936005,68.057999,68.630999,1.360583,3190,,0.462,,,,,,,
12/31/1994 00:00:00,,,466.524994,27.117001,11.107515,40.713,158.009007,10.31,12.502,10.728614,16.878816,273.571991,101.620003,115.563003,1.573252,3753,,10.31,,,,,,,
12/31/1995 00:00:00,,,491.639008,24.424,9.430035,42.021002,156.623997,10.21,2.5,9.195472,15.52539,257.645996,97.605003,101.022003,1.688373,3810,,10.21,,,,,,,
12/31/1996 00:00:00,,,518.494019,26.694,10.160629,46.694001,164.675001,9.821,0,10.066674,16.616298,272.697998,106.975998,108.022998,1.650624,3970,,9.821,,,,,,,
12/31/1997 00:00:00,,,555.838989,35.095001,13.45545,55.222,185.919002,3.133,0.229,12.349177,20.020309,295.679993,108.995003,109.761003,1.621186,4076,,3.133,,,,,,,
