Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1988 00:00:00,,,12739.280643,209.617399,,1195.581455,1341.962957,1738.787786,1480.447592,,,13223.153823,8002.414554,11881.190085,,138,,1738.787786,,,,,,,
12/31/1989 00:00:00,,,14271.864905,279.347583,11.322969,1358.244482,2271.902055,2100.183366,1943.63356,1.881718,17.412789,16467.542842,9497.848301,14195.640992,9.253666,153,,2100.183366,,,,,,,
12/31/1990 00:00:00,,,16915.910885,338.528303,10.625633,1732.659305,2827.990272,3377.157225,3344.396169,1.775864,14.936085,21657.929274,12410.585078,18829.938965,8.410601,173605,,3377.157225,,,,,,,
12/31/1991 00:00:00,,,19658.895086,398.379764,10.540485,1762.280194,3290.276694,4086.517985,4317.752476,1.674726,15.006316,25917.583489,14978.604257,22627.30672,8.96046,196040,,4086.517985,,,,,,,
12/31/1992 00:00:00,,,21385.700587,443.093069,8.548007,2046.231674,4282.902616,5123.033741,4873.474998,1.625958,13.552391,28584.831494,15866.375626,24301.928506,8.335021,201497,,5123.033741,,,,,,,
12/31/1993 00:00:00,,,22020.560227,488.61436,7.102242,2068.733089,5472.401333,5321.979709,5878.616924,1.617096,11.425567,31846.249545,16666.793708,26373.847616,7.065484,204307,,5321.979709,,,,,,,
12/31/1994 00:00:00,,,23582.979239,510.094412,6.249244,2075.227432,6261.56893,3924.891359,7856.841226,1.547911,10.057275,34061.226574,15730.848449,27799.657719,6.497323,215281,,3924.891359,,,,,,,
12/31/1995 00:00:00,,,24481.620937,-561.97282,,1562.831128,5791.568759,5096.736286,7826.229344,-1.619501,-11.056904,35339.497292,17321.730169,29547.927863,6.827351,221157,,5096.736286,,,,,,,
12/31/1996 00:00:00,,,25227.218114,297.687189,1.387108,1757.127447,6327.914698,5270.223267,6889.948817,0.827318,5.740188,36624.916439,18492.644621,30297.000997,6.938311,217320,,5270.223267,,,,,,,
12/31/1997 00:00:00,,,25476.608032,822.081325,8.028837,2284.219775,9051.691216,3387.935549,6906.215008,2.163652,12.833633,39365.232782,17360.100872,30313.541417,5.931467,193300,,3387.935549,,,,,,,
12/31/1998 00:00:00,,,31737.096048,1120.805175,8.951167,3163.103768,10332.384592,5050.60557,9956.506057,2.555956,14.72926,48336.20001,21127.909299,38003.817204,5.76272,235610,,5050.60557,,,,,,,
12/31/1999 00:00:00,230,,41622.5,1431.400024,8.876914,4346.800049,14944.600098,15017.400391,19233,2.183458,15.226381,82777,38849.5,67832.400391,6.973517,275000,,15017.400391,,,,,,,
12/31/2000 00:00:00,,,41797.601562,2299,3.604844,5644.399902,66462.498047,14851.5,23954.199219,1.969039,6.805067,150737.90625,46478.101562,84275.400391,3.456034,253286,,14851.5,,,,,,,
12/31/2001 00:00:00,237,,57360,-13597,,-7378,46956,14003,27777,-9.385659,-29.108433,139002,50394,92046,3.101373,320654,17834,14003,,,,,,,
12/31/2002 00:00:00,117,,58150,-23301,,27828,20517,9177,10455,-22.368781,-90.020862,69333,30307,48816,4.024397,335000,17576,9177,,,,,,,
12/31/2003 00:00:00,170,,25482,-1143,,5765,16850.999511,4802,9621,-1.839809,-8.484894,54919,22186,38068,4.611833,55451,,4802,,,,,,,
12/31/2004 00:00:00,194,,17883,3767,21.182655,4936,18092,2842,5357,7.691051,27.525484,43039,12792,24947,3.578897,37906,,2842,,,,,,,
12/31/2005 00:00:00,143,,19484,3154,11.531648,4816,21608,2215,4545,7.207331,18.434742,44483,12292,22875,2.557777,34031,,2215,,,,,,,
12/31/2006 00:00:00,217,,20044,4033,13.665624,5722,21864,2601,4714,9.215021,20.852615,43048,12743,21184,2.262894,34694,9898,2601,,,,,,,
12/31/2007 00:00:00,227,2.518631,21657,2625,5.589507,6301,22242,1766,5610,5.957312,13.042182,45079,13459,22837,2.189273,37223,11781,1766,,,,,,,
12/31/2008 00:00:00,518,2.544509,25392,2603,4.668699,6774,26626,1655,9975,5.116713,12.116275,56666,15695,30040,2.36798,44243,12900,1655,22.5145,20.1242,19.5483,16.3742,False,False,False
12/31/2009 00:00:00,586,2.602735,27132,830,-3.987277,7636,25988,3922,8145,1.446106,3.718471,58125,19277,32137,2.571368,48284,13505,3922,20.1242,19.5483,16.3742,16.95,False,False,False
12/31/2010 00:00:00,835,2.49741,28878,2198,2.161693,8209,28173,3391,8511,3.753479,9.540966,58993,18740,30820,2.541899,54561,14317,3391,19.5483,16.3742,16.95,19.155,False,False,False
12/31/2011 00:00:00,722,2.922472,28813,2681,6.578554,9123,22070,3299,12407,4.674315,12.32502,55719,18079,33649,2.636754,58318,14422,3299,16.3742,16.95,19.155,20.69,False,False,False
12/31/2012 00:00:00,,6.606558,22577,179,,4080,21291,5075,12642,0.310624,0.947792,59533,20324,38242,3.051255,58050,9905,5075,16.95,19.155,20.69,19.86,True,True,False
