Date,ClosingPrice,Ma10,Wma10,Momentum10
5/26/2015 00:00:00,5120,,,
5/27/2015 00:00:00,5235,,,
5/28/2015 00:00:00,5305,,,
5/29/2015 00:00:00,5200,,,
6/1/2015 00:00:00,5245,,,
6/2/2015 00:00:00,5195,,,
6/3/2015 00:00:00,5185,,,
6/4/2015 00:00:00,5185,,,
6/5/2015 00:00:00,5145,,,
6/8/2015 00:00:00,5180,,,
6/9/2015 00:00:00,5090,5196.5,5172.45454545455,-145
6/10/2015 00:00:00,5140,5187,5162.18181818182,-165
6/11/2015 00:00:00,5155,5172,5156.36363636364,-45
6/12/2015 00:00:00,5145,5166.5,5151.45454545455,-100
6/15/2015 00:00:00,5040,5146,5128.45454545455,-155
6/16/2015 00:00:00,5065,5133,5113.72727272727,-120
6/17/2015 00:00:00,5085,5123,5105,-100
6/18/2015 00:00:00,5070,5111.5,5095.36363636364,-75
6/19/2015 00:00:00,5065,5103.5,5086.90909090909,-115
6/22/2015 00:00:00,5090,5094.5,5084.45454545455,0
6/23/2015 00:00:00,5080,5093.5,5081.81818181818,-60
6/24/2015 00:00:00,5085,5088,5080.27272727273,-70
6/25/2015 00:00:00,5105,5083,5083.36363636364,-40
6/26/2015 00:00:00,5080,5076.5,5082.81818181818,40
6/29/2015 00:00:00,5030,5075.5,5074.36363636364,-35
6/30/2015 00:00:00,5000,5069,5060.63636363636,-85
7/1/2015 00:00:00,5150,5075.5,5075.36363636364,80
7/2/2015 00:00:00,5110,5079.5,5081.63636363636,45
7/3/2015 00:00:00,5090,5082,5083.54545454546,0
7/6/2015 00:00:00,5030,5076,5074.09090909091,-50
7/7/2015 00:00:00,4973,5065.3,5055.36363636364,-112
7/8/2015 00:00:00,4939,5050.7,5032.4,-166
7/9/2015 00:00:00,5050,5045.2,5032.27272727273,-30
7/10/2015 00:00:00,5100,5047.2,5042.23636363636,70
7/13/2015 00:00:00,5250,5069.2,5079.10909090909,250
7/14/2015 00:00:00,5245,5093.7,5111.07272727273,95
7/15/2015 00:00:00,5240,5102.7,5137.67272727273,130
7/16/2015 00:00:00,5265,5118.2,5167.18181818182,175
7/17/2015 00:00:00,5200,5129.2,5182.05454545455,170
7/20/2015 00:00:00,5145,5140.7,5184.92727272727,172
7/21/2015 00:00:00,5070,5150.4,5172.07272727273,131
7/22/2015 00:00:00,5020,5158.5,5148.36363636364,-30
7/23/2015 00:00:00,5020,5155.5,5123.18181818182,-80
7/24/2015 00:00:00,5005,5146,5095.81818181818,-245
7/27/2015 00:00:00,4920,5113,5054.72727272727,-325
7/28/2015 00:00:00,4990,5087.5,5032.36363636364,-250
7/29/2015 00:00:00,5055,5069,5026.45454545455,-210
