Date,ClosingPrice,Ma10,Wma10,Momentum10
5/5/2015 00:00:00,548,,,
5/6/2015 00:00:00,547,,,
5/7/2015 00:00:00,545.5,,,
5/8/2015 00:00:00,563.5,,,
5/11/2015 00:00:00,564,,,
5/12/2015 00:00:00,560.5,,,
5/13/2015 00:00:00,564.5,,,
5/14/2015 00:00:00,565.5,,,
5/15/2015 00:00:00,568,,,
5/18/2015 00:00:00,581,,,
5/19/2015 00:00:00,585.5,564.5,570.190909090909,38.5
5/20/2015 00:00:00,583.5,568.15,573.645454545455,38
5/21/2015 00:00:00,593.5,572.95,578.254545454545,30
5/22/2015 00:00:00,594,576,582.081818181818,30
5/26/2015 00:00:00,591.5,578.75,584.9,31
5/27/2015 00:00:00,596.5,582.35,588.127272727273,32
5/28/2015 00:00:00,587,584.6,588.972727272727,21.5
5/29/2015 00:00:00,583,586.35,588.681818181818,15
6/1/2015 00:00:00,582,587.75,587.890909090909,1
6/2/2015 00:00:00,576,587.25,585.754545454545,-9.5
6/3/2015 00:00:00,581,586.8,584.618181818182,-2.5
6/4/2015 00:00:00,578.5,586.3,583.109090909091,-15
6/5/2015 00:00:00,560,582.95,578.327272727273,-34
6/8/2015 00:00:00,557,579.25,573.609090909091,-34.5
6/9/2015 00:00:00,555,575.6,569.2,-41.5
6/10/2015 00:00:00,553.5,571.3,565.181818181818,-33.5
6/11/2015 00:00:00,555.5,568.15,562.309090909091,-27.5
6/12/2015 00:00:00,557.5,565.6,560.372727272727,-24.5
6/15/2015 00:00:00,551,562.5,557.718181818182,-25
6/16/2015 00:00:00,547,559.6,554.9,-34
6/17/2015 00:00:00,542,555.7,551.7,-36.5
6/18/2015 00:00:00,544,552.25,549.572727272727,-16
6/19/2015 00:00:00,543.5,550.6,547.981818181818,-13.5
6/22/2015 00:00:00,549,549.8,547.690909090909,-6
6/23/2015 00:00:00,564,550.7,550.272727272727,10.5
6/24/2015 00:00:00,569.5,552.3,553.690909090909,14
6/25/2015 00:00:00,564.5,553.2,555.909090909091,7
6/26/2015 00:00:00,560.5,553.5,557.236363636364,9.5
6/29/2015 00:00:00,551,553.5,556.781818181818,4
6/30/2015 00:00:00,536,552.4,553.6,-6
7/1/2015 00:00:00,545,552.7,552.254545454545,1
7/2/2015 00:00:00,547,553,551.218181818182,3.5
7/3/2015 00:00:00,538.5,552.5,548.581818181818,-10.5
7/6/2015 00:00:00,547,552.3,547.581818181818,-17
7/7/2015 00:00:00,535,549.4,544.436363636364,-34.5
7/8/2015 00:00:00,521.5,544.6,539.363636363636,-43
7/9/2015 00:00:00,520.5,540.2,534.981818181818,-40
7/10/2015 00:00:00,538,537.95,534.581818181818,-13
7/13/2015 00:00:00,547.5,537.6,536.318181818182,11.5
7/14/2015 00:00:00,544.5,538.45,537.572727272727,-0.5
7/15/2015 00:00:00,547,538.65,539.127272727273,0
7/16/2015 00:00:00,546,538.55,540.463636363636,7.5
7/17/2015 00:00:00,539.5,538.65,540.636363636364,-7.5
7/20/2015 00:00:00,534,537.35,539.790909090909,-1
7/21/2015 00:00:00,531.5,537,538.727272727273,10
7/22/2015 00:00:00,535,538.35,538.363636363636,14.5
7/23/2015 00:00:00,527,539,536.3,-11
7/24/2015 00:00:00,525,537.7,533.754545454545,-22.5
7/27/2015 00:00:00,518.5,534.8,530.263636363636,-26
7/28/2015 00:00:00,523,532.65,528.118181818182,-24
7/29/2015 00:00:00,531,531.05,527.818181818182,-15
7/30/2015 00:00:00,533,529.75,528.172727272727,-6.5
7/31/2015 00:00:00,544,530.2,530.763636363636,10
8/3/2015 00:00:00,544,531.2,533.272727272727,12.5
8/4/2015 00:00:00,544,532.45,535.6,9
8/5/2015 00:00:00,549.5,533.9,538.7,22.5
8/6/2015 00:00:00,550.5,536.25,541.718181818182,25.5
8/7/2015 00:00:00,546,538.35,543.490909090909,27.5
8/10/2015 00:00:00,550,541.5,545.609090909091,27
8/11/2015 00:00:00,546.5,543.85,546.518181818182,15.5
8/12/2015 00:00:00,531,543.85,544.181818181818,-2
8/13/2015 00:00:00,538,544.35,543.118181818182,-6
8/14/2015 00:00:00,532.5,543.2,540.963636363636,-11.5
8/17/2015 00:00:00,534,542.2,539.290909090909,-10
8/18/2015 00:00:00,533,541.1,537.618181818182,-16.5
8/19/2015 00:00:00,523.5,538.5,534.418181818182,-27
8/20/2015 00:00:00,519,535.35,530.872727272727,-27
8/21/2015 00:00:00,511.5,531.9,526.536363636364,-38.5
8/24/2015 00:00:00,492.6,526.16,519.390909090909,-53.9
8/25/2015 00:00:00,502,521.71,514.998181818182,-29
8/26/2015 00:00:00,500.5,518.66,511.141818181818,-37.5
8/27/2015 00:00:00,523.5,517.21,512.021818181818,-9
8/28/2015 00:00:00,521.5,516.11,512.801818181818,-12.5
9/1/2015 00:00:00,505.5,513.26,510.872727272727,-27.5
9/2/2015 00:00:00,505.5,510.51,509.461818181818,-18
9/3/2015 00:00:00,513.5,509.51,510.005454545455,-5.5
9/4/2015 00:00:00,502.5,507.86,508.730909090909,-9
9/7/2015 00:00:00,505,507.21,508.210909090909,12.4
9/8/2015 00:00:00,506.5,508.6,508.081818181818,4.5
9/9/2015 00:00:00,507.5,509.15,507.881818181818,7
9/10/2015 00:00:00,511,510.2,508.218181818182,-12.5
9/11/2015 00:00:00,505,508.35,507.272727272727,-16.5
9/14/2015 00:00:00,492.8,505.48,504.445454545455,-12.7
9/15/2015 00:00:00,488.8,503.81,501.412727272727,-16.7
9/16/2015 00:00:00,492.6,502.52,499.374545454545,-20.9
9/17/2015 00:00:00,495.1,500.68,498.025454545455,-7.39999999999998
9/18/2015 00:00:00,491.1,499.54,496.283636363636,-13.9
9/21/2015 00:00:00,492.9,498.33,495.076363636364,-13.6
9/22/2015 00:00:00,476,495.28,491.016363636364,-31.5
9/23/2015 00:00:00,488.4,493.37,489.765454545455,-22.6
9/24/2015 00:00:00,484.3,490.7,488.116363636364,-20.7
9/25/2015 00:00:00,501,490.3,489.989090909091,8.19999999999999
9/28/2015 00:00:00,491.9,490.21,490.28,3.09999999999997
9/29/2015 00:00:00,488.4,490.17,489.950909090909,-4.20000000000005
9/30/2015 00:00:00,501,491.01,491.92,5.89999999999998
10/1/2015 00:00:00,501,491.6,493.736363636364,9.89999999999998
10/2/2015 00:00:00,506.5,493.14,496.445454545455,13.6
10/5/2015 00:00:00,515,495.35,500.42,39
10/6/2015 00:00:00,519.5,499.7,504.810909090909,31.1
10/7/2015 00:00:00,499.1,500.77,504.701818181818,14.8
10/8/2015 00:00:00,491.9,501.53,503.089090909091,-9.10000000000002
10/9/2015 00:00:00,492.3,500.66,501.410909090909,0.400000000000034
10/12/2015 00:00:00,493.7,500.84,500.145454545455,5.30000000000001
10/13/2015 00:00:00,490.9,501.09,498.338181818182,-10.1
10/14/2015 00:00:00,485.2,499.51,495.449090909091,-15.8
10/15/2015 00:00:00,489.9,498.4,493.701818181818,-16.6
10/16/2015 00:00:00,491,496.85,492.356363636364,-24
10/19/2015 00:00:00,490.9,494.44,491.274545454545,-28.6
10/20/2015 00:00:00,491.1,491.6,490.667272727273,-8
10/21/2015 00:00:00,493.5,491.04,491.012727272727,1.60000000000002
10/22/2015 00:00:00,502.5,492.1,493.096363636364,10.2
10/23/2015 00:00:00,517.5,494.62,497.714545454545,23.8
10/26/2015 00:00:00,515.5,496.8,501.510909090909,24.6
10/27/2015 00:00:00,512,498.91,504.274545454545,26.8
10/28/2015 00:00:00,511,501.49,506.472727272727,21.1
10/29/2015 00:00:00,511.5,503.65,508.292727272727,20.5
