Date,ClosingPrice,Ma10,Wma10,Momentum10
12/30/2009 00:00:00,10.64,,,
12/31/2009 00:00:00,10.56,,,
1/4/2010 00:00:00,10.85,,,
1/5/2010 00:00:00,11.17,,,
1/6/2010 00:00:00,11.22,,,
1/7/2010 00:00:00,10.84,,,
1/8/2010 00:00:00,11.1,,,
1/11/2010 00:00:00,10.9,,,
1/12/2010 00:00:00,10.26,,,
1/13/2010 00:00:00,10.46,,,
1/14/2010 00:00:00,10.73,10.809,10.7503636363636,0.17
1/15/2010 00:00:00,10.13,10.766,10.6269090909091,-0.719999999999999
1/19/2010 00:00:00,10.28,10.709,10.5385454545455,-0.890000000000001
1/20/2010 00:00:00,9.98,10.59,10.406,-1.24
1/21/2010 00:00:00,9.8,10.448,10.2623636363636,-1.04
1/22/2010 00:00:00,9.13,10.277,10.0227272727273,-1.97
1/25/2010 00:00:00,9.33,10.1,9.85054545454546,-1.57
1/26/2010 00:00:00,9.44,9.954,9.73054545454545,-0.82
1/27/2010 00:00:00,9.72,9.9,9.688,-0.74
1/28/2010 00:00:00,9.4,9.794,9.59709090909091,-1.33
1/29/2010 00:00:00,8.72,9.593,9.40181818181818,-1.41
2/1/2010 00:00:00,9.17,9.497,9.32490909090909,-1.11
2/2/2010 00:00:00,9.35,9.404,9.29818181818182,-0.630000000000001
2/3/2010 00:00:00,9.02,9.308,9.22836363636364,-0.780000000000001
2/4/2010 00:00:00,8.61,9.189,9.10145454545455,-0.520000000000001
2/5/2010 00:00:00,8.7,9.146,9.01254545454545,-0.630000000000001
2/8/2010 00:00:00,8.91,9.104,8.96963636363636,-0.529999999999999
2/9/2010 00:00:00,9.08,9.068,8.96527272727273,-0.640000000000001
2/10/2010 00:00:00,8.54,8.95,8.86927272727273,-0.860000000000001
2/11/2010 00:00:00,8.53,8.863,8.79290909090909,-0.190000000000001
2/12/2010 00:00:00,8.44,8.835,8.716,-0.73
2/16/2010 00:00:00,8.63,8.781,8.67872727272727,-0.719999999999999
2/17/2010 00:00:00,8.73,8.719,8.66945454545454,-0.289999999999999
2/18/2010 00:00:00,8.76,8.693,8.67690909090909,0.15
2/19/2010 00:00:00,8.9,8.722,8.71454545454545,0.200000000000001
2/22/2010 00:00:00,8.94,8.746,8.75418181818182,0.0299999999999994
2/23/2010 00:00:00,8.61,8.716,8.72945454545454,-0.470000000000001
2/24/2010 00:00:00,9.09,8.717,8.79745454545454,0.550000000000001
2/25/2010 00:00:00,9.07,8.77,8.86163636363636,0.540000000000001
2/26/2010 00:00:00,9.06,8.823,8.91436363636364,0.620000000000001
3/1/2010 00:00:00,9.77,8.956,9.08654545454545,1.14
3/2/2010 00:00:00,9.57,9.05,9.19818181818182,0.84
3/3/2010 00:00:00,9.45,9.122,9.27090909090909,0.69
3/4/2010 00:00:00,9.41,9.187,9.32327272727273,0.51
3/5/2010 00:00:00,9.46,9.243,9.37290909090909,0.520000000000001
3/8/2010 00:00:00,9.59,9.308,9.436,0.98
3/9/2010 00:00:00,9.42,9.389,9.45636363636364,0.33
3/10/2010 00:00:00,9.87,9.467,9.54381818181818,0.799999999999999
3/11/2010 00:00:00,9.8,9.54,9.60436363636363,0.74
3/12/2010 00:00:00,9.97,9.631,9.68254545454546,0.200000000000001
3/15/2010 00:00:00,9.73,9.627,9.70054545454546,0.16
3/16/2010 00:00:00,10.21,9.691,9.80654545454546,0.760000000000002
3/17/2010 00:00:00,10.4,9.786,9.93545454545455,0.99
3/18/2010 00:00:00,10.16,9.861,10.0034545454545,0.699999999999999
3/19/2010 00:00:00,9.95,9.91,10.0196363636364,0.359999999999999
3/22/2010 00:00:00,10.33,9.984,10.096,0.91
3/23/2010 00:00:00,10.54,10.096,10.1970909090909,0.67
3/24/2010 00:00:00,10.43,10.152,10.2578181818182,0.629999999999999
3/25/2010 00:00:00,10.38,10.21,10.2992727272727,0.41
3/26/2010 00:00:00,10.49,10.262,10.3501818181818,0.76
3/29/2010 00:00:00,10.63,10.352,10.4170909090909,0.42
3/30/2010 00:00:00,10.79,10.41,10.4967272727273,0.389999999999999
3/31/2010 00:00:00,10.39,10.409,10.4930909090909,0.23
4/1/2010 00:00:00,10.17,10.41,10.4496363636364,0.220000000000001
4/5/2010 00:00:00,10.6,10.475,10.4841818181818,0.27
4/6/2010 00:00:00,10.23,10.465,10.4396363636364,-0.309999999999999
4/7/2010 00:00:00,10.56,10.467,10.4569090909091,0.130000000000001
4/8/2010 00:00:00,10.58,10.482,10.4774545454545,0.199999999999999
4/9/2010 00:00:00,10.74,10.518,10.5243636363636,0.25
