Date,ClosingPrice,Ma10,Wma10,Momentum10
5/5/2015 00:00:00,1612.5,,,
5/6/2015 00:00:00,1596.5,,,
5/7/2015 00:00:00,1595.5,,,
5/8/2015 00:00:00,1647.5,,,
5/11/2015 00:00:00,1647.5,,,
5/12/2015 00:00:00,1608,,,
5/13/2015 00:00:00,1610.5,,,
5/14/2015 00:00:00,1632,,,
5/15/2015 00:00:00,1627,,,
5/18/2015 00:00:00,1637,,,
5/19/2015 00:00:00,1669,1627.05,1634.29090909091,72.5
5/20/2015 00:00:00,1643,1631.7,1637.19090909091,47.5
5/21/2015 00:00:00,1657.5,1637.9,1641.88181818182,10
5/22/2015 00:00:00,1654,1638.55,1644.80909090909,6.5
5/26/2015 00:00:00,1630.5,1636.85,1643.34545454545,22.5
5/27/2015 00:00:00,1639,1639.95,1643.73636363636,28.5
5/28/2015 00:00:00,1632,1642.1,1642.29090909091,0
5/29/2015 00:00:00,1627,1641.6,1639.54545454545,0
6/1/2015 00:00:00,1611.5,1640.05,1634.07272727273,-25.5
6/2/2015 00:00:00,1601,1636.45,1626.97272727273,-68
6/3/2015 00:00:00,1617,1631.25,1623.43636363636,-26
6/4/2015 00:00:00,1609,1627.85,1619.39090909091,-48.5
6/5/2015 00:00:00,1588,1620.9,1612.14545454545,-66
6/8/2015 00:00:00,1574,1612.9,1603.61818181818,-56.5
6/9/2015 00:00:00,1558,1605.65,1593.63636363636,-81
6/10/2015 00:00:00,1588,1600.55,1590.42727272727,-44
6/11/2015 00:00:00,1615,1598.85,1593.05454545455,-12
6/12/2015 00:00:00,1605.5,1596.7,1594.26363636364,-6
6/15/2015 00:00:00,1574,1592.95,1590.13636363636,-27
6/16/2015 00:00:00,1571.5,1590,1586.23636363636,-45.5
6/17/2015 00:00:00,1560,1584.3,1580.78181818182,-49
6/18/2015 00:00:00,1580.5,1581.45,1580.09090909091,-7.5
6/19/2015 00:00:00,1570.5,1579.7,1578.1,-3.5
6/22/2015 00:00:00,1606.5,1582.95,1582.97272727273,48.5
6/23/2015 00:00:00,1611,1588.25,1588.07272727273,23
6/24/2015 00:00:00,1601.5,1589.6,1590.48181818182,-13.5
6/25/2015 00:00:00,1601.5,1588.25,1592.64545454545,-4
6/26/2015 00:00:00,1580,1585.7,1591.14545454545,6
6/29/2015 00:00:00,1543.5,1582.65,1583.47272727273,-28
6/30/2015 00:00:00,1532.5,1578.75,1574.35454545455,-27.5
7/1/2015 00:00:00,1575,1580.25,1573.67272727273,-5.5
7/2/2015 00:00:00,1569.5,1579.15,1571.71818181818,-1
7/3/2015 00:00:00,1562.5,1578.35,1568.69090909091,-44
7/6/2015 00:00:00,1536.5,1571.35,1561.08181818182,-74.5
7/7/2015 00:00:00,1512.5,1561.5,1550.38181818182,-89
7/8/2015 00:00:00,1520.5,1553.4,1542.92727272727,-81
7/9/2015 00:00:00,1566.5,1549.9,1545.30909090909,-13.5
7/10/2015 00:00:00,1603.5,1552.25,1555.05454545455,60
7/13/2015 00:00:00,1631.5,1561.05,1569.46363636364,99
7/14/2015 00:00:00,1618,1569.6,1579.81818181818,43
7/15/2015 00:00:00,1620,1574.1,1588.98181818182,50.5
7/16/2015 00:00:00,1634,1580.55,1599.87272727273,71.5
7/17/2015 00:00:00,1633.5,1587.65,1609.5,97
7/20/2015 00:00:00,1618,1595.8,1615.01818181818,105.5
7/21/2015 00:00:00,1584,1602.95,1612.87272727273,63.5
7/22/2015 00:00:00,1549,1605.8,1603.06363636364,-17.5
7/23/2015 00:00:00,1548,1603.95,1592.55454545455,-55.5
7/24/2015 00:00:00,1517,1595.3,1576.74545454545,-114.5
7/27/2015 00:00:00,1499,1582.05,1559.23636363636,-119
7/28/2015 00:00:00,1506.5,1570.9,1545.5,-113.5
7/29/2015 00:00:00,1501.5,1559.05,1532.88181818182,-132.5
7/30/2015 00:00:00,1520,1547.65,1525.78181818182,-113.5
7/31/2015 00:00:00,1507.5,1535.05,1518.48181818182,-110.5
8/3/2015 00:00:00,1493.5,1522.6,1510.92727272727,-90.5
8/4/2015 00:00:00,1507,1514.9,1508.09090909091,-42
8/5/2015 00:00:00,1530,1513,1510.83636363636,-18
8/6/2015 00:00:00,1540,1512.2,1515.74545454545,23
8/7/2015 00:00:00,1528.5,1513.35,1518.70909090909,29.5
8/10/2015 00:00:00,1506.5,1514.1,1517.46363636364,0
8/11/2015 00:00:00,1577,1521.15,1528.9,75.5
8/12/2015 00:00:00,1536.5,1524.65,1531.69090909091,16.5
8/13/2015 00:00:00,1548,1527.45,1535.93636363636,40.5
8/14/2015 00:00:00,1533,1530,1536.94545454545,39.5
8/17/2015 00:00:00,1531,1533.75,1537.12727272727,24
8/18/2015 00:00:00,1518,1534.85,1534.26363636364,-12
8/19/2015 00:00:00,1514.5,1533.3,1530.56363636364,-25.5
8/20/2015 00:00:00,1472,1526.5,1519.41818181818,-56.5
8/21/2015 00:00:00,1419.5,1515.6,1499.96363636364,-87
8/24/2015 00:00:00,1360,1500.95,1471.67272727273,-217
8/25/2015 00:00:00,1411.5,1484.4,1455.40909090909,-125
