Date,ClosingPrice,Ma10,Wma10,Momentum10
5/5/2015 00:00:00,1304,,,
5/6/2015 00:00:00,1289,,,
5/7/2015 00:00:00,1309,,,
5/8/2015 00:00:00,1317,,,
5/11/2015 00:00:00,1318,,,
5/12/2015 00:00:00,1301,,,
5/13/2015 00:00:00,1302,,,
5/14/2015 00:00:00,1323,,,
5/15/2015 00:00:00,1315,,,
5/18/2015 00:00:00,1325,,,
5/19/2015 00:00:00,1340,1313.9,1319.14545454545,51
5/20/2015 00:00:00,1347,1319.7,1325.16363636364,38
5/21/2015 00:00:00,1342,1323,1329.21818181818,25
5/22/2015 00:00:00,1339,1325.2,1332.12727272727,21
5/26/2015 00:00:00,1322,1325.6,1331.54545454545,21
5/27/2015 00:00:00,1338,1329.3,1333.8,36
5/28/2015 00:00:00,1335,1332.6,1334.83636363636,12
5/29/2015 00:00:00,1307,1331,1330.18181818182,-8
6/1/2015 00:00:00,1309,1330.4,1326.18181818182,-16
6/2/2015 00:00:00,1300,1327.9,1320.65454545455,-40
6/3/2015 00:00:00,1303,1324.2,1316.12727272727,-44
6/4/2015 00:00:00,1287,1318.2,1309.36363636364,-55
6/5/2015 00:00:00,1296,1313.6,1305.32727272727,-43
6/8/2015 00:00:00,1304,1310.1,1303.58181818182,-18
6/9/2015 00:00:00,1273,1305.2,1296.83636363636,-65
6/10/2015 00:00:00,1272,1298.6,1290.8,-63
6/11/2015 00:00:00,1286,1293.7,1288.50909090909,-21
6/12/2015 00:00:00,1272,1290.2,1284.56363636364,-37
6/15/2015 00:00:00,1269,1286.2,1280.70909090909,-31
6/16/2015 00:00:00,1270,1283.2,1277.76363636364,-33
6/17/2015 00:00:00,1267,1279.6,1274.81818181818,-20
6/18/2015 00:00:00,1253,1276.2,1269.98181818182,-43
6/19/2015 00:00:00,1248,1271.4,1264.85454545455,-56
6/22/2015 00:00:00,1265,1267.5,1263.69090909091,-8
6/23/2015 00:00:00,1272,1267.4,1264.50909090909,0
6/24/2015 00:00:00,1273,1267.5,1265.52727272727,-13
6/25/2015 00:00:00,1271,1266,1266.16363636364,-1
6/26/2015 00:00:00,1257,1264.5,1264.52727272727,-12
6/29/2015 00:00:00,1229,1260.5,1258.07272727273,-41
6/30/2015 00:00:00,1205,1254,1247.98181818182,-62
7/1/2015 00:00:00,1230,1250.3,1243.61818181818,-23
7/2/2015 00:00:00,1215,1246.5,1237.2,-33
7/3/2015 00:00:00,1221,1243.8,1232.56363636364,-44
7/6/2015 00:00:00,1222,1239.5,1228.6,-50
7/7/2015 00:00:00,1212,1233.5,1223.6,-61
7/8/2015 00:00:00,1201,1226.3,1217.69090909091,-70
7/9/2015 00:00:00,1216,1220.8,1215.81818181818,-41
7/10/2015 00:00:00,1236,1218.7,1218.58181818182,7
7/13/2015 00:00:00,1250,1220.8,1224.27272727273,45
7/14/2015 00:00:00,1231,1223.4,1226.12727272727,1
7/15/2015 00:00:00,1228,1223.2,1226.96363636364,13
7/16/2015 00:00:00,1263,1228,1234.2,42
7/17/2015 00:00:00,1275,1233.4,1242.74545454545,53
7/20/2015 00:00:00,1255,1236.7,1246.67272727273,43
7/21/2015 00:00:00,1257,1241.2,1250.36363636364,56
7/22/2015 00:00:00,1209,1242,1244.50909090909,-7
7/23/2015 00:00:00,1234,1243.8,1243.05454545455,-2
7/24/2015 00:00:00,1219,1242.1,1238.54545454545,-31
7/27/2015 00:00:00,1161,1233.2,1223.8,-70
7/28/2015 00:00:00,1174,1227.5,1213.03636363636,-54
7/29/2015 00:00:00,1196,1224.3,1207.30909090909,-67
7/30/2015 00:00:00,1193,1217.3,1201.61818181818,-82
7/31/2015 00:00:00,1203,1210.1,1199.01818181818,-52
8/3/2015 00:00:00,1189,1203.5,1195.18181818182,-68
8/4/2015 00:00:00,1194,1197.2,1193.45454545455,-15
8/5/2015 00:00:00,1198,1196.1,1193.6,-36
8/6/2015 00:00:00,1196,1192.3,1193.58181818182,-23
8/7/2015 00:00:00,1191,1189.5,1193.34545454545,30
8/10/2015 00:00:00,1192,1192.6,1193.8,18
8/11/2015 00:00:00,1173,1192.5,1190.23636363636,-23
8/12/2015 00:00:00,1166,1189.5,1185.41818181818,-27
8/13/2015 00:00:00,1151,1185.3,1178.41818181818,-52
8/14/2015 00:00:00,1159,1180.9,1173.63636363636,-30
8/17/2015 00:00:00,1162,1178.2,1170.2,-32
8/18/2015 00:00:00,1161,1174.9,1167.07272727273,-37
8/19/2015 00:00:00,1144,1169.5,1161.45454545455,-52
8/20/2015 00:00:00,1143,1164.2,1156.63636363636,-48
8/21/2015 00:00:00,1117,1156.8,1148.05454545455,-75
8/24/2015 00:00:00,1074,1145,1133,-99
8/25/2015 00:00:00,1106,1138.3,1125.90909090909,-60
8/26/2015 00:00:00,1082,1129.9,1115.67272727273,-69
8/27/2015 00:00:00,1106,1125.4,1111.32727272727,-53
8/28/2015 00:00:00,1133,1122.8,1112.70909090909,-29
9/1/2015 00:00:00,1092,1115.8,1107.10909090909,-69
9/2/2015 00:00:00,1082,1107.9,1100.96363636364,-62
9/3/2015 00:00:00,1107,1104.2,1100.8,-36
9/4/2015 00:00:00,1091,1099,1098.4,-26
9/7/2015 00:00:00,1124,1099.7,1102.94545454545,50
9/8/2015 00:00:00,1145,1106.8,1111.18181818182,39
9/9/2015 00:00:00,1161,1112.3,1121.03636363636,79
9/10/2015 00:00:00,1149,1119,1127.70909090909,43
9/11/2015 00:00:00,1137,1122.1,1130.98181818182,4
9/14/2015 00:00:00,1129,1121.7,1132.23636363636,37
9/15/2015 00:00:00,1140,1126.5,1135.56363636364,58
9/16/2015 00:00:00,1141,1132.4,1138.2,34
9/17/2015 00:00:00,1131,1134.8,1137.94545454545,40
9/18/2015 00:00:00,1123,1138,1135.8,-1
9/21/2015 00:00:00,1130,1138.6,1134.34545454545,-15
9/22/2015 00:00:00,1100,1134.1,1127.32727272727,-61
9/23/2015 00:00:00,1119,1129.9,1124.58181818182,-30
9/24/2015 00:00:00,1098,1124.8,1118.78181818182,-39
9/25/2015 00:00:00,1125,1123.6,1118.81818181818,-4
9/28/2015 00:00:00,1112,1121.9,1116.70909090909,-28
9/29/2015 00:00:00,1099,1117.8,1112.54545454545,-42
9/30/2015 00:00:00,1127,1116.4,1114.21818181818,-4
10/1/2015 00:00:00,1152,1118.5,1120.69090909091,29
10/2/2015 00:00:00,1167,1122.9,1129.50909090909,37
10/5/2015 00:00:00,1188,1128.7,1141.34545454545,88
10/6/2015 00:00:00,1200,1138.7,1154.30909090909,81
10/7/2015 00:00:00,1198,1146.6,1165.09090909091,100
10/8/2015 00:00:00,1213,1158.1,1177.16363636364,88
10/9/2015 00:00:00,1224,1168,1189.14545454545,112
10/12/2015 00:00:00,1206,1177.4,1196.05454545455,107
10/13/2015 00:00:00,1193,1186.8,1198.89090909091,66
10/14/2015 00:00:00,1176,1191.7,1196.92727272727,24
10/15/2015 00:00:00,1189,1195.4,1196.43636363636,22
