Date,ClosingPrice,Ma10,Wma10,Momentum10
5/26/2015 00:00:00,1091,,,
5/27/2015 00:00:00,1099,,,
5/28/2015 00:00:00,1106,,,
5/29/2015 00:00:00,1085,,,
6/1/2015 00:00:00,1084,,,
6/2/2015 00:00:00,1077,,,
6/3/2015 00:00:00,1088,,,
6/4/2015 00:00:00,1075,,,
6/5/2015 00:00:00,1059,,,
6/8/2015 00:00:00,1062,,,
6/9/2015 00:00:00,1077,1081.2,1075.27272727273,-22
6/10/2015 00:00:00,1078,1079.1,1074.69090909091,-28
6/11/2015 00:00:00,1081,1076.6,1075.03636363636,-4
6/12/2015 00:00:00,1069,1075,1073.65454545455,-15
6/15/2015 00:00:00,1066,1073.2,1072.01818181818,-11
6/16/2015 00:00:00,1071,1072.6,1071.61818181818,-17
6/17/2015 00:00:00,1061,1069.9,1069.50909090909,-14
6/18/2015 00:00:00,1059,1068.3,1067.52727272727,0
6/19/2015 00:00:00,1052,1067.6,1064.56363636364,-10
6/22/2015 00:00:00,1071,1068.5,1065.18181818182,-6
6/23/2015 00:00:00,1074,1068.2,1066.18181818182,-4
6/24/2015 00:00:00,1075,1067.9,1067.41818181818,-6
6/25/2015 00:00:00,1077,1067.5,1069.07272727273,8
6/26/2015 00:00:00,1072,1067.8,1069.89090909091,6
6/29/2015 00:00:00,1046,1065.8,1065.92727272727,-25
6/30/2015 00:00:00,1035,1062.2,1060.32727272727,-26
7/1/2015 00:00:00,1063,1062.4,1060.47272727273,4
7/2/2015 00:00:00,1060,1062.5,1060.03636363636,8
7/3/2015 00:00:00,1052,1062.5,1058.12727272727,-19
7/6/2015 00:00:00,1042,1059.6,1054.4,-32
7/7/2015 00:00:00,1024,1054.6,1047.92727272727,-51
7/8/2015 00:00:00,1035,1050.6,1044.36363636364,-42
7/9/2015 00:00:00,1051,1048,1044.43636363636,-21
7/10/2015 00:00:00,1077,1048.5,1049.70909090909,31
7/13/2015 00:00:00,1085,1052.4,1056.34545454545,50
