Date,ClosingPrice,Ma10,Wma10,Momentum10
5/26/2015 00:00:00,3275,,,
5/27/2015 00:00:00,3310,,,
5/28/2015 00:00:00,3324,,,
5/29/2015 00:00:00,3346,,,
6/1/2015 00:00:00,3380,,,
6/2/2015 00:00:00,3352,,,
6/3/2015 00:00:00,3362,,,
6/4/2015 00:00:00,3289,,,
6/5/2015 00:00:00,3236,,,
6/8/2015 00:00:00,3245,,,
6/9/2015 00:00:00,3207,3305.1,3284.25454545455,-103
6/10/2015 00:00:00,3259,3300,3275.87272727273,-65
6/11/2015 00:00:00,3255,3293.1,3267.69090909091,-91
6/12/2015 00:00:00,3254,3283.9,3260.58181818182,-126
6/15/2015 00:00:00,3243,3270.2,3253.14545454545,-109
6/16/2015 00:00:00,3269,3261.9,3252.92727272727,-93
6/17/2015 00:00:00,3291,3254.8,3258.21818181818,2
6/18/2015 00:00:00,3282,3254.1,3263.16363636364,46
6/19/2015 00:00:00,3314,3261.9,3274.05454545455,69
6/22/2015 00:00:00,3376,3275,3294.8,169
6/23/2015 00:00:00,3365,3290.8,3311.16363636364,106
6/24/2015 00:00:00,3350,3299.9,3321.92727272727,95
6/25/2015 00:00:00,3429,3317.3,3345.4,175
6/26/2015 00:00:00,3367,3328.6,3354.43636363636,124
6/29/2015 00:00:00,3304,3334.7,3349.96363636364,35
6/30/2015 00:00:00,3277,3335.5,3339.47272727273,-14
7/1/2015 00:00:00,3303,3336.7,3333.56363636364,21
7/2/2015 00:00:00,3258,3334.3,3319.25454545455,-56
7/3/2015 00:00:00,3288,3331.7,3310.83636363636,-88
7/6/2015 00:00:00,3258,3319.9,3297.43636363636,-107
7/7/2015 00:00:00,3183,3301.7,3272.54545454545,-167
7/8/2015 00:00:00,3154,3282.1,3245.69090909091,-275
7/9/2015 00:00:00,3171,3256.3,3225.49090909091,-196
7/10/2015 00:00:00,3261,3245.7,3226.34545454545,-43
7/13/2015 00:00:00,3424,3257.7,3258.76363636364,147
7/14/2015 00:00:00,3387,3268.7,3282.27272727273,84
7/15/2015 00:00:00,3385,3276.9,3303.41818181818,127
7/16/2015 00:00:00,3416,3292.7,3328.70909090909,128
7/17/2015 00:00:00,3416,3305.5,3351.12727272727,158
7/20/2015 00:00:00,3462,3325.9,3379.58181818182,279
7/21/2015 00:00:00,3432,3350.8,3398.87272727273,278
7/22/2015 00:00:00,3429,3378.3,3413.09090909091,258
7/23/2015 00:00:00,3454,3406.6,3426.85454545455,193
7/24/2015 00:00:00,3443,3424.8,3433.47272727273,19
7/27/2015 00:00:00,3365,3418.9,3422.6,-22
7/28/2015 00:00:00,3390,3419.2,3417.34545454545,5
7/29/2015 00:00:00,3574,3438.1,3445.49090909091,158
7/30/2015 00:00:00,3548,3451.3,3465.47272727273,132
7/31/2015 00:00:00,3644,3474.1,3500.50909090909,182
8/3/2015 00:00:00,3656,3493.5,3533.58181818182,224
8/4/2015 00:00:00,3700,3520.3,3571.12727272727,271
8/5/2015 00:00:00,3720,3549.4,3607.43636363636,266
8/6/2015 00:00:00,3712,3575.2,3637,269
8/7/2015 00:00:00,3620,3592.9,3645.14545454545,255
8/10/2015 00:00:00,3641,3620.5,3653.89090909091,251
8/11/2015 00:00:00,3620,3643.5,3653.8,46
8/12/2015 00:00:00,3620,3648.1,3649.52727272727,72
8/13/2015 00:00:00,3731,3666.4,3664.6,87
8/14/2015 00:00:00,3760,3678,3681.61818181818,104
8/17/2015 00:00:00,3767,3689.1,3697.8,67
8/18/2015 00:00:00,3770,3696.1,3712.50909090909,50
8/19/2015 00:00:00,3755,3699.6,3723.21818181818,43
8/20/2015 00:00:00,3724,3700.8,3727.65454545455,104
8/21/2015 00:00:00,3621,3700.9,3713.14545454545,-20
8/24/2015 00:00:00,3431,3679.9,3664.07272727273,-189
8/25/2015 00:00:00,3616,3679.5,3652.45454545455,-4
8/26/2015 00:00:00,3656,3683.1,3648.18181818182,-75
8/27/2015 00:00:00,3710,3681,3653.07272727273,-50
8/28/2015 00:00:00,3721,3677.1,3660.34545454545,-46
9/1/2015 00:00:00,3694,3669.8,3663.41818181818,-76
9/2/2015 00:00:00,3652,3658,3660.18181818182,-103
9/3/2015 00:00:00,3751,3657.6,3677.09090909091,27
9/4/2015 00:00:00,3701,3655.3,3684.98181818182,80
9/7/2015 00:00:00,3745,3667.7,3701.29090909091,314
9/8/2015 00:00:00,3756,3700.2,3717.34545454545,140
9/9/2015 00:00:00,3815,3720.1,3738.21818181818,159
9/10/2015 00:00:00,3743,3728.8,3742.38181818182,33
9/11/2015 00:00:00,3713,3729.1,3739.50909090909,-8
9/14/2015 00:00:00,3724,3729.4,3738.58181818182,30
9/15/2015 00:00:00,3720,3732,3736.87272727273,68
9/16/2015 00:00:00,3737,3740.5,3737.78181818182,-14
9/17/2015 00:00:00,3747,3740.1,3738.96363636364,46
9/18/2015 00:00:00,3720,3742,3735.30909090909,-25
9/21/2015 00:00:00,3769,3744.4,3740.21818181818,13
9/22/2015 00:00:00,3688,3737.6,3729.96363636364,-127
9/23/2015 00:00:00,3720,3728.1,3726.76363636364,-23
9/24/2015 00:00:00,3700,3723.8,3721.65454545455,-13
9/25/2015 00:00:00,3826,3735.1,3740.23636363636,102
9/28/2015 00:00:00,3764,3739.1,3745.49090909091,44
9/29/2015 00:00:00,3636,3730.7,3726.74545454545,-101
9/30/2015 00:00:00,3648,3721.8,3711.70909090909,-99
10/1/2015 00:00:00,3639,3711,3696.65454545455,-81
10/2/2015 00:00:00,3666,3705.6,3688.47272727273,-103
10/5/2015 00:00:00,3760,3704.7,3698.36363636364,72
10/6/2015 00:00:00,3755,3711.4,3707.50909090909,35
10/7/2015 00:00:00,3585,3697.9,3684.52727272727,-115
10/8/2015 00:00:00,3525,3680.4,3653.09090909091,-301
10/9/2015 00:00:00,3506,3648.4,3621.38181818182,-258
10/12/2015 00:00:00,3510,3623,3596.21818181818,-126
10/13/2015 00:00:00,3507,3610.1,3575.12727272727,-141
10/14/2015 00:00:00,3504,3595.7,3555.83636363636,-135
10/15/2015 00:00:00,3596,3591.4,3555.89090909091,-70
10/16/2015 00:00:00,3650,3589.8,3566.54545454545,-110
10/19/2015 00:00:00,3706,3584.4,3587.67272727273,-49
10/20/2015 00:00:00,3734,3582.3,3614.87272727273,149
10/21/2015 00:00:00,3732,3597,3642.09090909091,207
10/22/2015 00:00:00,3730,3617.5,3666.27272727273,224
10/23/2015 00:00:00,3800,3646.9,3699.45454545455,290
10/26/2015 00:00:00,3810,3676.9,3729.10909090909,303
10/27/2015 00:00:00,3782,3704.4,3748.21818181818,278
10/28/2015 00:00:00,3810,3735,3767.41818181818,214
10/29/2015 00:00:00,3853,3760.7,3788.87272727273,203
10/30/2015 00:00:00,3839,3779.6,3803.10909090909,133
11/2/2015 00:00:00,3864,3795.4,3818.45454545455,130
11/3/2015 00:00:00,3851,3807.1,3828.56363636364,119
11/4/2015 00:00:00,3854,3819.3,3837.09090909091,124
11/5/2015 00:00:00,3894,3835.7,3850.67272727273,94
11/6/2015 00:00:00,3901,3845.8,3862.54545454545,91
11/9/2015 00:00:00,3836,3848.4,3860.76363636364,54
11/10/2015 00:00:00,3875,3857.7,3865.6,65
11/11/2015 00:00:00,3899,3866.6,3873.10909090909,46
11/12/2015 00:00:00,3900,3871.3,3879.18181818182,61
11/13/2015 00:00:00,3873,3874.7,3879.49090909091,9
11/16/2015 00:00:00,3900,3878.3,3884.09090909091,49
11/17/2015 00:00:00,3930,3886.2,3893.49090909091,76
11/18/2015 00:00:00,3885,3889.3,3893.27272727273,-9
11/19/2015 00:00:00,3887,3888.6,3892.85454545455,-14
11/20/2015 00:00:00,3891,3887.6,3893.29090909091,55
11/23/2015 00:00:00,3871,3891.1,3890.27272727273,-4
11/24/2015 00:00:00,3799,3883.5,3873.52727272727,-100
11/25/2015 00:00:00,3850,3878.6,3867.43636363636,-50
11/26/2015 00:00:00,3879,3876.5,3867.50909090909,6
11/27/2015 00:00:00,3939,3883.1,3878.87272727273,39
11/30/2015 00:00:00,4001,3893.2,3900.30909090909,71
12/1/2015 00:00:00,4053,3905.5,3929.36363636364,168
12/2/2015 00:00:00,4097,3926.7,3964.18181818182,210
12/3/2015 00:00:00,4116,3949.6,3998.6,225
12/4/2015 00:00:00,4044,3964.9,4015.76363636364,173
12/7/2015 00:00:00,4086,3986.4,4037.78181818182,287
12/8/2015 00:00:00,3996,4006.1,4039.52727272727,146
