Date,ClosingPrice,Ma10,Wma10,Momentum10
5/26/2015 00:00:00,3374,,,
5/27/2015 00:00:00,3406,,,
5/28/2015 00:00:00,3406,,,
5/29/2015 00:00:00,3374,,,
6/1/2015 00:00:00,3368,,,
6/2/2015 00:00:00,3347,,,
6/3/2015 00:00:00,3367,,,
6/4/2015 00:00:00,3341,,,
6/5/2015 00:00:00,3262,,,
6/8/2015 00:00:00,3244,,,
6/9/2015 00:00:00,3220,3333.5,3302.32727272727,-186
6/10/2015 00:00:00,3260,3318.9,3288.96363636364,-146
6/11/2015 00:00:00,3294,3307.7,3284.43636363636,-80
6/12/2015 00:00:00,3259,3296.2,3275.58181818182,-109
6/15/2015 00:00:00,3204,3279.8,3258.81818181818,-143
6/16/2015 00:00:00,3212,3266.3,3246.49090909091,-155
6/17/2015 00:00:00,3190,3248.6,3232.61818181818,-151
6/18/2015 00:00:00,3218,3236.3,3227.05454545455,-44
6/19/2015 00:00:00,3232,3233.3,3226.27272727273,-12
6/22/2015 00:00:00,3294,3238.3,3237.30909090909,74
6/23/2015 00:00:00,3330,3249.3,3253.98181818182,70
6/24/2015 00:00:00,3330,3256.3,3268.65454545455,36
6/25/2015 00:00:00,3325,3259.4,3281.14545454545,66
6/26/2015 00:00:00,3308,3264.3,3289.98181818182,104
6/29/2015 00:00:00,3208,3264.7,3279.74545454545,-4
6/30/2015 00:00:00,3176,3261.1,3263.61818181818,-14
7/1/2015 00:00:00,3220,3264.1,3256.14545454545,2
7/2/2015 00:00:00,3194,3261.7,3243.4,-38
7/3/2015 00:00:00,3174,3255.9,3227.45454545455,-120
7/6/2015 00:00:00,3061,3232.6,3192.01818181818,-269
7/7/2015 00:00:00,3005,3200.1,3150.63636363636,-325
7/8/2015 00:00:00,2993,3166.4,3112.98181818182,-332
7/9/2015 00:00:00,3000,3133.9,3082.72727272727,-308
7/10/2015 00:00:00,3104,3113.5,3077.29090909091,-104
7/13/2015 00:00:00,3180,3110.7,3089.38181818182,4
7/14/2015 00:00:00,3156,3108.7,3097.61818181818,-64
7/15/2015 00:00:00,3167,3103.4,3108.21818181818,-27
7/16/2015 00:00:00,3200,3104,3125.78181818182,26
7/17/2015 00:00:00,3208,3107.4,3144.69090909091,147
7/20/2015 00:00:00,3200,3121.3,3161.52727272727,195
7/21/2015 00:00:00,3184,3139.2,3172.92727272727,191
7/22/2015 00:00:00,3140,3153.9,3173.07272727273,140
7/23/2015 00:00:00,3130,3166.9,3168.72727272727,26
7/24/2015 00:00:00,3101,3166.6,3156.74545454545,-79
7/27/2015 00:00:00,3036,3152.2,3133,-120
7/28/2015 00:00:00,3040,3140.6,3112.6,-127
7/29/2015 00:00:00,3092,3133.1,3103.76363636364,-108
