Date,ClosingPrice,Ma10,Wma10,Momentum10
5/5/2015 00:00:00,496.5,,,
5/6/2015 00:00:00,536,,,
5/7/2015 00:00:00,526.5,,,
5/8/2015 00:00:00,543.5,,,
5/11/2015 00:00:00,556,,,
5/12/2015 00:00:00,541,,,
5/13/2015 00:00:00,543,,,
5/14/2015 00:00:00,544,,,
5/15/2015 00:00:00,544,,,
5/18/2015 00:00:00,561.5,,,
5/19/2015 00:00:00,570.5,546.6,551.363636363636,34.5
5/20/2015 00:00:00,575.5,550.55,556.618181818182,49
5/21/2015 00:00:00,574.5,555.35,560.972727272727,31
5/22/2015 00:00:00,572,558.2,564,16
5/26/2015 00:00:00,567.5,559.35,565.690909090909,26.5
5/27/2015 00:00:00,570,562.25,567.627272727273,27
5/28/2015 00:00:00,577.5,565.7,570.4,33.5
5/29/2015 00:00:00,568.5,568.15,570.909090909091,24.5
6/1/2015 00:00:00,573.5,571.1,571.881818181818,12
6/2/2015 00:00:00,567,571.65,571.136363636364,-3.5
6/3/2015 00:00:00,562.5,570.85,569.472727272727,-13
6/4/2015 00:00:00,557,569,566.954545454546,-17.5
6/5/2015 00:00:00,547.5,566.3,563.045454545455,-24.5
6/8/2015 00:00:00,544.5,563.55,559.081818181818,-23
6/9/2015 00:00:00,541,560.9,554.981818181818,-29
6/10/2015 00:00:00,549,558.8,552.818181818182,-28.5
6/11/2015 00:00:00,554,556.45,551.945454545455,-14.5
6/12/2015 00:00:00,551.5,554.75,551.045454545455,-22
6/15/2015 00:00:00,545.5,551.95,549.363636363636,-21.5
6/16/2015 00:00:00,543,549.55,547.736363636364,-19.5
6/17/2015 00:00:00,540.5,547.35,546.090909090909,-16.5
6/18/2015 00:00:00,539,545.55,544.572727272727,-8.5
6/19/2015 00:00:00,539,544.7,543.381818181818,-5.5
6/22/2015 00:00:00,540.5,544.3,542.618181818182,-0.5
6/23/2015 00:00:00,549,545.1,543.472727272727,0
6/24/2015 00:00:00,516,541.8,538.181818181818,-38
6/25/2015 00:00:00,536,540,537.127272727273,-15.5
6/26/2015 00:00:00,530,537.85,535.309090909091,-15.5
6/29/2015 00:00:00,526.5,535.95,533.245454545455,-16.5
6/30/2015 00:00:00,512.5,532.9,528.981818181818,-28
7/1/2015 00:00:00,520,530.85,526.636363636364,-19
7/2/2015 00:00:00,510.5,528,522.936363636364,-28.5
7/3/2015 00:00:00,510.5,525.15,519.754545454545,-30
7/6/2015 00:00:00,508.5,521.95,516.727272727273,-40.5
7/7/2015 00:00:00,502.5,517.3,513.190909090909,-13.5
7/8/2015 00:00:00,506,516.3,511.136363636364,-30
7/9/2015 00:00:00,519.5,514.65,511.718181818182,-10.5
7/10/2015 00:00:00,524,514.05,513.418181818182,-2.5
