Date,ClosingPrice,Ma10,Wma10,Momentum10
5/5/2015 00:00:00,835.5,,,
5/6/2015 00:00:00,812.5,,,
5/7/2015 00:00:00,814.5,,,
5/8/2015 00:00:00,834.5,,,
5/11/2015 00:00:00,841,,,
5/12/2015 00:00:00,840,,,
5/13/2015 00:00:00,855.5,,,
5/14/2015 00:00:00,861,,,
5/15/2015 00:00:00,881.5,,,
5/18/2015 00:00:00,881.5,,,
5/19/2015 00:00:00,903,852.5,866.990909090909,90.5
5/20/2015 00:00:00,879.5,859.2,871.9,65
5/21/2015 00:00:00,872,864.95,874.227272727273,37.5
5/22/2015 00:00:00,870.5,868.55,875.236363636364,29.5
5/26/2015 00:00:00,867.5,871.2,875.045454545455,27.5
5/27/2015 00:00:00,882.5,875.45,877.1,27
5/28/2015 00:00:00,880.5,877.95,878.018181818182,19.5
5/29/2015 00:00:00,876,879.45,877.663636363636,-5.5
6/1/2015 00:00:00,897.5,881.05,880.945454545455,16
6/2/2015 00:00:00,882,881.1,881.118181818182,-21
6/3/2015 00:00:00,871.5,877.95,879.372727272727,-8
6/4/2015 00:00:00,873.5,877.35,878.563636363636,1.5
6/5/2015 00:00:00,859.5,876.1,875.318181818182,-11
6/8/2015 00:00:00,858,874.85,872.027272727273,-9.5
6/9/2015 00:00:00,866,874.7,870.418181818182,-16.5
6/10/2015 00:00:00,870.5,873.5,869.654545454545,-10
6/11/2015 00:00:00,881.5,873.6,871.109090909091,5.5
6/12/2015 00:00:00,877.5,873.75,871.818181818182,-20
6/15/2015 00:00:00,874,871.4,871.863636363636,-8
6/16/2015 00:00:00,880,871.2,873.427272727273,8.5
6/17/2015 00:00:00,872,871.25,873.572727272727,-1.5
6/18/2015 00:00:00,868,870.7,872.981818181818,8.5
6/19/2015 00:00:00,868.5,871.6,872.581818181818,10.5
6/22/2015 00:00:00,873.5,873.15,872.927272727273,7.5
6/23/2015 00:00:00,879,874.45,873.990909090909,8.5
6/24/2015 00:00:00,873,874.7,873.727272727273,-8.5
6/25/2015 00:00:00,881,874.65,874.872727272727,3.5
6/26/2015 00:00:00,876.5,874.55,875.209090909091,2.5
6/29/2015 00:00:00,865,873.65,873.472727272727,-15
6/30/2015 00:00:00,868,872.45,872.445454545455,-4
7/1/2015 00:00:00,877.5,873,873.363636363636,9.5
7/2/2015 00:00:00,865,872.7,871.909090909091,-3.5
7/3/2015 00:00:00,863.5,872.2,870.236363636364,-10
7/6/2015 00:00:00,855,870.35,867.109090909091,-24
7/7/2015 00:00:00,849,867.35,863.227272727273,-24
7/8/2015 00:00:00,851,865.15,860.254545454545,-30
7/9/2015 00:00:00,863,863.35,859.863636363636,-13.5
7/10/2015 00:00:00,870,862.7,861.072727272727,5
7/13/2015 00:00:00,903.5,866.55,868.490909090909,35.5
7/14/2015 00:00:00,905.5,870.3,875.572727272727,28
7/15/2015 00:00:00,906.5,873.2,882.154545454545,41.5
7/16/2015 00:00:00,919,878.6,890.481818181818,55.5
7/17/2015 00:00:00,927,884.95,899.281818181818,72
7/20/2015 00:00:00,929.5,892.4,907.381818181818,80.5
7/21/2015 00:00:00,928,900.3,913.854545454545,77
7/22/2015 00:00:00,930,908.2,919.254545454545,67
7/23/2015 00:00:00,926,914.5,922.490909090909,56
7/24/2015 00:00:00,934.5,920.95,926.127272727273,31
7/27/2015 00:00:00,920.5,922.65,926.045454545455,15
7/28/2015 00:00:00,925.5,924.65,926.563636363636,19
7/29/2015 00:00:00,926,926.6,926.809090909091,7
7/30/2015 00:00:00,922.5,926.95,926.063636363636,-4.5
7/31/2015 00:00:00,935,927.75,927.527272727273,5.5
8/3/2015 00:00:00,935,928.3,928.845454545455,7
8/4/2015 00:00:00,946.5,930.15,932.154545454545,16.5
8/5/2015 00:00:00,951.5,932.3,936.036363636364,25.5
8/6/2015 00:00:00,960,935.7,941.072727272727,25.5
8/7/2015 00:00:00,959,938.15,945.309090909091,38.5
8/10/2015 00:00:00,971,943.2,951.281818181818,45.5
8/11/2015 00:00:00,964,947.05,955.063636363636,38
8/12/2015 00:00:00,948,949.25,955.236363636364,25.5
8/13/2015 00:00:00,957,952.7,956.645454545455,22
8/14/2015 00:00:00,962,955.4,958.336363636364,27
8/17/2015 00:00:00,967,958.6,960.445454545455,20.5
8/18/2015 00:00:00,969.5,960.9,962.427272727273,18
8/19/2015 00:00:00,954.5,961.2,961.263636363636,-5.5
8/20/2015 00:00:00,949.5,960.15,959.136363636364,-9.5
8/21/2015 00:00:00,926,956.85,952.927272727273,-45
8/24/2015 00:00:00,889.5,948.7,940.681818181818,-74.5
8/25/2015 00:00:00,914.5,943.75,934.463636363636,-33.5
8/26/2015 00:00:00,901,939.05,926.690909090909,-56
8/27/2015 00:00:00,897.5,933.1,919.136363636364,-64.5
8/28/2015 00:00:00,900,926.9,913.118181818182,-67
9/1/2015 00:00:00,889,919.1,906.227272727273,-80.5
9/2/2015 00:00:00,900.5,912.2,902.845454545455,-54
9/3/2015 00:00:00,910,907.75,902.445454545455,-39.5
9/4/2015 00:00:00,890.5,901.85,899.309090909091,-35.5
9/7/2015 00:00:00,890,898.25,897.154545454545,0.5
9/8/2015 00:00:00,893,898.6,896.2,-21.5
9/9/2015 00:00:00,906.5,897.8,897.636363636364,5.5
9/10/2015 00:00:00,907,898.4,899.309090909091,9.5
