Date,ClosingPrice,Ma10,Wma10,Momentum10
3/29/2016 00:00:00,458.3,,,
3/30/2016 00:00:00,470.2,,,
3/31/2016 00:00:00,462,,,
4/1/2016 00:00:00,462,,,
4/4/2016 00:00:00,460.5,,,
4/5/2016 00:00:00,454.1,,,
4/6/2016 00:00:00,458.6,,,
4/7/2016 00:00:00,451.5,,,
4/8/2016 00:00:00,458.8,,,
4/11/2016 00:00:00,455.8,,,
4/12/2016 00:00:00,451.7,458.52,456.261818181818,-18.5
4/13/2016 00:00:00,450,456.5,454.712727272727,-12
4/14/2016 00:00:00,457,456,454.803636363636,-5
4/15/2016 00:00:00,449.6,454.76,453.64,-10.9
4/18/2016 00:00:00,447.3,453.44,452.283636363636,-6.80000000000001
4/19/2016 00:00:00,450.9,453.12,451.821818181818,-7.70000000000005
4/20/2016 00:00:00,436.6,450.92,448.818181818182,-14.9
4/21/2016 00:00:00,435.5,449.32,446.014545454545,-23.3
4/25/2016 00:00:00,430,446.44,442.501818181818,-25.8
4/26/2016 00:00:00,436,444.46,440.603636363636,-15.7
4/27/2016 00:00:00,439.1,443.2,439.629090909091,-10.9
4/28/2016 00:00:00,445,442.7,439.956363636364,-12
4/29/2016 00:00:00,465,443.5,444.010909090909,15.4
5/2/2016 00:00:00,452.6,443.8,445.665454545455,5.30000000000001
5/3/2016 00:00:00,441,443.17,445.156363636364,-9.89999999999998
5/4/2016 00:00:00,437.3,441.81,444.089090909091,0.699999999999989
5/9/2016 00:00:00,450.4,443.19,445.650909090909,14.9
5/10/2016 00:00:00,454.8,445.12,447.761818181818,24.8
5/11/2016 00:00:00,454.1,447.53,449.394545454545,18.1
5/12/2016 00:00:00,453,449.23,450.389090909091,13.9
5/13/2016 00:00:00,448.4,450.16,450.238181818182,3.39999999999998
5/17/2016 00:00:00,443.6,450.02,449.045454545455,-21.4
5/18/2016 00:00:00,441.9,447.71,447.569090909091,-10.7
5/19/2016 00:00:00,440.2,446.47,446.203636363636,-0.800000000000011
5/20/2016 00:00:00,442.9,446.66,445.554545454545,5.59999999999997
5/23/2016 00:00:00,439.9,446.92,444.325454545455,-10.5
5/24/2016 00:00:00,450,446.88,444.885454545454,-4.80000000000001
5/25/2016 00:00:00,464.9,447.89,448.161818181818,10.8
5/26/2016 00:00:00,464.6,448.94,451.2,11.6
