Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1990 00:00:00,,,190205.994,15526,,75966.999,46176.999,32863.998,1007685.974,,,1127812.988,69375,1081635.974,,,65799.995,32863.998
12/31/1991 00:00:00,,,333506.989,42625.999,34.047629,161276.007,153370.999,58118.999,1093612.061,3.417897,48.638163,1366468.994,107746.002,1213098.063,14.230434,,141649.994,58118.999
12/31/1992 00:00:00,,,400993.011,55808.998,24.896569,186492.001,189040,70606.003,1196422.974,3.824847,35.09073,1551765.015,127258.003,1362724.976,9.174413,557,170555.008,70606.003
12/31/1993 00:00:00,,,518710.999,71264.999,23.422508,234678.997,320491.998,78953.003,1199636.963,4.400292,29.295093,1687338.013,131526.001,1366845.963,6.657533,570,250010.986,78953.003
12/31/1994 00:00:00,,,532700.012,100099.998,28.184877,275500.008,421500,60799.999,1144099.976,5.557656,28.184877,1914900.024,107500,1493399.979,5.07136,680,263700.012,60799.999
12/31/1995 00:00:00,,,685000,107000,22.526316,303000,707000,134000,1223000,5.053248,22.526316,2320000,228000,1613000,4.457789,1258,280000,134000
12/31/1996 00:00:00,,,835000,125000,19.685039,343000,934000,198000,2008000,4.207338,19.685039,3622000,382000,2688000,4.67874,5700,333000,198000
12/31/1997 00:00:00,,,1411000,185000,16.802906,482000,2556000,596000,4585000,2.952677,16.802906,8909000,1204000,6353000,5.690736,10000,430000,596000
12/31/1998 00:00:00,,,2398000,311000,18.992366,929000,3076000,1413000,5241000,3.158964,18.992366,10781000,1976000,7705000,6.012214,11700,811000,1413000
12/31/1999 00:00:00,,,3253000,228000,10.291131,1203000,5103000,1216000,10818000,1.440258,10.291131,20880000,2570000,15777000,7.14534,14500,1004000,1216000
12/31/2000 00:00:00,,,6206000,795000,19.440029,2518000,8212000,2471000,16321000,2.948922,19.440029,33038000,5039000,24826000,6.592248,26606,1903000,2471000
12/31/2001 00:00:00,,,6299000,273000,4.927353,2739000,8047000,2449000,16428000,0.781675,4.927353,36812000,4928000,28765000,6.303583,38000,2000000,2449000
12/31/2002 00:00:00,,,7380000,-3509000,,2675000,316000,3303000,16799000,-9.826517,,34607000,6506000,34291000,13.739708,36000,1950000,3303000
12/31/2003 00:00:00,,,8415000,-403000,,3011000,1450000,2846000,16792000,-1.249399,,29904000,6487000,28454000,212.207237,30000,2433000,2846000
12/31/2004 00:00:00,0,,9463000,298000,37.226733,3399000,2261000,1761000,16827000,1.01314,37.226733,28923000,4884000,26662000,36.74391,30000,2782000,1761000
12/31/2005 00:00:00,0,,11021000,605000,46.862897,3838000,3252000,1647000,15320000,2.090424,46.862897,28960000,5276000,25708000,22.417893,30000,3199000,1647000
12/31/2006 00:00:00,0,,11576000,247000,10.72747,4066000,5906000,1402000,14630000,0.820135,10.72747,31274000,5050000,25368000,13.08013,32000,3434000,1402000
12/31/2007 00:00:00,0,7436.442,13516000,-95000,-3.092951,3955000,6405000,1365000,16625000,-0.289075,-3.092951,34453000,5482000,28048000,10.699495,28000,3392000,1365000
12/31/2008 00:00:00,,7416.558,15358000,1234000,36.118835,4262000,7027000,1071000,16619000,3.563436,36.118835,34806000,5182000,27779000,10.135958,25000,3632000,1071000
12/31/2009 00:00:00,0,8812.49,13954000,658000,15.771812,4143000,8940000,1932000,17605000,1.770221,15.771812,39535000,6621000,30595000,8.909516,27000,3433000,1932000
12/31/2010 00:00:00,0,7868.72,15828000,9000,0.161464,4722000,10473000,2996000,15792000,0.022487,0.161464,40511000,8065000,30038000,7.180301,29000,3936000,2996000
12/31/2011 00:00:00,0,27743.482,16923000,58000,0.934053,4934000,9807000,2428000,19592000,0.135108,0.934053,45346000,8438000,35539000,6.913359,27000,4063000,2428000
12/31/2012 00:00:00,0,7701.365,17164000,-912000,,4703000,7592000,2505000,18216000,-2.092319,-17.346648,41830000,8319000,34238000,8.290632,25000,3583000,2505000
12/31/2013 00:00:00,0,8575.15,15891000,114000,1.457591,4321000,7729000,2180000,18869000,0.277234,2.562086,40411000,7653000,32682000,9.2416,22000,3247000,2180000
12/31/2014 00:00:00,0,8403.245,1
