Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1989 00:00:00,,,,,,,,,,,,,,,,,,
12/31/1990 00:00:00,,,,,,,,,,,,,,,,,,
12/31/1991 00:00:00,,,,,,,,,,,,,,,,,,
12/31/1992 00:00:00,,,287468.994,23923,,35216.001,93146.997,1130,20000,,,410118.011,281384.003,316971.003,,2700,,1130
12/31/1993 00:00:00,,,312981.995,29590,17.670109,43762.001,119438,1130,28166,6.664482,27.838277,477872.986,318295.013,358435.014,4.17711,3000,,1130
12/31/1994 00:00:00,,,357971.985,34404.999,19.654771,50848.999,96244.999,0,0,7.320664,31.903302,462069,352708.008,365824.008,4.357979,3300,,0
12/31/1995 00:00:00,,,417782.013,42544.998,24.599329,56805.999,125508.997,1130,2260,8.278042,38.371347,565830.994,426312.012,440322.012,4.635317,3700,,1130
12/31/1996 00:00:00,,,438123.993,43144.001,19.077908,52299.999,133901.001,1130,1130,7.450702,33.263175,592288.025,446808.014,458387.014,4.464435,3900,,1130
12/31/1997 00:00:00,,,467335.999,54900.002,23.034515,60699.999,165580.008,15500,0,8.823756,36.663428,652080.017,473156.25,486496.25,4.155082,3900,,15500
12/31/1998 00:00:00,0,,540675,58137,18.281873,80838,205487,0,0,8.231683,31.335041,760438,541988,554951,3.806639,4300,,0
12/31/1999 00:00:00,0,,626261,70250,18.033684,96156,249750,0,0,8.28348,30.863045,935709,667134,685959,3.725855,4600,,0
12/31/2000 00:00:00,0,,699176.025,87776.001,18.519752,101271.002,314372.002,0,0,8.786356,31.11951,1062297.974,728750.977,747925.976,3.541799,5200,,0
12/31/2001 00:00:00,0,,863887,125256,23.826177,105898,371613,41704,96698,7.809854,36.518583,2145342,1637956,1773729,4.675962,6500,,41704
12/31/2002 00:00:00,0,,1052300,129900,17.159121,238030,528200,47800,185800,5.636869,28.872666,2463600,1749600,1935400,5.122111,7111,,47800
12/31/2003 00:00:00,0,,1202400,146200,14.172405,278700,619100,30900,221200,5.449937,25.485923,2901600,2061300,2282500,4.676371,7200,,30900
12/31/2004 00:00:00,0,,1250599.976,188500,14.126925,123700.001,761000,41400.002,140000,6.145169,27.316861,3233300.049,2207500,2472300.003,4.445258,8200,,41400.002
12/31/2005 00:00:00,0,,1350599.976,30799.999,-10.809633,140599.998,769099.976,5300,107599.998,0.93012,4.025881,3389500,2386300.049,2620400.047,4.328345,8100,,5300
12/31/2006 00:00:00,0,,1470100,128500,1.372609,223700,864100,8900,25900,3.774084,15.735979,3420100,2401300,2556000,4.169483,8757,,8900
12/31/2007 00:00:00,0,3404.81,1623300,138800,4.171852,281400,715500,0,400000,3.978844,17.574069,3556800,2232200,2841300,4.416878,9300,,0
12/31/2008 00:00:00,0,3038.975,1645000,77300,-0.935375,272800,738500,132000,400000,2.264173,10.632737,3271300,1858600,2532800,4.69608,9863,,132000
12/31/2009 00:00:00,0,3688.72,1729300,128600,0.331658,325200,892900,0,550000,3.943817,15.7656,3250300,1474400,2357400,3.997548,9900,,0
12/31/2010 00:00:00,0,3808.11,1864200,174100,2.90047,330700,1106700,0,550000,5.085959,17.413483,3596000,1577300,2489300,3.423835,10736,1800200,0
12/31/2011 00:00:00,0,3982.664,2134700,144100,-0.459516,363800,1243600,10000,675000,3.567052,12.262264,4483500,2073600,3239900,3.437646,12400,2102700,10000
12/31/2012 00:00:00,0,4499.688,2520300,195000,1.895114,428700,1658600,129000,725000,3.965107,13.438081,5352300,2362900,3693700,3.389084,13700,2408700,129000
12/31/2013 00:00:00,0,4618.284,3179600,268600,4.593894,503200,2085500,630500,825000,4.398664,14.347907,6860500,3284800,4775000,3.261879,16400,2742300,630500
12/31/2014 00:00:00,0,5626.778,4626500,303400,2.995353,639400,3229400,140000,2125000,3.596811,11.41696,10010000,3642700,6780600,3.17419,20240,3567600,140000
12/31/2015 00:00:00,0,5467.311,5392400,356800,2.8685,730700,3688200,245000,2071700,3.411008,10.390669,10910500,4187100,7222300,3.046216,21500,4040900,245000
12/31/2016 00:00:00,0,5739.167,5594800,414400,3.922653,817500,3655800,578000,2144600,3.699983,11.455583,11489600,4611700,7833800,3.096117,24800,4186200,578000
12/31/2017 00:00:00,0,7886.491,6159600,463100,4.661248,888000,4164900,290000,2691900,3.
