Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/2000 00:00:00,,,6189.701172,89.683998,,,,,,,,,,,,,,
12/31/2001 00:00:00,,,6056.890137,98.053001,,,4923.639038,0,0,,,24449.880859,,19526.238403,,,,0
12/31/2002 00:00:00,,,6441.727051,-1001.198975,-27.957984,,4025.792999,0,0,-4.29074,-33.331834,22218.009766,,18192.219024,7.768318,12200,,0
12/31/2003 00:00:00,,,6997.936,185.652,0.172156,,2632.103,0,1970.384,0.808125,7.158134,23728.324,,21096.216,8.857702,12200,,0
12/31/2004 00:00:00,,,7419.946,350.56,10.239562,,3635.431,,995.771,1.452303,11.186537,24548.106,,20912.675,7.70262,12000,,
12/31/2005 00:00:00,,,7497.675,479.355,11.923806,,3699.559,,995.85,1.920741,13.070365,25365.453,,21665.894,6.804857,12000,,
12/31/2006 00:00:00,,,8070.584,717.418,17.768005,,3832.597,,993.934,2.839539,19.049473,25165.148,,21332.551,6.70865,13400,,
12/31/2007 00:00:00,,3.619747,8453.515,653.746,15.116026,,4088.903,,993.023,2.518502,16.505611,26750.316,,22661.413,6.553742,14000,,
12/31/2008 00:00:00,,10.946086,8601.228,447.796,9.851344,,3709.505,,983.117,1.746989,11.484293,24514.586,,20805.081,6.573765,15000,,
12/31/2009 00:00:00,,8.542491,8700.501,430.574,8.431353,,4853.249,,980.218,1.709466,10.056905,25860.667,,21007.418,5.883067,15000,,
12/31/2010 00:00:00,,7.869488,8527.722,279.177,4.350501,,4780.537,,977.164,1.068463,5.79579,26397.018,,21616.481,5.424418,14000,,
12/31/2011 00:00:00,,9.38934,8272.804,538.956,9.76895,,4873.95,,972.278,2.017924,11.164881,27019.862,,22145.912,5.532855,14100,,
12/31/2012 00:00:00,,12.307289,8508.27,483.705,8.237379,,5185.366,,972.399,1.728553,9.617055,28946.607,,23761.241,5.563646,14600,,
12/31/2013 00:00:00,,7.089592,9047.657,488.907,8.279976,,4833.479,,1638.118,1.666881,9.759748,29714.689,,24881.21,5.855096,16600,,
12/31/2014 00:00:00,,11.903533,10383.159,470.907,7.856623,,5181.307,,1171.079,1.536974,9.404235,31562.466,,26381.159,6.118668,17600,,
12/31/2015 00:00:00,,8.274225,10325.494,141.555,0.976521,,4523.967,,1164.656,0.459603,2.917074,30036.402,,25512.435,6.346948,16700,,
12/31/2016 00:00:00,,7.797881,7531.78,565.35,10.206462,,4098.1,,1067.02,1.892527,13.114025,29709.128,,25611.028,6.929374,14700,,
12/31/2017 00:00:00,,9.274743,6415,519.6,9.573769,,4281.5,,1068.2,1.688325,12.417699,31843,,27561.5,7.355041,14750,,
12/31/2017 00:00:00,,9.274743,6415,519.6,11.2191869212336,,4281.5,,1068.2,1.68832505677139,12.4176992842377,31843,,27561.5,7.64059080962801,14750,,
