Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1987 00:00:00,199000,,6223000,331000,,938000,3778000,432000,1658000,,,7638000,1877000,3860000,,,2242000,432000
12/31/1988 00:00:00,238000,,6861000,388000,6.847698,1012000,4041000,530000,2246000,4.793674,10.963063,8550000,1886000,4509000,2.730309,64000,2494000,530000
12/31/1989 00:00:00,245000,,7399000,446000,7.582792,1134000,4246000,379000,2052000,5.230751,11.884865,8503000,1859000,4257000,2.638966,64300,2645000,379000
12/31/1990 00:00:00,261000,,8100000,40000,,1311000,4092000,432000,1729000,0.470035,-0.337126,8517000,2324000,4425000,2.390785,64600,2903000,432000
12/31/1991 00:00:00,288000,,7799000,591000,8.319014,1371000,4373000,389000,2246000,6.682497,14.588417,9171000,2191000,4798000,2.271478,65900,2975000,389000
12/31/1992 00:00:00,317000,,8471000,441000,6.330274,1492000,3795000,500000,2433000,4.812834,11.138076,9155000,2368000,5360000,2.340784,61300,3241000,500000
12/31/1993 00:00:00,337000,,8879000,-198000,,1433000,3185000,822000,2800000,-2.010152,-5.673352,10545000,2933000,7360000,2.82235,60400,3222000,822000
12/31/1994 00:00:00,303000,,4479000,596000,5.102321,993000,3720000,531000,2341000,6.086601,17.262853,9039000,2046000,5319000,2.836206,53500,1973000,531000
12/31/1995 00:00:00,345000,,5048000,649000,3.063206,1150000,3704000,219000,2372000,7.02533,17.483836,9437000,2154000,5733000,2.488685,56580,2271000,219000
12/31/1996 00:00:00,340000,,5438000,669000,9.558214,1259000,2504000,346000,1695000,7.85534,21.552835,7596000,2445000,5092000,2.743718,37000,2429000,346000
12/31/1997 00:00:00,392000,,6138000,300000,-0.624634,1403000,2619000,144000,2635000,3.680304,11.711888,8707000,2557000,6088000,3.182315,41000,2798000,144000
12/31/1998 00:00:00,323000,,5706000,315000,-2.350511,1359000,2839000,271000,3096000,3.390743,11.54269,9873000,2831000,7034000,3.404177,42000,2564000,271000
12/31/1999 00:00:00,332000,,6380000,797000,14.585097,1522000,3348000,255000,2601000,8.167239,25.763698,9644000,2700000,6296000,3.154518,45000,2812000,255000
12/31/2000 00:00:00,379000,,6896000,740000,21.833606,1673000,2659000,634000,1726000,8.053545,24.637922,8733000,3372000,6074000,3.059264,43000,3063000,634000
12/31/2001 00:00:00,426000,,7356000,612000,9.439734,1930000,3757000,201000,2486000,6.41644,19.077307,10343000,3294000,6586000,2.973192,48000,3412000,201000
12/31/2002 00:00:00,501000,,8110000,778000,15.454344,2168000,2939000,220000,4398000,6.818281,23.237754,12478000,3851000,9539000,3.408154,54600,3792000,220000
12/31/2003 00:00:00,553000,,8916000,881000,17.273421,2161000,3323000,153000,4421000,6.710591,28.137975,13779000,3819000,10456000,4.193069,51300,3965000,153000
12/31/2004 00:00:00,517000,,9509000,388000,0.691899,2039000,3705000,361000,3933000,2.778772,11.041548,14147000,4286000,10442000,3.973534,,3915000,361000
12/31/2005 00:00:00,533000,,9849000,956000,14.811592,2286000,4299000,924000,2414000,7.114683,23.888056,12727000,4165000,8428000,3.357571,,4269000,924000
12/31/2006 00:00:00,614000,,10378000,1397000,19.2676,2492000,6272000,234000,2567000,10.192245,26.430801,14686000,3610000,8414000,2.593227,,4813000,234000
12/31/2007 00:00:00,760000,19195.175,11263000,1707000,18.855323,2936000,6916000,425000,2664000,11.387592,25.88717,15294000,3812000,8378000,2.273279,46000,5519000,425000
12/31/2008 00:00:00,868000,14824.83,12348000,2014000,21.960822,3195000,6229000,394000,3362000,13.120949,30.64283,15405000,3635000,9176000,2.335413,48500,6130000,394000
12/31/2009 00:00:00,917000,14361.305,12562000,2205000,23.181967,3515000,7420000,711000,3440000,13.461949,32.861401,17354000,4464000,9934000,2.441058,,6525000,711000
12/31/2010 00:00:00,915000,11500.268,12843000,1420000,10.539323,2821000,6796000,24000,4363000,8.150848,20.642535,17489000,4041000,10693000,2.532563,,5958000,24000
12/31/2011 00:00:00,946000,14065.479,13893000,2224000,22.874316,3616000,6828000,446000,4749000,12.165636,33.819951,19073000,4857000,12245000,2.779957,,7046000,446000
12/31/2012 00:00:00,1156000,17521.77,14190000,2326000,21.606596,3533000,6978000,350000,5580000,11.788257,34.400651,20390000,4759000,13412000,2.918213,,7301000,350000
12/31/2013 00:00:00,582000,16162.128,9413000,2012000,-60.348616,1131000,8486000,1040000,8126000,8.821853,26.128173,25224000,5248000,16738000,2.961756,66000,4162000,1040000
12/31/2014 00:00:00,610000,15304.702,10719000,2497000,-43.103584,1448000,8156000,1698000,7331000,9.723142,30.115178,26138000,6037000,17982000,3.097268,66000,4581000,1698000
12/31/2015 00:00:00,603000,17883.684,9968000,968000,-8.68605,1208000,8865000,2585000,3922000,4.110403,11.411057,20962000,5750000,12097000,2.776141,50000,4146000,2585000
12/31/2016 00:00:00,647000,5813.945,10163000,4965000,54.73069,1524000,8280000,3000,2779000,27.199518,57.948179,15546000,2744000,7266000,2.130486,48000,4110000,3000
12/31/2017 00:00:00,617000,14933.664,10561000,717000,4.467354,2019000,9116000,3000,3509000,4.391095,8.234754,17111000,2821000,7995000,1.87533,47000,4462000,3000
12/31/2017 00:00:00,617000,14933.664,10561000,717000,,2019000,9116000,3000,3509000,4.39109532412653,8.23475364649133,17111000,2821000,7995000,1.86401291016676,47000,4462000,3000
