Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1991 00:00:00,26900,,820299.988,-31000,,91899.998,746200,,111500,,,1080000,131199.997,333799.995,,6410,159899.963,
12/31/1992 00:00:00,26799.999,,926000,-12100,,110900.002,730200.012,,107500,-1.123387,-1.644357,1074199.951,167000,344000,1.463749,6670,170799.988,
12/31/1993 00:00:00,25200.001,,985400.024,-98000,-16.508043,132599.998,460800.014,19700.001,139899.994,-8.775072,-16.508043,1159400.024,187300.003,698599.991,1.881243,6610,216100.037,19700.001
12/31/1994 00:00:00,33799.999,,1223400.024,64400.002,10.28169,182900.002,538100.013,20500,86800.003,5.367338,12.957746,1240300.049,247800.003,702200.012,2.414185,7330,275000,20500
12/31/1995 00:00:00,36700.001,,1329099.976,74199.997,10.626487,186400.002,603199.989,31600,103099.998,5.761988,13.076041,1335199.951,252500,731999.992,2.269363,8600,284199.951,31600
12/31/1996 00:00:00,54400.002,,1540099.976,41799.999,4.508463,211900.002,635799.973,38000,279299.988,2.82547,6.803386,1623599.976,337899.994,987799.988,2.407878,9800,334599.976,38000
12/31/1997 00:00:00,59000,,1767000,103199.997,13.444234,259599.998,714400.013,67699.997,270399.994,6.14304,15.606805,1736300.049,395200.012,1021899.994,2.540567,10400,391599.976,67699.997
12/31/1998 00:00:00,65099.998,,1836800.049,94699.997,10.958531,250999.992,785800.018,145000,248500,5.286958,12.875594,1846099.976,454100.006,1060300.018,2.43535,10100,386100.098,145000
12/31/1999 00:00:00,91600,,2458600,132300,12.731633,366800,1066300,134000,846300,5.493274,14.42119,2970700,659800,1904400,2.625245,9900,570100,134000
12/31/2000 00:00:00,112000,,2645900,94000,7.283409,398700,1097400,54400,740400,3.277203,8.766203,2765900,529900,1668500,2.674904,14000,642800,54400
12/31/2001 00:00:00,104500,,2351600,66400,4.620089,315300,1115600,35600,701400,2.398497,6.060329,2770900,455000,1655300,2.526719,13000,460800,35600
12/31/2002 00:00:00,109100,,2731100,-119100,-9.828762,359200,995900,14400,632300,-4.367597,-11.421174,2682900,451200,1687000,2.614979,14000,554600,14400
12/31/2003 00:00:00,118200,,3069200,174900,13.872781,394300,1277600,10000,645500,6.0068,15.603533,3140500,484000,1862900,2.597645,14300,586700,10000
12/31/2004 00:00:00,123100,,3525300,218300,13.063903,486100,1556400,16500,568000,6.54612,15.622987,3529100,663800,1972700,2.386603,14500,651100,16500
12/31/2005 00:00:00,161000,,4293800,239600,13.075761,578600,1780300,299900,440600,6.289952,15.076768,4089400,1122100,2309100,2.396961,17400,853800,299900
12/31/2006 00:00:00,187700,,4585400,211600,9.938629,615900,2037500,151700,569400,4.879286,12.024094,4584000,1034800,2546500,2.464314,17400,849900,151700
12/31/2007 00:00:00,210800,19259.445,5328600,288500,11.871798,689400,2439000,63700,572600,6.046633,13.749553,4958500,1083900,2519500,2.273919,17700,949900,63700
12/31/2008 00:00:00,205700,5887.31,5263900,-35600,,294100,2037500,320700,459600,-0.741474,-1.645444,4644000,1250000,2606500,2.219154,13800,838500,320700
12/31/2009 00:00:00,155200,9095.493,3961800,27000,,311700,2222700,69100,773200,0.571102,1.288383,4811400,1046200,2588700,2.255959,,560800,69100
12/31/2010 00:00:00,185000,12060.522,5652800,377400,,757200,2309800,128500,1051900,7.281216,16.985081,5555000,1392300,3245200,2.332726,,1093300,128500
12/31/2011 00:00:00,243700,10669.808,7114700,550100,23.678037,1080500,2453000,577800,751300,9.555656,23.678037,5958600,1905400,3505600,2.477908,,1410400,577800
12/31/2012 00:00:00,265900,11756.097,7183200,500900,18.312768,1041500,3146100,243400,823800,8.105571,18.312768,6400800,1603100,3254700,2.259282,,1466900,243400
12/31/2013 00:00:00,303200,8146.556,7436600,624300,17.074603,1154600,3632400,201600,1021000,9.375422,18.795159,6917000,1623900,3284600,2.004727,30000,1557500,201600
12/31/2014 00:00:00,336200,10005.23,8305100,655800,15.047194,1294100,3690900,623700,716300,9.272534,18.275555,7228000,2168200,3537100,1.970934,22000,1756400,623700
12/31/2015 00:00:00,307400,17420.632,8023200,609700,13.752067,1259900,3631500,441500,2124600,7.588288,17.007211,8841500,2357300,5210000,2.241245,30000,1703100,441500
12/31/2016 00:00:00,343200,12367.516,9071000,118500,0.144175,617300,3301900,175900,2043600,1.340786,3.499705,8834700,2091800,5532800,2.610189,30000,1933100,175900
12/31/2017 00:00:00,407500,14085.523,9799300,439900,9.105763,1484900,3825900,84600,2103700,4.724443,12.686191,9787600,2425200,5961700,2.685224,29000,2120100,84600
12/31/2017 00:00:00,407500.003051758,14085.523,9799300,439900,,1484900,3825900,84600,2103700,4.72444327499825,12.6861905379879,9787600,2425200,5961700,2.5991117003646,29000,2120100.01220703,84600
