Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/2000 00:00:00,,,,,,,,,,,,,,,,,,
12/31/2001 00:00:00,,,,,,,,,,,,,,,,,,
12/31/2002 00:00:00,,,,,,,,,,,,,,,,120630,,
12/31/2003 00:00:00,,,,,,,,,,,,,,,,117750,,
12/31/2004 00:00:00,,,14547299.805,-17462199.219,,3351200.104,42035201.757,0,9351500,,,68002296.875,6879500,25967099.609,,,5903700.196,0
12/31/2005 00:00:00,,,14113000,-7089100,,3113600,21738700,747100,7153200,-12.769484,-22.236372,43029600,5378600,21290900,1.741368,32160,5734700,747100
12/31/2006 00:00:00,,,14320200,1660500,4.333167,3111100,23523500,15000,7027300,3.837603,7.337686,43508800,4399500,19985300,1.912049,23654,5895400,15000
12/31/2007 00:00:00,,67734.016,14072900,1247000,2.521159,3077500,21473900,19100,7068600,2.971205,5.54285,40430200,4404600,18956300,1.865523,23970,5743600,19100
12/31/2008 00:00:00,,31962.064,13950400,-11673400,,2691000,8597300,21300,6974800,-34.582165,-77.642278,27080900,4800900,18483600,2.245154,25920,5299700,21300
12/31/2009 00:00:00,0,43238.875,13015000,227000,1.035381,1594000,9019400,443600,6553300,0.840073,2.5771,26962000,4746500,17942600,3.067708,,4315000,443600
12/31/2010 00:00:00,0,57729.02,13466000,724000,6.385977,2429000,9821000,27000,5973000,2.726674,7.685612,26143000,4026000,16322000,2.818677,25380,4954000,27000
12/31/2011 00:00:00,0,69900.677,13637000,1305000,11.018991,3114000,9908000,24000,5958000,4.986626,13.229256,26197000,3933000,16289000,2.652947,20915,5755000,24000
12/31/2012 00:00:00,0,62157.026,14089000,1574000,12.897357,3458000,10213000,18000,5904000,5.977631,15.645346,26466000,3941000,16253000,2.617315,20930,6122000,18000
12/31/2013 00:00:00,0,66932.581,14005000,1879000,15.462286,3315000,9966000,495000,5940000,7.110287,18.623321,26387000,4207000,16421000,2.619208,19490,5881000,495000
12/31/2014 00:00:00,0,57175.645,12519000,2959000,25.957024,2840000,6970000,636000,6
