Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1987 00:00:00,,,5930283.203,285384.003,,599566.971,1548614.057,6191,58208,,,2231052.979,568661.011,682439.011,,90500,2362460.205,6191
12/31/1988 00:00:00,,,6780358.887,354510.01,15.175696,676497.002,1804708.956,10874,48151.001,14.274023,22.398155,2736152.1,823598.022,931443.024,1.569491,96500,2694740.967,10874
12/31/1989 00:00:00,,,7553971.191,398075.989,14.64647,767151.993,1721273.051,7460,389803.986,13.803106,23.115407,3031767.09,855340.027,1310494.011,1.739396,100000,2989901.367,7460
12/31/1990 00:00:00,,,8686764.648,385260.986,12.937291,788313.004,1958844.987,5460,427960.999,11.510767,21.399424,3662156.982,1202258.057,1703312.058,1.939149,119590,3314405.761,5460
12/31/1991 00:00:00,,,9886182.617,346681,9.303069,821715.988,2196910.026,58532.001,418325.989,8.949618,16.882732,4085235.107,1330227.051,1888325.043,1.976713,110148,3722329.59,58532.001
12/31/1992 00:00:00,,,10432842.773,133429.001,-0.579111,908880.982,2178170.99,8161,397882.996,3.215429,5.690328,4214062.012,1380918.945,2035890.93,2.006105,115644,3903604.003,8161
12/31/1993 00:00:00,0,,10435401.367,331790.009,7.243436,814924.972,2342033.949,90000,341763,7.819278,14.691538,4272399.902,1328097.046,1930366.058,1.979135,111082,3771006.347,90000
12/31/1994 00:00:00,0,,9445677.734,307470.001,1.033188,656530.014,2491579.003,200000,331339.996,6.826683,12.638425,4735488.77,1642741.943,2243909.942,1.95959,117414,3207299.804,200000
12/31/1995 00:00:00,0,,4865000,-657099.976,,402552.002,1642922.957,52000,327697.998,-15.110869,-34.423451,3961562.012,1797687.988,2318638.992,2.220609,96832,1358600.098,52000
12/31/1996 00:00:00,0,,10944799.805,176600.006,7.437783,799799.973,2196400.025,0,1184300.049,3.658109,8.67387,5693700.195,2122800.049,3497300.095,2.583235,96832,3052099.61,0
12/31/1997 00:00:00,0,,13749599.609,76900.002,-0.494292,946699.982,2614600.006,508299.988,290399.994,1.317616,2.796522,5978899.902,2910600.098,3364300.095,2.582491,90000,3718299.804,508299.988
12/31/1998 00:00:00,,,15273599.609,384500,10.401916,1180200,3110599.975,785700.012,275700.012,6.071804,14.374298,6686200.195,3133300.049,3575600.067,2.454191,97000,4129199.218,785700.012
1/1/2000 00:00:00,,,18098300.781,635099.976,17.015543,1413399.994,3679699.951,468299.988,558500,9.097811,19.902795,7275399.902,2889899.902,3595699.905,2.239482,100000,4861400.391,468299.988
12/30/2000 00:00:00,,,20087500,746000,16.842275,1619299.957,4304599.976,611200.012,536799.988,9.799736,19.659177,7949500,2964100.098,3644900.085,2.046138,99000,5361700.195,611200.012
12/29/2001 00:00:00,,,22241400,413200,7.39066,1091400,4566899.963,262200.012,810400.024,4.982576,9.553148,8636299.805,3065100.098,4069400.116,1.988038,107000,5691000,262200.012
12/28/2002 00:00:00,,,24181500,716599.976,12.902737,1516499.939,5196999.847,36799.999,1076300.049,7.839576,15.170282,9645299.805,3105899.902,4448299.957,1.975898,105000,6068800.781,36799.999
1/3/2004 00:00:00,,,26588000,847299.988,13.565548,1765299.988,6021799.851,323200.012,753099.976,8.393929,15.527192,10543099.609,3489199.951,4521299.927,1.882245,110000,6863000,323200.012
1/1/2005 00:00:00,,,30594300,918800,12.744894,1951500,6987200,916200,1925900,7.324063,14.429849,14546800,4858800,7559600,2.001125,78500,8031200,916200
12/31/2005 00:00:00,,,37006200,1224700,14.704656,2608600,8331200,595000,1594100,8.211142,16.285295,15283400,4583900,6952200,2.006417,148000,9901200,595000
12/30/2006 00:00:00,,,43821400,1368900,13.787761,3174900,9917600,2187000,2870400,7.635223,15.213693,20574100,7005000,10656500,2.013007,176000,11742200,2187000
12/29/2007 00:00:00,0,26097.79,76329500,2637000,11.336691,5887900,31321900,2132200,8349700,7.004356,12.849556,54721900,10766300,23400000,1.844441,200000,16107700,2132200
12/31/2008 00:00:00,,24102.648,87471900,3212100,8.680539,7320400,34574400,3697400,8057200,5.553337,9.764617,60959900,13489900,26385500,1.766086,215000,18290400,3697400
12/31/2009 00:00:00,0,30429.113,98215000,3696000,9.28705,7814000,35805000,2419000,8756000,6.02932,10.537285,61641000,12300000,25836000,1.747674,,20358000,2419000
12/31/2010 00:00:00,0,29216.536,95778000,3427000,8.024501,7606000,37734000,1405000,8652000,5.535902,9.329232,62169000,11070000,24435000,1.685223,201000,20219000,1405000
12/31/2011 00:00:00,0,17502.536,107100000,3461000,7.374116,7898000,38081000,806000,9208000,5.462782,9.137833,64543000,11956000,26462000,1.672744,202000,20561000,806000
12/31/2012 00:00:00,0,20330.097,123120000,3864000,8.029547,8963000,37653000,695000,9133000,5.909883,10.208179,66221000,14150000,28568000,1.727306,126000,22488000,695000
12/31/2013 00:00:00,0,31330.162,126761000,4592000,9.25667,9907000,37938000,561000,12841000,6.667296,12.149595,71526000,15425000,33588000,1.822267,130000,23783000,561000
12/31/2014 00:00:00,0,32350.733,139367000,4644000,8.823063,10730000,37963000,1260000,11630000,6.374174,12.187731,74187000,19027000,36224000,1.919904,137800,25367000,1260000
12/31/2015 00:00:00,0,28943.054,153290000,5237000,9.692342,11546000,37242000,1197000,26267000,6.286009,13.864864,92437000,23169000,55195000,2.217101,155000,26528000,1197000
12/31/2016 00:00:00,0,18359.377,177526000,5317000,9.437881,12813000,36834000,1916000,25615000,5.689704,14.365223,94462000,26250000,57628000,2.524775,158000,28857000,1916000
12/31/2017 00:00:00,0,,184765000,6622000,12.303811,11996000,37695000,4821000,22181000,6.98549,17.772172,95131000,30648000,57436000,2.544155,160000,28545000,4821000
12/31/2017 00:00:00,0,18359.377,184765000,6622000,15.0309209173492,11996000,37695000,4821000,22181000,6.98548997062128,17.7721716026355,95131000,30648000,57436000,2.5909529453924,160000,28545000,4821000
