Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
11/30/1987 00:00:00,,,564080.017,152806,,176653.004,635531.982,13775,90177.002,,,941030.029,215320.999,305498.001,,,259008.026,13775
11/30/1988 00:00:00,,,599731.018,196393.997,12.007621,185550.001,752269.989,13717,76391.998,19.733112,28.302885,1049472.046,220809.998,297201.996,1.434284,14115,272859.009,13717
11/30/1989 00:00:00,,,1147675.049,193604.996,16.985996,307443.008,893156.006,183235.992,819828.003,11.842621,23.532507,2220158.936,504046.997,1327003,1.987103,14460,487728.027,183235.992
11/30/1990 00:00:00,,,1253755.981,206201.996,15.481519,363716.987,1036071.015,217048.004,999771.973,8.585341,21.376644,2583424.072,543343.018,1547352.991,2.4899,,545447.998,217048.004
11/30/1991 00:00:00,,,1404703.979,84987.999,5.65219,401070.999,1171128.968,178136.993,921689.026,3.247736,7.700979,2650251.953,551286.987,1479123.013,2.371183,16000,594386.962,178136.993
11/30/1992 00:00:00,,,1473614.014,276584.015,15.584157,413728.996,1384844.971,97931,776599.976,10.445294,21.642162,2645606.934,474781.006,1260761.982,2.071953,14870,608027.039,97931
11/30/1993 00:00:00,,,1556918.945,318170.013,15.878218,440998.985,1627205.993,91621.002,1031220.947,10.850663,21.126469,3218919.922,549994.019,1591713.966,1.947021,12650,648993.957,91621.002
11/30/1994 00:00:00,,,1806015.991,381765.015,16.943428,554269.012,1928934.021,84643.997,1161904.053,11.083735,21.470753,3669822.998,564956.97,1740889.023,1.937141,15050,777541.016,84643.997
11/30/1995 00:00:00,,,1998150.024,451091.003,16.659292,618470.993,2344872.986,72751.999,1150031.006,11.603165,21.109564,4105486.816,594710.022,1760614.028,1.819294,15530,867036.987,72751.999
11/30/1996 00:00:00,,,2212572.021,566302.002,17.204089,696447.998,3030883.911,66369.003,1316631.958,12.301052,21.068736,5101888.184,662742.004,2071003.96,1.712759,1400,971302.979,66369.003
11/30/1997 00:00:00,,,2447468.018,666049.988,16.142113,828269.004,3605100,59620,1015290,12.652134,20.073888,5426770,756140,1791670,1.586601,3200,1124799.073,59620
11/30/1998 00:00:00,,,3009306,835885,16.435175,1020460,4418160,67626,1563014,13.261603,21.18692,7179323,1135113,2761163,1.597614,,1389929,67626
11/30/1999 00:00:00,,,3497470,1027240,15.599327,1187599,5931247,206267,867515,13.284125,20.108992,8286355,1404913,2355108,1.513761,4300,1634834,206267
11/30/2000 00:00:00,,,3778542,965458,12.10885,1232797,5870617,248219,2099077,10.657637,16.36111,9831320,1715294,3960703,1.535154,,1720200,248219
11/30/2001 00:00:00,,,4535751,926200,10.91658,1448357,6590777,21764,2954854,8.658149,14.865111,11563552,1480240,4972775,1.716892,,2067021,21764
11/30/2002 00:00:00,,,4368269,1015941,10.986817,1444402,7417903,148642,3011969,8.502168,14.50445,12334848,1619806,4916945,1.705971,,2056350,148642
11/30/2003 00:00:00,,,6718000,1194000,8.156183,1968000,13793000,486000,6918000,6.484576,11.258361,24491000,3315000,10698000,1.736175,,2904000,486000
11/30/2004 00:00:00,,,9727000,1854000,9.691064,2985000,15760000,1662000,6291000,7.113396,12.54695,27636000,5034000,11876000,1.763848,,5273000,1662000
11/30/2005 00:00:00,,,11094000,2253000,9.839782,3541000,16883000,1802000,5727000,8.048584,13.803878,28349000,5185000,11466000,1.715069,,4876000,1802000
11/30/2006 00:00:00,,,11839000,2279000,8.315049,3601000,18210000,1492000,6355000,7.738409,12.988345,30552000,5415000,12342000,1.678426,,5048000,1492000
11/30/2007 00:00:00,,9750.215,13033000,2408000,6.921122,3826000,19963000,2539000,6313000,7.439791,12.616247,34181000,7260000,14218000,1.69578,,5405000,2539000
11/30/2008 00:00:00,,4898.167,14646000,2330000,5.47861,3978000,19098000,1608000,7735000,6.895429,11.930058,33400000,5781000,14302000,1.73014,,7077000,1608000
11/30/2009 00:00:00,0,7456.691,13460000,1790000,8.702628,3463000,22039000,950000,9097000,5.097174,8.702628,36835000,4967000,14796000,1.707344,80600,5053000,950000
11/30/2010 00:00:00,,7097.709,14469000,1978000,7.379632,3763000,23031000,1353000,8011000,5.32257,8.777457,37490000,5755000,14459000,1.649101,85200,5377000,1353000
11/30/2011 00:00:00,,7607.922,15793000,1912000,4.801229,3777000,23832000,1300000,8053000,5.023185,8.159956,38637000,6105000,14805000,1.624459,86800,5494000,1300000
11/30/2012 00:00:00,,6497.785,15382000,1298000,0.544377,3169000,23929000,1734000,7168000,3.336847,5.435397,39161000,7340000,15232000,1.628902,84500,5062000,1734000
11/30/2013 00:00:00,,12659.797,15456000,1055000,1.154996,2919000,24556000,1468000,8092000,2.661957,4.351861,40104000,6720000,15548000,1.634836,88200,4811000,1468000
11/30/2014 00:00:00,,8730.512,15884000,1216000,1.800656,3409000,24204000,1725000,7363000,3.05712,4.987695,39448000,6921000,15244000,1.631501,91300,5463000,1725000
11/30/2015 00:00:00,0,9373.908,15714000,1757000,3.760292,4200000,23771000,1374000,7413000,4.465908,7.324648,39237000,6956000,15466000,1.640125,82200,6267000,1374000
11/30/2016 00:00:00,0,9881.82,16389000,2779000,7.690649,4809000,22597000,1097000,8357000,7.1098
