Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1989 00:00:00,,,15654,562,,,5520,296,640,,,57779,41182,52259,,30600,4492,296
12/31/1990 00:00:00,,,18164,330,,,5242,599,832,0.543344,6.132689,63691,46048,58449,11.286936,31400,4904,599
12/31/1991 00:00:00,,,18750,449,4.230979,,5863,385,848,0.688502,8.086448,66737,48371,60874,11.74498,55961,5038,385
12/31/1992 00:00:00,,,18582,311,1.878296,,5744,438,929,0.455464,5.358835,69827,50915,64083,11.765659,52255,4725,438
12/31/1993 00:00:00,,,18402,234,0.245474,,6575,351,1235,0.302322,3.79901,84975,63492,78400,12.566117,50627,4983,351
12/31/1994 00:00:00,,,18392,554,5.392572,,5811,271,1389,0.647662,8.945584,86102,64427,80291,13.812127,48603,5466,271
12/31/1995 00:00:00,,,18955,211,-0.169648,,7157,414,1066,0.231862,3.254164,95903,69550,88746,14.034932,44707,5100,414
12/31/1996 00:00:00,0,,18950,1056,11.333101,,7208,289,1021,1.083994,14.702402,98932,68279,91724,13.563174,42800,6477,289
12/31/1997 00:00:00,,,20038,1086,11.109643,,7932,690,1465,1.048612,14.346103,108199,69650,100267,13.681044,47700,7009,690
12/31/1998 00:00:00,0,,17651,1292,12.688889,2076,8277,272,1428,1.266114,15.941761,95890,21148,87613,12.591091,49900,6037,272
12/31/1999 00:00:00,0,,18726,1774,16.501877,1444,6149,57,1359,1.855425,24.594482,95333,22043,89184,13.255442,41900,6262,57
12/31/2000 00:00:00,0,,19994,987,13.682754,1730,5413,146,1163,1.03665,17.073171,95088,23893,89675,16.469555,43200,6507,146
12/31/2001 00:00:00,0,,18607,989,15.211866,1704,5055,49,1626,1.059584,18.895682,91589,48583,86534,17.83311,44600,6631,49
12/31/2002 00:00:00,0,,19348,-398,,-348,3867,130,1500,-0.440902,-8.921766,88950,52253,85083,20.235261,41200,5034,130
12/31/2003 00:00:00,0,,18808,668,11.191336,1149,4519,0,1500,0.742622,15.931314,90953,49541,86434,21.452778,32700,6588,0
12/31/2004 00:00:00,,,18176,1438,28.513147,2605,5203,0,1438,1.671976,29.58239,81059,38874,75856,17.693067,18600,7912,0
12/31/2005 00:00:00,,,16684,1625,30.45431,2014,5360,100,1404,2.580963,30.767774,44863,29490,39503,11.921045,28000,7038,100
12/31/2006 00:00:00,0,,16547,1155,23.612755,1939,4330,382,1381,2.6472,23.839009,42399,28123,38069,9.005366,27100,7283,382
12/31/2007 00:00:00,,25.839777,17623,1115,24.32362,1825,4748,3,1806,2.70421,24.564882,40065,26469,35317,9.083939,26600,6520,3
12/31/2008 00:00:00,,12.236542,19101,292,6.734945,626,3598,301,2090,0.716819,7.002398,41406,29838,37808,9.768705,30300,6603,301
12/31/2009 00:00:00,0,18.818467,18457,1302,28.660041,2162,5429,104,2436,3.084614,28.904429,43013,27837,37584,9.370518,,14014,104
12/31/2010 00:00:00,0,15.225584,21178,1345,22.120467,2086,6663,552,2288,3.032865,22.301443,45682,28823,39019,7.353258,,16346,552
12/31/2011 00:00:00,0,19.085567,21803,1260,17.077669,2133,7994,104,4990,2.614677,17.214291,50697,29620,42703,6.583715,31400,17235,104
12/31/2012 00:00:00,0,12.881495,29075,1623,18.145665,2982,9883,201,4986
