Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
10/31/1987 00:00:00,213.830002,,4134.53418,-99.018997,,-51.473999,1920.129028,355.462006,1061.988037,,,4759.871094,1529.378052,2839.742096,,37931,498.698242,355.462006
10/31/1988 00:00:00,215.916,,6155.369141,315.438995,12.052489,638.322983,2456.174988,2196.967041,1394.338989,4.844124,14.415772,8263.700195,4114.652832,5807.524811,2.975929,38268,1329.314941,2196.967041
10/31/1989 00:00:00,234.070007,,7104.908203,380.247986,10.818206,787.679993,2780.330933,2248.542969,1675.620972,4.368372,14.522966,9145.438477,4309.092773,6365.10675,3.324572,38949,1551.099121,2248.542969
10/31/1990 00:00:00,263.5,,7738.399902,411.100006,8.953113,836.500015,3007.599975,2892.5,1785.900024,4.150484,14.205422,10664.299805,5153.399902,7656.69995,3.422594,38493,1732.399902,2892.5
10/31/1991 00:00:00,279.299988,,6920.600098,-20.200001,,420.199997,2835.799988,3471.100098,2206.300049,-0.181055,-0.691378,11649.400391,5856.100098,8813.600159,3.818616,36500,1360.800293,3471.100098
10/31/1992 00:00:00,288.399994,,6834.399902,37.400002,-4.177832,362.799996,2650.300049,3080.300049,2473,0.32388,1.363446,11445.599609,5580.899902,8795.299926,4.20973,34524,1284,3080.300049
10/31/1993 00:00:00,269.799988,,7613.399902,-920.900024,-6.288917,689.100006,2085.400025,1601.400024,2547.5,-8.078956,-38.891822,11351.900391,4348.299805,9266.499756,4.813966,33100,1760.399902,1601.400024
10/31/1994 00:00:00,275.700012,,8891,603.599976,18.417934,1188.299988,2557.900024,2637.399902,2053.899902,5.002258,25.99875,12781.200195,5798.100098,10223.300049,5.197403,34300,2113.799805,2637.399902
10/31/1995 00:00:00,327.399994,,10114.400391,706.099976,18.113515,1375.699982,3085.399902,3139.800049,2175.800049,5.30332,25.024365,13847.400391,6243.399902,10762,4.718622,33400,2421.400391,3139.800049
10/31/1996 00:00:00,370.299988,,11012.799805,817.299988,18.375336,1544.700043,3557.199952,3144.100098,2425.399902,5.735418,24.607834,14652.700195,6417.899902,11095.499755,4.290504,33900,2750.200196,3144.100098
10/31/1997 00:00:00,412.299988,,12574.599609,960.099976,19.679663,1825.699982,4147.199951,3774.600098,2622.800049,6.199693,24.92342,16319.799805,7195.200195,12172.600342,4.020105,34400,3193.099609,3774.600098
10/31/1998 00:00:00,444.399994,,13578.799805,1021.400024,19.645072,2028,4079.8,5322.1,2791.7,5.951989,24.830437,18001.5,8762.6,13921.7,4.171788,37000,3363.799805,5322.1
10/31/1999 00:00:00,458.4,,11505.8,239.2,0.856363,1045.4,4094.3,4488.2,3806.2,1.344587,5.852632,17578.2,7136.7,13483.9,4.352736,38700,2323.5,4488.2
10/31/2000 00:00:00,542.1,,12906.3,485.5,6.672066,1674.1,4301.9,5758.5,4764.3,2.552066,11.564755,20469.4,8888.5,16167.5,4.531526,43700,3073.2,5758.5
10/31/2001 00:00:00,590.1,,13045.9,-64,,1074.1,3992.2,6198.5,6560.7,-0.29676,-1.543266,22663.1,9456.6,18670.9,5.200383,45069,2662.7,6198.5
10/31/2002 00:00:00,527.8,,13779.4,319.2,3.071806,1764.7,3163.2,4437.3,8950.4,1.374941,8.921933,23768,7823.7,20604.8,6.488959,43051,3224.5,4437.3
10/31/2003 00:00:00,577.3,,15437.6,643.1,12.055322,2021.5,4002.1,4347.2,10404.2,2.571063,17.9504,26258,7861.1,22255.9,6.981703,43221,3711.6,4347.2
10/31/2004 00:00:00,611.6,,19986.1,1406.1,22.00887,3326.8,6392.8,3457.5,11090.4,5.111976,27.053651,28754,7888.5,22361.2,5.292211,46465,5768.3,3457.5
10/31/2005 00:00:00,677.3,,21002.9,1446.8,17.31762,2708.8,6851.5,6883.8,11738.8,4.637863,21.847889,33636.8,11559.8,26785.3,4.710766,47400,5216.3,6883.8
