Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1987 00:00:00,13.954,,1020.155029,141.740997,,199.045002,394.21701,61.700001,254.380997,,,958.89801,287.049988,564.680984,,12824,537.746033,61.700001
12/31/1988 00:00:00,14.445,,1211.892944,44.145,6.464649,178.833,433.267982,42.828999,253.725998,4.641478,10.66968,943.297974,228.798996,510.029993,2.298768,13445,612.231934,42.828999
12/31/1989 00:00:00,16.207001,,1305.629028,3.147,-3.645232,167.887001,515.636002,44.000999,224.990005,0.31689,0.647988,1042.879028,257.303009,527.243015,2.367586,13000,655.503052,44.000999
12/31/1990 00:00:00,17.431999,,1007.122009,53.716,8.429348,179.049,452.586998,35.594002,204.649994,5.615639,12.300076,870.20697,175.436005,417.619999,2.556839,,536.472015,35.594002
12/31/1991 00:00:00,17.434999,,917.955017,-243.576996,-48.380486,165.294003,298.161995,81.471001,318.752014,-27.182824,-77.29735,921.932007,237.589005,623.77002,2.796944,7263,495.489014,81.471001
12/31/1992 00:00:00,20.26,,1004.833008,64.269997,13.016301,176.913998,343.541001,19.247999,208.462006,7.327185,20.031073,832.356995,187.802994,488.816003,2.733802,7385,552.428009,19.247999
12/31/1993 00:00:00,24.782,,1102.395996,83.487,16.112742,190.060005,391.807007,19.42,131.860992,9.684778,22.7068,891.72998,201.498001,499.922988,2.344586,7586,611.089996,19.42
12/31/1994 00:00:00,27.615,,1207.614014,84.561996,13.287254,211.833008,461.807998,41.82,105.392998,8.844999,19.812678,1020.356018,253.664993,558.547996,2.239986,8200,674.471009,41.82
12/31/1995 00:00:00,28.031,,1340.880981,99.189003,14.388122,238.965004,456.658004,71.647003,89.402,9.53174,21.59884,1060.880005,310.537994,604.221992,2.265991,9000,737.713989,71.647003
12/31/1996 00:00:00,28.676001,,1490.009033,113.184998,15.517994,274.840004,519.963013,27.608999,148.682999,9.975371,23.178899,1208.409058,327.770996,688.445999,2.323613,9500,815.05603,27.608999
12/31/1997 00:00:00,0,,1640.352051,133.955002,17.262687,319.382996,551.700988,48.883999,259.384003,10.207231,24.99944,1416.29895,404.463989,864.597992,2.449189,10210,918.268067,48.883999
12/31/1998 00:00:00,,,1888.225952,192.505997,20.901524,383.951012,690.540985,67.990997,227.041,13.3347,30.993317,1470.994995,399.790985,780.453979,2.32426,12000,1037.052979,67.990997
12/31/1999 00:00:00,34.983,,2080.012,175.786,16.44741,424.481,762.016,112.06,169.014,11.500778,24.203663,1585.946,470.674,823.93,2.104524,12900,1142.4,112.06
12/31/2000 00:00:00,35.504,,2264.313,206.127,18.971241,470.839,757.007,136.592,234.377,12.492708,27.139418,1714.011,532.034,957.004,2.172421,14250,1238.407,136.592
12/31/2001 00:00:00,33.103,,2354.723,188.17,14.790892,481.993,880.352,233.393,512.28,8.878014,22.984575,2525,827.952,1644.648,2.588932,19300,1265.092,233.393
12/31/2002 00:00:00,49.86,,3403.585,209.77,14.072594,656.325,1099.751,160.099,539.743,7.764329,21.187787,2878.429,866.35,1778.678,2.728863,20400,1715.988,160.099
12/31/2003 00:00:00,53.171,,3761.819,277.348,16.718263,712.722,1295.426,70.203,604.441,9.082438,23.158873,3228.918,851.942,1933.492,2.549852,20800,1916.617,70.203
12/31/2004 00:00:00,61.471,,4184.933,282.693,13.875914,741.311,1562.519,56.132,645.445,8.140799,19.782956,3716.174,939.547,2153.655,2.4301,21300,2151.441,56.132
12/31/2005 00:00:00,68.372,,4534.832,319.481,14.120307,799.355,1649.21,226.927,519.374,8.504976,19.894642,3796.628,1119.357,2147.418,2.339177,,2286.001,226.927
12/31/2006 00:00:00,73.3,,4895.814,368.615,15.862788,880.211,1680.23,508.978,557.058,8.973109,22.142763,4419.365,1502.73,2739.135,2.46768,23130,2479.756,508.978
12/31/2007 00:00:00,82.6,9.48783,5469.6,427.2,17.151881,978.9,1935.7,403.5,599.9,9.345707,23.628776,4722.8,1518.3,2787.1,2.528303,26050,2777.9,403.5
12/31/2008 00:00:00,86,7.157832,6137.5,448.1,18.167821,1073.1,1571.6,338.9,799.3,9.453886,25.552419,4756.9,1441.9,3185.3,2.702848,26568,2995.9,338.9
12/31/2009 00:00:00,86,8.774567,5900.6,417.3,15.742337,1015.6,2009.6,98.5,868.8,8.535662,23.361791,5020.9,1250.2,3011.3,2.736963,25931,2922.6,98.5
12/31/2010 00:00:00,88,9.454547,6089.7,530.3,18.446236,1154.7,2133,189.2,656.4,10.720603,25.679766,4872.2,1324.8,2739.2,2.395366,26500,3075.9,189.2
12/31/2011 00:00:00,96,10.237475,6798.5,462.5,7.458985,1149.5,5741.1,1023,6613.2,4.011814,11.865211,18184.7,3166.3,12443.6,2.957567,40200,3322.9,1023
12/31/2012 00:00:00,183,11.866752,11838.7,703.6,7.848038,2003.8,6160.1,805.8,5736.1,3.935453,11.982595,17572.3,3052.7,11412.2,3.044781,40860,5453.3,805.8
12/31/2013 00:00:00,188,10.617564,13253.4,967.8,10.109252,2376.8,7409.4,861,6043.5,5.201995,14.421852,19636.5,3488.7,12227.1,2.772369,45415,6092.2,861
12/31/2014 00:00:00,197,15.456822,14280.5,1202.8,11.680393,2827,7382.1,1704.8,4843.4,6.158115,16.409053,19427.4,4367.9,12045.3,2.664623,47430,6601.4,1704.8
12/31/2015 00:00:00,191,13.603369,13545.1,1002.1,8.504604,2420.8,6980.4,2205.3,4260.2,5.264637,14.088487,18641.7,4764.4,11661.3,2.67606,47000,6321.6,2205.3
12/31/2016 00:00:00
