Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1989 00:00:00,,,,,,,,,,,,,,,,,,
12/31/1990 00:00:00,40985.001,,7198530.762,830486.023,,2625190.002,6083634.888,1534807.007,5291366.211,,,16312246.094,3307493.896,10228611.084,,16925,4299227.783,1534807.007
12/31/1991 00:00:00,49000,,7556000,745000,2.002924,2625000,6251000,1045000,5940000,4.299493,12.571924,18343000,2941000,12092000,3.098742,17511,4644000,1045000
12/31/1992 00:00:00,40000,,7984000,781000,1.942415,2844000,6615000,953000,6320000,4.167222,12.703051,19140000,2797000,12525000,3.221573,17256,4897000,953000
12/31/1993 00:00:00,49000,,7821000,680000,0.050369,2711000,6605000,991000,6459000,3.35645,10.728677,21379000,2838000,14774000,3.401528,17193,4488000,991000
12/31/1994 00:00:00,63000,,8344588.867,721510.986,3.068846,2859037.963,7467231.019,1076884.033,6347187.988,3.296886,11.249708,22390246.094,3157018.066,14923016.113,3.61687,17096,4886251.953,1076884.033
12/31/1995 00:00:00,28000,,8404671.875,785994.995,4.677218,2992364.99,7699000,750000,7195000,3.392571,11.822945,23946000,3284000,16247000,3.705887,16445,5128676.758,750000
12/31/1996 00:00:00,0,,8544484.375,764242.981,4.411898,3310225.952,7813026.184,989241.028,7474679.199,3.151218,11.236732,24558613.281,3437633.057,16745588.135,3.802127,13160,5070941.406,989241.028
12/31/1997 00:00:00,0,,9235000,743000,5.115633,3485000,6145000,1198000,8871000,2.992371,11.740798,25101000,3728000,18956000,4.164596,12642,5307000,1198000
12/31/1998 00:00:00,,,8860000,706000,5.533597,3542000,5650000,1485000,8008000,2.835398,12.572934,24698000,4286000,19048000,4.686524,13177,5570000,1485000
12/31/1999 00:00:00,,,9696000,693000,4.810863,3546000,5675000,3515000,14595000,2.274854,12.085354,36229000,6842000,30554000,5.909505,13040,5842000,3515000
12/31/2000 00:00:00,,,10691000,-1821000,,-49000,3949000,4820000,12150000,-5.105918,-50.923863,35100000,9183000,31151000,9.347268,12593,5000000,4820000
12/31/2001 00:00:00,,,11062000,1035000,36.366831,6049000,4950000,4049000,12674000,2.88004,36.366831,36774000,9857000,31824000,12.627196,11663,9192000,4049000
12/31/2002 00:00:00,,,11488000,1096000,27.941367,3397000,5122000,2848000,12655000,3.128836,27.941367,33284000,6654000,28162000,9.087819,15038,6784000,2848000
12/31/2003 00:00:00,,,10732000,826000,15.061644,2801000,6029000,2331000,9361000,2.308843,16.720978,38267000,5718000,32238000,7.286253,15407,7041000,2331000
12/31/2004 00:00:00,,,10199000,922000,-3.616304,3111000,6491000,1138000,9817000,2.577723,16.025192,33269000,4037000,26778000,6.257523,15293,6438000,1138000
12/31/2005 00:00:00,,,11852000,1161000,12.575971,3376000,7635000,1002000,8833000,3.411696,17.956412,34791000,4959000,27156000,5.374289,,7420000,1002000
12/31/2006 00:00:00,,,12622000,1232000,11.038883,3669000,8895000,628000,9101000,3.467883,16.489807,36261000,4303000,27366000,4.960346,16139,7456000,628000
12/31/2007 00:00:00,,11733.648,12868000,1149000,8.861467,3693000,9654000,730000,9016000,3.114496,13.594998,37523000,4256000,27869000,4.56782,17275,7758000,730000
12/31/2008 00:00:00,,14574.406,14112000,1215000,9.086354,3832000,10709000,2541000,10950000,2.958436,13.529314,44615000,6697000,33906000,4.573131,18291,8120000,2541000
12/31/2009 00:00:00,0,6776.097,12361000,849000,4.612553,2816000,11006000,686000,10437000,1.973065,8.771567,41444000,3787000,30438000,4.445656,19244,8093000,686000
12/31/2010 00:00:00,0,9541.54,12409000,1308000,8.251897,3648000,11494000,163000,12371000,3.007795,12.299256,45530000,3952000,34036000,4.258421,20117,8307000,163000
12/31/2011 00:00:00,0,10843.522,10588000,22000,-0.214273,3488000,11086000,429000,8834000,0.047024,-0.358562,48039000,4348000,36953000,4.533821,19930,7232000,429000
12/31/2012 00:00:00,0,11506.685,11862000,-92000,-1.343339,3847000,11191000,175000,9231000,-0.199063,-1.878175,44394000,3744000,33203000,4.743316,16593,7723000,175000
12/31/2013 00:00:00,0,11088.856,12581000,1015000,4.656033,
