Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1992 00:00:00,,,9862000,-653000,,,,,,,,,,,,21000,,
12/31/1993 00:00:00,,,10338000,537000,,,4012000,384000,579000,,,66179000,,62167000,,21000,,384000
12/31/1994 00:00:00,,,11102000,644000,,,3184000,902000,596000,0.901052,17.898833,76765000,,73581000,19.864369,20000,,902000
12/31/1995 00:00:00,,,12150000,559000,,,4702000,886000,1022000,0.655257,14.177023,93855000,,89153000,21.63581,21000,,886000
12/31/1996 00:00:00,,,12473000,-99000,,,5520000,500000,1032000,-0.097684,-2.14704,108840000,,103320000,21.979506,22000,,500000
12/31/1997 00:00:00,,,13305000,1332000,21.55587,,7482000,291000,1482000,1.10731,25.120226,131743000,,124261000,22.685809,25000,,291000
12/31/1998 00:00:00,,,14967000,1015000,13.04765,,8138000,31000,1548000,0.718902,16.229613,150632000,,142494000,22.575552,25000,,31000
12/31/1999 00:00:00,,,13528000,862000,10.984944,,7145000,31000,1548000,0.542679,14.500799,167051000,,159906000,26.72075,26000,,31000
12/31/2000 00:00:00,,,14703000,974000,,,7464000,235000,3105000,0.575339,15.065739,171532000,,164068000,26.185847,26600,,235000
12/31/2001 00:00:00,,,15147000,507000,3.401212,,9013000,599000,3377000,0.287439,6.154033,181238000,,172225000,21.409844,27400,,599000
12/31/2002 00:00:00,,,16417000,1000000,7.474553,,10734000,315000,4064000,0.550641,10.128121,181975000,,171241000,18.393326,29000,,315000
12/31/2003 00:00:00,,,18733000,-91000,,,11639000,1050000,4613000,-0.044627,-0.813481,225853000,,214214000,18.228579,30000,,1050000
12/31/2004 00:00:00,,,22693000,2115000,13.815827,,14238000,621000,4308000,0.871109,16.346563,259735000,,245497000,18.765236,30000,,621000
12/31/2005 00:00:00,,,27083000,2274000,13.01627,,15325000,719000,4048000,0.834049,15.384095,285557000,,270232000,18.445083,30000,,719000
12/31/2006 00:00:00,,,26500000,2745000,12.94699,,18876000,899000,3204000,0.896668,16.052162,326710000,,307834000,17.90202,31000,,899000
12/31/2007 00:00:00,,13416.31,25916000,2949000,12.111345,,19204000,2357000,2150000,0.858427,15.488445,360361000,,341157000,18.042831,31000,,2357000
12/31/2008 00:00:00,,7283.937,9219000,-2749000,,,9268000,422000,5799000,-0.84853,-19.366395,287583000,,278315000,22.757235,31000,,422000
12/31/2009 00:00:00,,9515.806,24701000,-887000,,,17894000,686000,5153000,-0.298001,-8.389526,307717000,,289823000,24.62665,,,686000
12/31/2010 00:00:00,,10601.86,22049000,1636000,6.010021,,20311000,800000,5807000,0.522631,6.468552,318346000,,298035000,18.062983,26800,,800000
12/31/2011 00:00:00,,7938.307,21733000,712000,2.189529,,21486000,,6530000,0.229324,3.293597,302609000,,281123000,15.262505,24400,,
12/31/2012 00:00:00,,11157.261,26122000,-38000,,,22447000,640000,6647000,-0.012643,-0.373648,298513000,,276066000,14.038019,22500,,640000
12/31/2013 00:00:00,,17670.315,20673000,176000,0.663871,,18905000,438000,6190000,0.061069,0.813805,277884000,,258979000,14.128763,18800,,438000
12/31/2014 00:00:00,,5392.784,18614000,798000,3.329971,,18720000,456000,5653000,0.305223,4.24186,245013000,,226293000,13.897595,17500,,456000
12/31/2015 00:00:00,,10022.419,18377000,1682000,7.465279,,17642000,550000,4809000,0.710663,9.251416,228348000,,210706000,13.018013,17400,,550000
12/31/2016 00:00:00,,10079.121,16107000,896000,2.377928,,16903000,416000,4494000,0.395651,5.187437,224576000,,207673000,13.11113,16900,,416000
12/31/2017 00:00:00,,13115.285,16974000,-3131000,,,13494000,320000,4678000,-1.392063,-20.600717,225260000,,211766000,14.798697,16400,,320000
12/31/2017 00:00:00,,13115.285,18647000,-3131000,,,13494000,320000,4678000,-1.39206288514036,-20.6007171760371,225260000,,211766000,14.6278842711622,16400,,320000
