Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
9/30/1987 00:00:00,0,,114450.996,22016.001,,33550.002,420832.996,2868,74732.002,,,571348.022,23806,150515.003,,1026,18689.995,2868
9/30/1988 00:00:00,0,,139044.006,20150,2.433666,53522.998,430804.001,2791,70714.996,3.511,4.732063,576473.022,26524,145668.997,1.347782,1156,30937.004,2791
9/30/1989 00:00:00,0,,150626.007,22700.001,2.843514,59392,443396.011,21832.001,49087.002,3.887978,5.19332,591229.004,53949.001,147833.004,1.335738,1100,33969.009,21832.001
9/30/1990 00:00:00,0,,199205.994,47562,7.953355,69932.998,479485.001,20709.999,5648,8.101479,10.307288,582927.002,53919.998,103441.999,1.272272,1270,54330.994,20709.999
9/30/1991 00:00:00,0,,190425.003,21240.999,2.055804,52265.001,491133.011,1893,5693,3.668265,4.376799,575168.03,33963.001,84035.003,1.193152,1758,38257.996,1893
9/30/1992 00:00:00,0,,230498.001,10849,-0.138965,63242.999,493286.003,1050,8339,1.869434,2.204143,585504.028,35881.001,92218.002,1.179043,1928,36981.995,1050
9/30/1993 00:00:00,0,,306046.997,24549.999,2.541376,82804.001,508927.014,5679,3600,4.103845,4.899158,610934.998,46414.001,102008,1.193797,2389,62582.001,5679
9/30/1994 00:00:00,0,,322697.998,24971.001,2.045296,74449.002,524334,0,0,4.041393,4.833435,624827.026,46701,100493,1.195982,2787,59203.003,0
9/30/1995 00:00:00,0,,295875,9751,-2.041283,73492.001,562434.99,21700.001,0,1.464237,1.794494,707060.974,67320.999,144625.999,1.225548,3245,30934.998,21700.001
9/30/1996 00:00:00,0,,387472.992,72566.002,8.660382,123881.004,645969.998,5000,0,9.492111,12.010212,821914.001,62564.999,175943.997,1.265284,3309,98446.991,5000
9/30/1997 00:00:00,0,,406422,84186,9.981984,91881.002,780580.01,5000,0,9.074168,11.802741,1033595,95167,253015.007,1.300697,3627,58637,5000
9/30/1998 00:00:00,,,636640,101154,11.07523,241511.998,793148.018,44799.999,50000,9.524746,12.855334,1090430.054,125484.001,297281.998,1.349677,3340,290574,44799.999
9/30/1999 00:00:00,,,556562.012,42787.998,3.524372,172828.999,848108.971,5000,50000,3.88959,5.214052,1109698.975,71903.999,261590.004,1.340515,3440,115065.002,5000
9/30/2000 00:00:00,,,599122,82300,7.523179,218717,955703,,50000,6.947519,9.12512,1259492,78894,303789,1.313436,3606,171338,
9/30/2001 00:00:00,,,816262,144254,13.036858,311787,1026477,0,50000,10.994974,14.555086,1364507,121221,338030,1.323795,3043,315575,0
9/30/2002 00:00:00,,,482484.009,63516.998,4.70377,125202.999,895170.006,0,100000,4.901343,6.610683,1227312.988,72899.002,332143.005,1.348749,2872,84147.003,0
9/30/2003 00:00:00,,,507331,17873,0.203816,120791,917251,30000,200000,1.351413,1.972279,1417770,88618,500519,1.45942,2929,79281,30000
9/30/2004 00:00:00,,,589056,4359,-1.31192,133689,914110,0,200000,0.308644,0.476039,1406844,59903,492734,1.542358,3050,76915,0
9/30/2005 00:00:00,,,800726,127606,11.098614,275506,1079238,0,200000,8.312569,12.803183,1663350,89481,584112,1.54022,3615,220221,0
9/30/2006 00:00:00,,,1224813,293858,22.408162,511377,1381892,28721,175000,15.474102,23.879925,2134712,264548,752820,1.543219,4302,461667,28721
9/30/2007 00:00:00,,2552.843,1629658,449261,26.93808,720003,1815516,0,445000,17.898556,28.101575,2885369,226612,1069853,1.570047,4985,621362,0
9/30/2008 00:00:00,1833,3090.167,2036543,461738,21.683242,890985,2265474,26733,475000,14.265672,22.628725,3588045,308957,1322571,1.586236,7356,739111,26733
9/30/2009 00:00:00,9671,1678.831,1843740,353545,13.495958,836410,2683009,105000,420000,9.124838,14.289026,4161024,301906,1478015,1.565948,4250,671425,105000
9/30/2010 00:00:00,12262,3965.036,1875162,156312,5.229453,714454,2807465,0,360000,3.710057,5.693935,4265370,232638,1457905,1.53473,,540545,0
9/30/2011 00:00:00,15764,4489.628,2543894,434186,13.37139,1017979,3270047,115000,235000,9.368298,14.288281,5003891,416729,1733844,1.525174,,795824,115000
9/30/2012 00:00:00,16060,5247.6,3151802,581045,15.501566,1297148,3834998,40000,195000,10.835362,16.355843,572108
