Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/27/1986 00:00:00,,,1265010.986,-173164.993,,,,,,,,,,,,,,
12/26/1987 00:00:00,259794.006,,1907104.98,248054.993,,428249.008,1276424.988,454957.001,298062.012,,,2498783.936,884841.003,1222359.016,,19200,863600.952,454957.001
12/31/1988 00:00:00,318330.994,,2874769.043,452921.997,26.987924,817320.984,2080053.955,217194,479273.01,14.976292,26.987924,3549736.084,933947.998,1469682.007,1.802043,20800,1368843.994,217194
12/31/1989 00:00:00,365104.004,,3126833.008,391020.996,16.894927,807077.026,2548802.979,156498.993,412480.011,10.366796,16.894927,3993982.91,921226.013,1445180.023,1.629715,22000,1405854.004,156498.993
12/29/1990 00:00:00,516747.009,,3921273.926,650260.986,21.180074,1165117.035,3591505.981,278596.008,344605.011,13.879206,21.180074,5376308.105,1313750.977,1784801.987,1.526029,23900,1990985.962,278596.008
12/28/1991 00:00:00,618047.974,,4778616.211,818629.028,20.441814,1514419.952,4417852.05,173257.996,362528.992,14.031541,20.441814,6292104.004,1227766.968,1874251.954,1.456847,24600,2463057.129,173257.996
12/26/1992 00:00:00,779914.001,,5843983.887,1066548.95,21.205342,2007688.05,5444633.911,311839.996,249028,14.833069,21.6284,8088587.891,1841871.948,2643953.964,1.45812,25800,3286576.905,311839.996
12/31/1993 00:00:00,970000,,8782000,2295000,34.160873,4109000,7500000,497000,426000,23.620117,35.458708,11344000,2433000,3844000,1.501208,29500,5530000,497000
12/31/1994 00:00:00,1111000,,11521000,2288000,26.146597,4415000,9267000,517000,392000,18.187599,27.291704,13816000,3024000,4549000,1.500567,32600,5945000,517000
12/30/1995 00:00:00,1296000,,16202000,3566000,32.157705,6623000,12140000,346000,400000,22.771392,33.316205,17504000,3619000,5364000,1.463073,41600,8391000,346000
12/28/1996 00:00:00,1808000,,20847000,5157000,34.475389,9441000,16872000,389000,728000,25.010306,35.550807,23735000,4863000,6863000,1.421446,48500,11683000,389000
12/27/1997 00:00:00,2347000,,25070000,6945000,37.365554,12079000,19295000,322000,448000,26.399316,38.405176,28880000,6020000,9585000,1.454779,63700,15125000,322000
12/26/1998 00:00:00,2509000,,26273000,6068000,27.423135,11351000,23377000,159000,702000,20.109029,28.440195,31471000,5804000,8094000,1.4143,64500,14129000,159000
12/25/1999 00:00:00,3111000,,29389000,7314000,24.853341,14167000,32535000,230000,955000,19.421136,26.162541,43849000,7099000,11314000,1.347117,70200,17553000,230000
12/30/2000 00:00:00,3897000,,33726000,10535000,28.81601,16925000,37322000,378000,707000,22.95357,30.161616,47945000,8650000,10623000,1.314027,86100,21076000,378000
12/29/2001 00:00:00,3796000,,26539000,1291000,2.058727,9012000,35830000,409000,1050000,2.796188,3.529637,44395000,6570000,8565000,1.262303,83400,13052000,409000
12/28/2002 00:00:00,4034000,,26764000,3117000,7.251031,10294000,35468000,436000,929000,7.034609,8.743583,44224000,6595000,8756000,1.242938,78700,13318000,436000
12/27/2003 00:00:00,4360000,,30141000,5641000,13.959135,13225000,37846000,224000,936000,12.348003,15.388602,47143000,6879000,9297000,1.246242,79700,17094000,224000
12/25/2004 00:00:00,4778000,,34209000,7516000,16.989205,15198000,38579000,201000,703000,15.775665,19.668956,48143000,8006000,9564000,1.246791,85000,19746000,201000
12/31/2005 00:00:00,5145000,,38826000,8664000,17.95075,16811000,36182000,313000,2106000,17.964482,23.17786,48314000,9234000,12132000,1.290205,99900,23049000,313000
12/30/2006 00:00:00,5873000,,35382000,5044000,7.473058,11161000,36752000,180000,1848000,10.434207,13.831683,48368000,8514000,11616000,1.325609,94100,18218000,180000
12/29/2007 00:00:00,5755000,12320.1,38334000,6976000,10.963604,13546000,42762000,142000,1980000,13.412934,17.546596,55651000,8571000,12889000,1.308185,86300,19904000,142000
12/27/2008 00:00:00,5722000,12407.8,37586000,5292000,5.354936,14280000,39088000,102000,1886000,9.950548,12.930971,50715000,7818000,11627000,1.299524,83900,20844000,102000
12/26/2009 00:00:00,5653000,14581.9,35127000,4369000,3.111892,10763000,41704000,172000,2049000,8.417301,10.815427,53095000,7591000,11391000,1.284904,79800,19561000,172000
12/25/2010 00:00:00,6576000,15652.5,43623000,11464000,17.470977,20226000,49430000,38000,2077000,19.717753,25.158558,63186000,9327000,13756000,1.275934,82500,28491000,38000
12/31/2011 00:00:00,8350000,17491.9,53999000,12942000,18.49152,23541000,45911000,247000,7084000,19.272551,27.148866,71119000,12028000,25208000,1.40868,100100,33757000,247000
12/29/2012 00:00:00,10148000,18991.3,53341000,11005000,13.705542,22160000,51203000,312000,13136000,14.157072,22.664086,84351000,12898000,33148000,1.600902,105000,33151000,312000
12/28/2013 00:00:00,10611000,16205.7,52708000,9620000,9.393472,20323000,58256000,281000,13165000,10.887957,17.577358,92358000,13568000,34102000,1.614385,107600,31521000,281000
12/27/2014 00:00:00,11537000,11197.4,55870000,11704000,12.784676,23896000,55865000,1596000,12059000,12.703926,20.511562,91900000,16011000,36035000,
