Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1997 00:00:00,,,546.525024,12.305,,78.046,113.666992,5,392,,,703.403992,135.567001,589.737,,6100,,5
12/31/1998 00:00:00,,,1037.045044,32.550999,15.738768,140.703999,299.974014,0,605,3.273431,15.738768,1285.395996,247.533997,985.421997,4.808034,8000,,0
12/31/1999 00:00:00,76.134003,,1405.462036,58.688999,13.290849,204.203991,583.175003,0,605,4.020942,13.290849,1633.770996,318.306,1050.596001,3.305407,10200,,0
12/31/2000 00:00:00,101.883,,1910.061,82.727,12.969216,296.972,692.569,0,1095,4.038108,12.969216,2463.544,468.669,1770.975,3.211706,14000,222.718,0
12/31/2001 00:00:00,107.466,,2347.422,115.458,12.112286,319.675,1283.789,0,1315.252,3.979394,12.112286,3339.249,524.571,2055.46,3.043751,18000,395.015,0
12/31/2002 00:00:00,34.837,,4011.229,178.097,10.426938,537.231,2275.443,0,1847.752,4.150692,10.426938,5242.308,709.942,2966.865,2.512096,27000,602.868,0
12/31/2003 00:00:00,9.1,,5061.594,277.64,11.624767,676.444,2650.707,0,2457.3,4.731748,11.624767,6492.89,924.212,3842.183,2.456759,38700,771.418,0
12/31/2004 00:00:00,71.194,,6896.997,381.88,10.619653,867.568,3877.297,0,2189.806,5.350837,11.981946,7780.765,1175.84,3903.468,2.239266,44200,961.362,0
12/31/2005 00:00:00,65.7,,9444.7,508.5,10.834138,1149.5,4571.9,0,4633.5,5.165094,12.26711,11909.1,1854.3,7337.2,2.375002,59500,1229.2,0
12/31/2006 00:00:00,86.3,,12476.9,526.1,8.850009,1467.3,5390.2,0,4535,4.176093,10.740461,13286.7,2376.4,7896.5,2.571892,63700,1571.6,0
12/31/2007 00:00:00,92.8,,13960.5,756.1,11.160888,1655.3,6076,0,4536.5,5.463663,13.388462,14390.7,2581.7,8314.7,2.450455,64600,1801.3,0
12/31/2008 00:00:00,86,,14901,949,13.48598,1765,5941,,4493,6.573228,16.021069,14484,2707,8543,2.437321,65000,1559,
12/31/2009 00:00:00,62,,15615,901,11.71831,1874,6660,0,4112,6.137811,14.374245,14875,2544,8215,2.362897,67000,1656,0
12/31/2010 00:00:00,80,,13390,955,11.006877,1697,6855,11,4126,6.298226,14.252494,15451,2733,8596,2.274848,63000,1485,11
12/31/2011 00:00:00,85,,13158,956,11.091685,1629,6724,0,4125,6.17591,14.239869,15508,2814,8784,2.310546,61000,1761,0
12/31/2012 00:00:00,88,,13146,810,10.082678,1579,5543,0,3629,5.529199,13.386217,13791,2547,8248,2.421005,48000,1657,0
12/31/2013 00:00:00,,,12622,751,9.643606,1426,6056,0,3630,5.403266,13.120196,14007,2553,7951,2.428197,48000,1522,0
12/31/2014 00:00:00,63,14.765393,10986,664,7.90819,1226,5360,0,3939,4.790419,11.78768,13715,2634,8355,2.460678,45000,1309,0
12/31/2015 00:00:00,52,10.614047,10466,-240,-1.200671,685,4429,499,3127,-1.86162,-4.979253,12069,2879,7640,2.674689,38000,1151,499
12/31/2016 00:00:00,54,15.24976,9210,710,10.275202,1155,4624,0,3325,5.932982,15.940727,11865,2194,7241,2.686798,38000,1234,0
12/31/2017 00:00:00,63,19.712866,9573,677,9.647559,1245,5151,0,3330,5.505408,14.051474,12729,2379,7578,2.552304,31000,1361,0
12/31/2017 00:00:00,63,19.712866,10621,677,10.999093598755,1116,5151,0,3330,5.50540782304627,14.0514736405147,12729,2379,7578,2.49920650664551,31000,1372,0
