Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1990 00:00:00,248000,,13283000,508000,,2107000,3625000,239000,3926000,,,11931000,2527000,8306000,,26200,1772000,239000
12/31/1991 00:00:00,201000,,12313000,-71000,,1257000,3295000,402000,4073000,-0.602333,-2.308717,11644000,2467000,8349000,3.488974,24762,2282000,402000
12/31/1992 00:00:00,191000,,11127000,-222000,16.759274,1082000,3335000,233000,3743000,-1.94865,-7.045735,11141000,2278000,7806000,3.52055,22810,1771000,233000
12/31/1993 00:00:00,164000,,10035000,-29000,,896000,3110000,24000,4239000,-0.264273,-1.113055,10806000,1668000,7696000,3.489744,21963,1099000,24000
12/31/1994 00:00:00,157000,,10215000,321000,3.874092,1305000,3423000,56000,3983000,2.950774,10.169492,10951000,1712000,7528000,3.512026,21005,1089000,56000
12/31/1995 00:00:00,149000,,11171000,-88000,,1589000,3054000,384000,3367000,-0.835708,-3.048882,10109000,2025000,7055000,3.489644,21015,1343000,384000
12/31/1996 00:00:00,146000,,13529000,664000,14.974143,1892000,3522000,323000,2642000,6.554788,21.377978,10151000,2142000,6629000,3.261429,20468,1648000,323000
12/31/1997 00:00:00,189000,,15668000,456000,6.812302,1794000,3802000,525000,2476000,4.402394,13.107215,10565000,2262000,6763000,2.977292,20310,4612000,525000
12/31/1998 00:00:00,313000,,17804000,310000,1.614124,1797000,6086000,191000,3456000,2.469234,7.818411,14544000,2610000,8458000,3.16633,32862,1879000,191000
12/31/1999 00:00:00,238000,,19617000,654000,8.625988,1995000,6737000,48000,3320000,4.328546,14.354697,15674000,3144000,8937000,3.316286,19266,2014000,48000
12/31/2000 00:00:00,,,30083000,411000,2.334984,3503000,8788000,148000,1937000,2.504189,6.971112,17151000,4012000,8363000,2.839042,,3421000,148000
12/31/2001 00:00:00,,,28671000,157000,1.787953,4212000,6903000,215000,3432000,0.94351,2.290207,16129000,3468000,9226000,2.843958,,4116000,215000
12/31/2002 00:00:00,,,27214000,516000,4.822078,2239000,7053000,161000,4410000,3.04057,10.297346,17812000,3659000,10759000,3.386649,28166,2325000,161000
12/31/2003 00:00:00,,,36678000,1321000,16.707177,2988000,8086000,272000,4085000,7.084249,23.680201,19482000,4207000,11396000,3.342655,27007,3207000,272000
12/31/2004 00:00:00,,,45135000,1261000,12.856233,12628000,10801000,16000,4057000,5.878103,17.778091,23423000,5253000,12622000,3.024461,25804,12638000,16000
12/31/2005 00:00:00,,,58271000,3032000,26.180054,6241000,12140000,315000,3698000,11.679282,30.601534,28498000,8154000,16358000,2.620155,27756,18619000,315000
12/31/2006 00:00:00,,,59917000,5234000,35.389144,9932000,15125000,471000,3061000,17.643985,39.784129,30831000,8061000,15706000,2.254827,28195,15403000,471000
12/31/2007 00:00:00,,14232.332,59621000,3956000,19.627039,7830000,19223000,1131000,6084000,10.75336,23.387526,42746000,11260000,23523000,2.174904,29524,8147000,1131000
12/31/2008 00:00:00,,9336.406,71877000,3528000,13.870945,8143000,21409000,98000,7087000,8.2592,17.365623,42686000,7753000,21277000,2.102579,30360,9356000,98000
12/31/2009 00:00:00,0,9029.606,48529000,1463000,2.880949,5896000,21910000,96000,8436000,3.260603,6.754542,47052000,9057000,25142000,2.071562,28855,7667000,96000
12/31/2010 00:00:00,0,10210.503,11763000,2568000,7.037446,5936000,23771000,295000,7601000,5.291245,11.243186,50014000,11113000,26243000,2.124866,29677,6805000,295000
12/31/2011 00:00:00,0,31529.419,14717000,2946000,9.637623,6631000,17159000,141000,4674000,7.239663,14.397771,31371000,4394000,14212000,1.988735,3322,8868000,141000
12/31/2012 00:00:00,0,15621.385,15724000,1582000,6.271907,8456000,18283000,384000,6512000,4.745264,8.929025,35306000,5081000,17023000,1.881671,3367,10778000,384000
12/31/2013 00:00:00,0,34061.571,11389000,1753000,4.237537,4748000,19344000,203000,6394000,4.94318,9.317777,35620000,4333000,16276000,1.884976,3359,6733000,203000
12/31/2014 00:00:00,0,11498.067,10924000,3046000,6.619586,4036000,21020000,1068000,5295000,8.508023,15.092657,35983000,4379000,14963000,1.773932,3330,5817000,1068000
12/31/2015 00:00:00,0,11276.841,5596000,-2204000,,121000,18553000,1000,7276000,-6.454447,-11.138908,32311000,1729000,13758000,1.725773,2611,711000,1000
12/31/2016 00:00:00,0,8620.091,3223000,-2140000,,1149000,17541000,686000,6581000,-6.750256,-11.857927,31094000,2240000,13553000,1.756663,2117,204000,686000
12/31/2017 00:00:00,0,,4451000,-5723000,,1983000,11708000,0,5494000,-21.55312,-39.132962,22012000,1968000,10304000,1.815652,2300,1373000,0
12/31/2017 00:00:00,0,8620.091,4451000,-5723000,,1983000,11708000,0,5494000,-21.5531201747449,-39.1329618106602,22012000,1968000,10304000,1.91453391815356,2300,1373000,0
