Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1991 00:00:00,0,,278.924011,6.392,,27.038,19.073,4.694,58.59,,,116.107002,33.404999,97.033999,,,59.830017,4.694
12/31/1992 00:00:00,,,352.511993,8.827,16.953943,33.764,86.656004,1.81,113.574997,4.253955,16.953943,298.894989,70.030998,212.238995,4.045958,4200,79.806,1.81
12/31/1993 00:00:00,,,1188.186035,39.522999,24.963365,117.625,229.991997,25.872,302.596985,7.350935,24.963365,776.424011,214.292007,546.431992,3.395944,7100,270.362061,25.872
12/31/1994 00:00:00,,,1437.406006,33.007,13.362888,147.951004,264.01799,5.482,393.894989,4.046952,13.362888,854.778992,162.033997,590.760986,3.301964,13310,329.515991,5.482
12/31/1995 00:00:00,,,1648.516968,6.412,2.37957,136.739002,274.903,61.262001,341.774994,0.729494,2.37957,903.151978,262.634003,628.248997,3.261946,11450,366.630005,61.262001
12/31/1996 00:00:00,,,1779.389038,49.049999,16.132162,178.328995,333.199005,41.832001,345.747986,5.281289,16.132162,954.348999,243.147003,621.14999,3.054588,12000,407.367065,41.832001
12/31/1997 00:00:00,,,2327.341064,73.424004,18.121956,230.453003,477.132996,41.528999,336.209015,6.891341,18.121956,1176.557007,326.613007,699.424023,2.62967,,519.204102,41.528999
12/31/1998 00:00:00,,,2744.620117,115.253998,21.182659,321.686996,611.05899,44.424,332.665009,8.927349,21.182659,1405.485962,408.460999,794.427006,2.372783,18200,681.287109,44.424
12/31/1999 00:00:00,,,3083.263916,157.238998,24.123718,400.093994,692.546021,33.960999,562.104004,10.182689,24.123718,1682.873047,374.352997,990.327,2.369091,23050,776.858887,33.960999
12/31/2000 00:00:00,,,3404.034,162.599,,399.461,754.36,224.391,365.437,9.349469,22.475406,1795.378,599.659,1041.018,2.403923,23050,822.849,224.391
12/31/2001 00:00:00,,,3445.945,188.592,22.149367,411.324,948.551,158.366,150.067,10.583572,22.149367,1768.485,581.861,819.934,2.092806,31350,832.902,158.366
12/31/2002 00:00:00,,,4522.336,284.489,,624.007,1982.879,27.427,793,10.604917,19.409571,3596.743,657.733,1613.864,1.830243,31350,1240.067,27.427
12/31/2003 00:00:00,,,4999.381,310.149,14.490642,648.644,2297.801,302.968,709.445,7.993203,14.490642,4163.575,940.908,1865.774,1.81287,33300,1393.802,302.968
12/31/2004 00:00:00,,,5880.372,368.622,,758.678,2666.337,191.341,700,8.605935,14.8514,4403.118,814.402,1736.781,1.725716,34300,1620.841,191.341
12/31/2005 00:00:00,,,6620.099,387.138,,823.041,3058.238,113.809,3194.561,6.222505,13.525476,8040.037,1111.914,4981.799,2.173638,37700,1768.246,113.809
12/31/2006 00:00:00,,,7905.842,455.833,,1114.012,3715.263,576.134,2207.547,5.621173,13.459303,8178.394,1595.763,4463.131,2.394394,37100,2231.311,576.134
12/31/2007 00:00:00,,2.012212,7586.018,706.814,16.783709,1056.543,4707.357,260.439,2021.395,8.385282,16.783709,8680.05,1211.5,3972.693,2.001568,36200,2114.784,260.439
12/31/2008 00:00:00,,1.707822,6826.348,-1458.228,,-829.08,3153.803,94.785,1860.001,-19.280792,-37.099563,6446.175,876.916,3292.372,1.924172,31200,1737.764,94.785
12/31/2009 00:00:00,0,1.499887,5344.024,-5.499,,346.734,3234.282,52.907,1801.572,-0.08567,-0.173071,6391.446,884.022,3157.164,2.020201,27400,1232.23,52.907
12/31/2010 00:00:00,0,2.191697,5319.072,185.471,5.630913,610.942,3306.997,350.588,1302.994,2.969823,5.630913,6098.926,1048.914,2791.929,1.929796,26900,1402.6,350.588
12/31/2011 00:00:00,0,2.753663,5642.258,173.922,5.201529,613.276,3449.508,386.255,1200.184,2.826815,5.201529,6206.228,1101.346,2756.72,1.840067,26200,1416.879,386.255
12/31/2012 00:00:00,0,4.297357,5787.98,250.258,7.014545,659.801,3719.617,55.213,1327.729,4.000955,7.014545,6303.684,828.649,2584.067,1.753218,25100,1490.058,55.213
12/31/2013 00:00:00,0,5.237968,7348.754,348.786,8.527072,855.802,4470.306,127.218,2132.79,4.714006,8.527072,8494.177,1320.811,4023.871,1.80888,32100,1920.809,127.218
12/31/2014 00:00:00,0,5.005702,7803.446,531.965,11.982458,1118.366,4422.813,851.305,1402.135,6.34057,11.982458,8285.544,1946.724,3862.731,1.889808,32300,2154.192,851.305
12/31/2015 00:00:00,0,6.116644,8071.563,615.302,13.272004,1200.213,4860.863,2003.003,1210.916,6.754159,13.272004,9934.4,3259.028,5073.537,1.965012,34100,2410.686,2003.003
12/31/2016 00:00:00,0,7.071423,8959.087,930.362,17.503432,1689.41,5783.487,1382.738,1152.443,9.227495,17.503432,10230.596,2718.32,4447.109,1.896878,37800,2812.825,1382.738
12/31/2017 00:00:00,0,5.017713,9491.29,971.638,15.139721,1800.845,7067.009,1203.683,1589.358,8.704309,15.139721,12094.853,2655.355,5027.844,1.739336,38800,2996.414,1203.683
12/31/2017 00:00:00,0,5.017713,9491.29,971.638,15.1397210246211,1800.845,7067.009,1203.683,1589.358,8.70430870169733,15.1397210246211,12094.853,2655.355,5027.844,1.72713001113357,38800,2996.4140390625,1203.683
