Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1993 00:00:00,2.765,,0.708,-2.861,,-2.538,5.891,0.213,0.652,,,7.19,0.647,1.299,,,-2.057,0.213
12/31/1994 00:00:00,4.934,,1.651,-5.279,,-5.209,15.427,0.224,0.46,-43.201438,,17.249001,1.362,1.822,2.301007,33,-3.283,0.224
12/31/1995 00:00:00,9.041,,3.445,-7.662,,-7.873,20.181999,0.245,0.353,-37.839841,-43.034066,23.247999,2.713,3.066,1.137269,55,,0.245
12/31/1996 00:00:00,14.376,,6.89,-9.909,,-10.257,35.061001,0.166,0.187,-30.611679,-35.87423,41.492001,6.244,6.431,1.171913,92,,0.166
12/31/1997 00:00:00,23.645,,16.249001,-9.983,,-11.387,97.092995,0.083,5.102,-12.381708,-15.108132,119.762001,17.114,22.669001,1.220198,147,,0.083
12/31/1998 00:00:00,35.397999,,21.795,-18.356001,,-18.575,115.881001,0.064,4.94,-14.438878,-17.237786,134.496002,12.756,18.615,1.193845,205,,0.064
12/31/1999 00:00:00,64.083,,41.358002,-38.448002,,-23.705,86.631004,0.045,113.345001,-21.283027,-37.971084,226.806,25.079,140.177002,1.784102,339,,0.045
12/31/2000 00:00:00,100.778999,,51.629002,-97.403,,-54.588,277.882996,1.018,319.266998,-22.748516,-53.442666,629.539978,30.202999,351.656997,2.349281,485,,1.018
12/31/2001 00:00:00,139.651,,77.468,-250.008,,-72.565,270.313,0.807,331.058,-38.558246,-91.211173,667.241,59.199,396.928,2.365543,694,73.299,0.807
12/31/2002 00:00:00,157.382996,,94.845001,-107.468002,,-82.380001,206.769958,1.474,331.010986,-16.87256,-49.175105,606.638,63.665001,399.867987,2.914502,,87.825001,1.474
12/31/2003 00:00:00,131.528,,106.257004,-46.681999,,-49.197998,164.190979,1.629,391.674011,-7.631356,-32.088156,616.788025,46.856998,452.59701,4.204778,668,91.579003,1.629
12/31/2004 00:00:00,133.523,,114.27,-101.886,,-55.702,467.342,1.547,197.517,-14.96443,-34.448122,744.921,55.653,277.579,2.302,662,94.472,1.547
12/31/2005 00:00:00,151.658997,,126.278999,-185.110992,,-83.485998,326.810974,0.482,437.928986,-23.088728,-46.618472,858.554016,69.595001,531.742987,2.019101,777,90.283001,0.482
12/31/2006 00:00:00,149.380997,,217.718002,-154.761002,,-68.493,227.059937,103.363998,334.759003,-19.027239,-55.883419,768.177002,165.313995,541.116997,2.937022,793,99.629005,103.363998
12/31/2007 00:00:00,153.574997,10.034007,273.027008,-32.761002,,-57.193001,214.439087,2.335,336.631989,-4.387791,-14.840804,725.103027,98.092003,510.663994,3.382295,575,125.51001,2.335
12/31/2008 00:00:00,154.417007,2.506266,90.184998,-34.335999,,-128.277006,190.154053,1.285,235.302002,-5.341468,-16.9731,560.536011,68.374001,370.382004,3.17761,338,55.147999,1.285
12/31/2009 00:00:00,95.109,3.003133,71.931,-102.519,,-80.251,102.367,0,233.755,-18.048262,-70.093417,575.518,153.016,473.151,3.883666,335,40.983,0
12/31/2010 00:00:00,108.065,4.492504,159.039,-37.938,,-11.704,90.662,0,231.969,-6.918303,-39.308083,521.225,64.108,430.563,5.681752,408,133.372,0
12/31/2011 00:00:00,126.766,3.178261,71.48,-133.978,,-108.986,197.811,214.955,14.582,-23.759704,-92.887723,606.55,275.532,408.739,3.909465,423,49.589,214.955
12/31/2012 00:00:00,148.675,3.242332,81.191,-171.855,,-126.693,47.018,2.97,136.607,-31.123567,-140.387781,497.79,78.537,450.772,4.510658,433,50.763,2.97
12/31/2013 00:00:00,190.01,3.569652,148.921,-162.013,,-105.855,-89.903,3.536,133.049,-34.754917,,434.527,98.221,524.43,,445,110.412,3.536
12/31/2014 00:00:00,147.734,8.032982,200.707,-53.916,,-3.558,36.332,4.512,129.139,-12.30751,,441.621,64.047,405.289,,438,172.174,4.512
12/31/2015 00:00:00,182.787,4.445988,230.784,-81.177,,-16.516,6.429,4.756,242.772,-17.266871,-379.677744,498.642,61.246,492.213,21.988798,425,196.682,4.756
12/31/2016 00:00:00,203.801,4.764143,165.436,-153.524,,-97.504,88.125,2.908,245.687,-28.762928,-324.732957,568.871,72.222,480.746,11.289982,468,135.221,2.908
12/31/2017 00:00:00,268.461,,307.711,-96.692,,-44.901,87.828,0,245.207,-17.943524,-109.906623,508.866,56.163,421.038,6.125141,509,277.164,0
12/31/2017 00:00:00,268.460993865967,4.764143,307.711,-96.692,,-44.901,87.828,0,245.207,-17.9435242549899,-109.906622791314,508.866,56.163,421.038,6.342932728647,509,277.163998306274,0
