Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
4/30/1994 00:00:00,780,,2244,-1874,,-1876,3475,0,0,,,4055,524,580,,,1161,0
4/30/1995 00:00:00,2608,,14796,-4764,,-4524,5431,27,45,-64.89137,,10628,4971,5197,,103,6839,27
4/30/1996 00:00:00,4762,,46632,6600,,7254,39028.999,19,31,23.539062,,45449.001,6121,6420,1.765315,145,26075.001,19
4/25/1997 00:00:00,8968,,93333,250,0.537299,20683,54029.001,21,12,0.437101,0.537299,68941.002,14701,14912,1.229233,265,55271.999,21
4/24/1998 00:00:00,16649,,166162.994,20965,29.887237,38206.001,86264.997,17,163,22.704506,29.887237,115736,29308.001,29471.001,1.316357,450,98613.991,17
4/30/1999 00:00:00,30457.001,,289420.013,35612.999,18.646086,63271.999,295724.007,0,93,15.414114,18.646086,346346.985,50529.999,50622.999,1.209676,816,171300.01,0
4/30/2000 00:00:00,62064.999,,579299.988,73792,19.056129,121075.996,478745.995,0,54,15.72418,19.056129,592232.971,113432.999,113486.999,1.2119,1469,343453.995,0
4/27/2001 00:00:00,120938.004,,1006185.974,74886.002,11.671813,184828.003,804447.968,0,149,9.197015,11.671813,1036251.953,218772.995,231803.995,1.269087,2403,604478.973,0
4/30/2002 00:00:00,116724.998,,798369.019,3033,0.364779,83655.996,858475.983,0,3734,0.28279,0.364779,1108806.03,215559.998,250329.997,1.289931,2280,474797.028,0
4/30/2003 00:00:00,112862.999,,892067.993,76472,8.285907,146273.998,987357.025,0,3102,6.299231,8.285907,1319172.974,265015.991,331815.993,1.315384,2345,546425.995,0
4/30/2004 00:00:00,131856.003,,1170310.059,152087.006,12.657015,224182.995,1415847.962,0,4858,9.516028,12.657015,1877265.991,344222.992,461417.99,1.330073,2844,704521.058,0
4/30/2005 00:00:00,171049,,1598131,225754,14.675303,318540,1660804,0,4474,10.623935,14.675303,2372647,520189,711843,1.381343,3801,975048,0
4/30/2006 00:00:00,242988,,2066456,266452,14.867907,394971,1923453,166211,133789,9.459366,14.867907,3260965,917163,1337512,1.571766,4976,1256461,166211
4/27/2007 00:00:00,385357,6429.982,2804282,297735,15.219782,386662,1989021,85110,0,8.60575,15.219782,3658478,1187547,1669457,1.768559,6600,1704500,85110
4/25/2008 00:00:00,452205,5907.776,3303167,309738,16.79088,458231,1700339,0,172600,8.014473,16.79088,4070988,1414102,2370649,2.09507,7645,2013376,0
4/24/2009 00:00:00,498500,4693.512,3406400,64600,3.707808,217700,1784200,0,1054700,1.366417,3.707808,5384400,1679300,3600200,2.713526,7976,1989900,0
4/30/2010 00:00:00,535700,18606.517,3931400,400400,18.559807,654400,2530500,0,1101500,6.741422,18.559807,6494400,1911000,3963900,2.7531,8333,2519200,0
4/29/2011 00:00:00,648600,8342.123,5122600,673100,21.502388,989900,3730200,1150400,114600,8.978737,21.502388,8498800,3372800,4768600,2.394812,10212,3328700,1150400
4/27/2012 00:00:00,828200,7598.384,6233200,605400,15.090107,1039600,4293600,1202300,62600,6.715065,15.090107,9532300,3519800,5238700,2.247202,12149,3713400,1202300
4/26/2013 00:00:00,904200,6311.397,6332400,505300,11.215057,952400,4717500,1257800,994600,4.864571,11.215057,11242400,3830600,6524900,2.305457,13060,3761100,1257800
4/25/2014 00:00:00,917300,8577.575,6325100,637500,10.190969,1068400,3786500,0,990100,6.232829,14.992944,9213800,2694600,5427300,2.40548,12490,3919100,0
4/24/2015 00:00:00,920000,9391.544,6123000,560000,9.761409,1023000,3414100,0,1487500,6.016653,15.554259,9401200,2709000,5987100,2.585201,12810,3833000,0
4/29/2016 00:00:00,861000,14630.462,5546000,229000,0.550269,627000,2881000,849000,1490000,2.356185,7.2755,10037000,3662000,7156000,3.08783,12030,3373000,849000
4/28/2017 00:00:00,779000,9005.241,5519000,509000,10.598834,891000,2780000,1249000,744000,5.212494,17.982689,9493000,4122000,6713000,3.449921,10100,3390000,1249000
