Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1990 00:00:00,,,2637262.939,343906.006,,1120031.982,2836824.036,390925.995,2648364.014,,,7735441.895,821085.999,4898617.981,,8149,1829654.968,390925.995
12/31/1991 00:00:00,,,2739927.002,348414.001,3.057723,1157442.017,2893974.976,234098.007,2767281.006,4.446882,13.439935,7934595.215,645716.003,5040620.056,3.467,8144,1897281.982,234098.007
12/31/1992 00:00:00,,,2744122.07,346723.999,2.725603,1153734.985,2916150.94,252686.005,2784878.906,4.300089,13.128933,8191768.066,704140.015,5275616.943,3.456922,7981,1923262.085,252686.005
12/31/1993 00:00:00,,,2727001.953,348126.007,2.655247,1166463.989,2932209.961,325539.001,2788315.918,3.945691,13.113116,9454113.281,772668.03,6521902.893,3.681768,7677,1941301.941,325539.001
12/31/1994 00:00:00,,,2725099.121,244339.996,-1.664242,1036677.978,2920842.957,147889.008,3091833.008,2.5958,8.849246,9371680.664,578294.983,6450837.952,3.857505,6934,1978851.135,147889.008
12/31/1995 00:00:00,,,2751798.096,350420.99,2.336222,1186873.993,3063484.009,200162.003,2967352.051,3.71536,12.774347,9491685.547,600289.001,6428202.087,3.734154,6661,2022629.09,200162.003
12/31/1996 00:00:00,,,2910000,357000,2.246304,1261000,3211000,255000,2968000,3.732809,12.317233,9636000,621000,6425000,3.580549,6428,2110000,255000
12/31/1997 00:00:00,,,3049000,320000,0.756212,1237000,3156000,343000,2698000,3.347105,10.658985,9485000,769000,6329000,3.442744,6343,2079000,343000
12/31/1998 00:00:00,,,3786000,-544000,-8.226407,1165000,2137000,801000,2983000,-5.698722,-24.74451,9607000,1267000,7470000,4.151337,6344,2233000,801000
12/31/1999 00:00:00,,,4590000,458000,17.209526,1129000,2024000,1383000,3756000,4.407873,25.389362,11174000,2280000,9150000,6.106671,6314,2580000,1383000
12/31/2000 00:00:00,,,4545000,524000,18.843815,1653000,2413000,1354000,4467000,4.453132,27.475862,12360000,2511000,9947000,6.492138,11893,3223000,1354000
12/31/2001 00:00:00,,,5077000,231000,0.766524,1675000,1946000,616000,5937000,1.853784,9.253037,12562000,1826000,10616000,6.441458,12496,3602000,616000
12/31/2002 00:00:00,,,5481000,275000,3.975822,1965000,2311000,1309000,6593000,1.956321,10.19358,15552000,2613000,13241000,6.888998,12655,3981000,1309000
12/31/2003 00:00:00,,,5587000,734000,16.756813,1973000,3364000,451000,8145000,4.492731,26.773664,17123000,1773000,13759000,5.959329,12256,3940000,451000
12/31/2004 00:00:00,,,5794000,700000,10.732287,2091000,4346000,908000,6881000,4.016525,18.618298,17733000,2295000,13387000,4.648706,12028,4113000,908000
12/31/2005 00:00:00,,,6179000,680000,7.949094,2070000,4525000,1340000,6044000,3.813904,15.663625,17926000,3354000,13401000,4.119094,12276,4372000,1340000
12/31/2006 00:00:00,,,6131000,879000,9.08158,2264000,5483000,1149000,6728000,4.666472,18.134172,19747000,3348000,14264000,3.948952,12620,4395000,1149000
12/31/2007 00:00:00,,9674.133,6498000,1306000,13.06748,2574000,5876000,770000,6890000,6.576198,24.124368,19972000,2882000,14096000,3.719704,11149,4872000,770000
12/31/2008 00:00:00,,7164.728,8007000,930000,7.696305,2637000,5396000,1366000,7151000,4.495251,17.398665,21405000,4293000,16009000,3.891376,10554,4736000,1366000
12/31/2009 00:00:00,0,11790.426,7678000,407000,-2.026824,1756000,5815000,639000,7143000,1.868258,7.661023,22165000,4182000,16350000,4.120874,10489,4133000,639000
12/31/2010 00:00:00,0,12271.508,9326000,938000,5.016338,2646000,8478000,1196000,12161000,3.410785,13.687436,32837000,5214000,24359000,4.012987,,5318000,1196000
12/31/2011 00:00:00,0,17173.703,11330000,1495000,7.599693,4316000,11096000,578000,17993000,3.961052,15.705431,42648000,5255000,31552000,3.964965,,7254000,578000
12/31/2012 00:00:00,0,11374.189,12597000,1526000,6.510936,4395000,10498000,1403000,18725000,3.537238,14.323259,43634000,5625000,33136000,4.049277,,7763000,1403000
12/31/2013 00:00:00,0,12109.72,7263000,1130000,3.330375,3470000,12466000,1016000,20592000,2.5141,9.796914,46259000,4912000,33793000,3.917589,18108,5512000,1016000
12/31/2014 00:00:00,0,13389.256,7852000,1737000,4.118014,3855000,13628000,1836000,17054000,3.662046,13.244424,48606000,7439000,34978000,3.63551,17391,5963000,1836000
12/31/2015 00:00:00,0,12980.012,7669000,682000,2.13206,3773000,9919000,1401000,18563000,1.55164,5.775683,39301000,3876000,29382000,3.733257,,5951000,1401000
12/31/2016 00:00:00,0,15507.259,7517000,1902000,8.709254,4054000,9899000,1441000,17808000,4.901051,19.13412,38315000,3837000,28416000,3.91644,19975,6020000,1441000
12/31/2017 00:00:00,0,13540.331,7447000,1128000,0.387222,4173000,10761000,1428000,19847000,2.82728,10.90029,41479000,4023000,30718000,3.862246,12512,6003000,1428000
12/31/2017 00:00:00,0,13540.331,7447000,1128000,-27.1878413501874,4173000,10761000,1428000,19847000,2.82728024663509,10.9099709583737,41479000,4023000,30718000,3.83335664009696,12512,6003000,1428000
