Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
6/30/1987 00:00:00,35.330002,,1946.328003,84.431999,,254.917,756.679001,71.337997,306.699005,,,1482.637939,349.348999,725.959007,,27608,442.38501,71.337997
6/30/1988 00:00:00,36.889,,2251.698975,106.539001,8.466943,286.273994,845.741013,84.624001,405.778992,6.608217,13.297263,1741.802002,410.881989,896.060982,2.012231,33255,496.770996,84.624001
6/30/1989 00:00:00,52.823002,,2520.204102,124.474998,8.878705,321.17099,840.521973,120.709999,494.468994,6.793858,14.763415,1922.536987,484.998993,1082.014984,2.173053,33463,537.456055,120.709999
6/30/1990 00:00:00,38.304001,,2452.568115,111.478996,7.767788,340.181999,938.404022,93.988998,511.681,5.689599,12.533292,1996.156982,438.372009,1057.753006,2.202843,30408,525.449096,93.988998
6/30/1991 00:00:00,33.859001,,2440.814941,59.167999,1.674178,277.903,943.475006,41.051998,476.585999,3.044747,6.288183,1890.406006,358.101013,946.931015,2.065257,27793,463.43396,41.051998
6/30/1992 00:00:00,50.019001,,2375.808105,11.218,0.359503,274.160003,934.019012,33.418999,446.973999,0.588669,1.194997,1920.906982,358.729004,986.888001,2.03,26669,450.008056,33.418999
6/30/1993 00:00:00,60.054001,,2489.322998,65.056,2.028476,287.758995,932.899979,86.640999,378.476013,3.34952,6.969344,1963.589966,468.253998,1030.690018,2.080699,25646,484.368042,86.640999
6/30/1994 00:00:00,64.517998,,2576.336914,47.652,0.454912,333.361999,966.350998,26.973,257.259003,2.450394,5.017978,1925.744019,504.444,959.393005,2.047825,26730,522.960937,26.973
6/30/1995 00:00:00,74.128998,,3214.370117,218.238007,15.59662,501.454994,1191.514023,97.372002,237.156998,10.323578,20.227216,2302.208984,652.620972,1110.694977,1.959322,30590,766.106201,97.372002
6/30/1996 00:00:00,91.706001,,3586.447998,239.667007,14.470513,546.019013,1383.957978,173.789001,439.796997,9.23691,18.611502,2887.124023,766.882019,1503.166016,2.014906,33289,830.10498,173.789001
6/30/1997 00:00:00,103.154999,,4091.081055,274.039001,14.837925,632.745987,1547.300964,69.737999,432.88501,9.311442,18.6977,2998.946045,716.010986,1451.644989,2.008035,34927,938.093018,69.737999
6/30/1998 00:00:00,83.116997,,4633.022949,319.550995,15.711895,732.575974,1683.449997,265.484985,512.942993,9.796518,19.78184,3524.821045,988.77002,1841.371002,2.019273,39873,1082.031006,265.484985
6/30/1999 00:00:00,86.953003,,4958.799805,310.501007,13.628428,740.795029,1853.861984,60.609001,724.757019,8.588397,17.55576,3705.887939,754.513,1852.026031,2.044125,38928,1089.429688,60.609001
6/30/2000 00:00:00,89.059,,5385.618,368.232,14.085255,829.27,2309.458,335.298,701.762,8.817619,17.689344,4646.299,1186.303,2336.841,2.006136,43895,1198.768,335.298
6/30/2001 00:00:00,115.004,,5979.604,340.792,10.815843,836.012,2528.915,546.502,857.078,6.82679,14.08705,5337.661,1413.129,2808.746,2.063495,46300,1251.448,546.502
6/30/2002 00:00:00,109.089996,,6149.12207,130.149994,1.850861,627.664978,2583.5159,416.692993,1088.883057,2.347108,5.091511,5752.583008,1359.837036,3169.067078,2.16927,,1032.552246,416.692993
6/30/2003 00:00:00,122.709999,,6410.609863,196.272003,4.328008,638.947998,2520.911072,424.234985,966.33197,3.344154,7.690266,5985.631836,1423.727051,3464.721008,2.299615,46787,1100.834961,424.234985
6/30/2004 00:00:00,143.023,,6998.761,345.783,9.229526,802.718,2982.454,35.198,953.796,5.658896,12.566239,6235.233,1238.644,3252.779,2.220617,48447,1326.467,35.198
6/30/2005 00:00:00,164.229,,8068.805,604.692,15.806141,1079.74,3340.147,31.962,938.424,9.234804,19.127951,6860.703,1300.824,3520.556,2.071289,,1677.328,31.962
6/30/2006 00:00:00,203.702,,9385.888,673.167,14.707946,1262.595,4241.203,72.039,1059.461,8.955181,17.758499,8173.432,1681.105,3932.229,1.983042,,2018.27,72.039
6/30/2007 00:00:00,253.091,17.065009,10718.059,830.046,15.833652,1512.815,4711.665,195.384,1089.916,9.991619,18.542572,8441.413,1925.245,3729.748,1.855813,57338,2445.11,195.384
6/30/2008 00:00:00,303.098,12.518987,12145.605,949.466,16.191665,1769.175,5258.971,118.864,1952.452,10.085538,19.045244,10386.854,2183.256,5127.883,1.888372,61722,2806.533,118.864
6/30/2009 00:00:00,338.90782,12.560961,10309.015,508.515,7.28317,1195.025,4350.44,481.467,1839.705,5.024168,10.675048,9855.902,2005.754,5505.462,2.12474,51639,2127.667,481.467
6/30/2010 00:00:00,316.181,17.312616,9993.166,554.065,9.062496,1231.528,4459.4,363.272,1413.634,5.606162,12.831276,9910.382,2204.891,5450.982,2.288781,54794,2146.099,363.272
6/30/2011 00:00:00,359.5,12.95552,12345.87,1049.13,17.290026,1830.44,5488.336,75.271,1691.086,10.089153,21.516601,10886.805,2391.043,5398.469,2.132647,58409,2958.413,75.271
6/30/2012 00:00:00,365.7,14.287635,13145.942,1151.823,17.726387,1990.218,4905.73,225.589,1503.946,10.444017,22.408203,11170.282,2486.013,6264.552,2.145554,59300,3187.605,225.589
6/30/2013 00:00:00,406.6,27.440888,13015.704,948.427,13.040373,1709.68,5741.481,1333.826,1495.96,7.99983,17.836056,12540.898,3520.203,6799.417,2.229554,58
