Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1989 00:00:00,,,,,,,,,,,,,,,,,,
12/31/1990 00:00:00,,,1596.639038,128.393005,,721.990997,1872.958954,332.365997,3218.167969,,,7010.645996,623.044983,5137.686951,,7029,1307.591034,332.365997
12/31/1991 00:00:00,,,1474.550049,-153.457993,,100.904022,1721.241028,299.549988,2996.909912,-2.274573,-13.1716,6482.701172,641.588013,4761.459961,4.755621,7063,1200.779053,299.549988
12/31/1992 00:00:00,,,1689.637939,188.891998,11.145915,807.113983,1875.92099,289.21701,2774.304932,2.919727,11.145915,6456.317871,650.117004,4580.396912,4.609346,7133,1402.436951,289.21701
12/31/1993 00:00:00,,,1718.537964,220.070007,10.844688,791.215027,2040.670949,226.841003,2633.620117,3.281415,12.086644,6956.798828,539.151978,4916.128052,4.283664,7915,1417.991974,226.841003
12/30/1994 00:00:00,,,1685.421021,225.893005,7.501876,805.424012,2044.978043,210.011993,2588.524902,3.258099,11.711843,6909.751953,532.116028,4864.773987,4.047544,7440,1384.732026,210.011993
12/30/1995 00:00:00,,,1669.797974,207.171005,6.117235,838.712006,2149.647964,186.580002,2510.708984,2.979419,10.282258,6997.051758,504.493011,4847.404022,3.802266,7335,1399.999969,186.580002
12/31/1996 00:00:00,,,1817.76001,198.272003,5.413726,878.667023,2188.996002,173.177002,2372.113037,2.835223,9.408503,6989.289062,550.61499,4800.292969,3.631486,7588,1492.237,173.177002
12/31/1997 00:00:00,,,1995.026001,248.658997,6.988715,959.318969,2198.597,239.445007,2244.248047,3.593414,11.79941,6850.416992,523.664001,4651.820007,3.461866,7189,1558.398987,239.445007
12/31/1998 00:00:00,,,2130.585938,252.595001,6.635659,979.662995,2258.586944,346.875,2048.960938,3.69427,11.591727,6824.543945,640.203003,4565.95398,3.263105,7333,1593.084961,346.875
12/31/1999 00:00:00,,,2423.353,168.903,4.485732,995.716,2205.733,153.098,2206.052,2.514738,7.685235,6608.506,495.49,4402.773,3.074572,7534,1627.244,153.098
12/31/2000 00:00:00,,,3690.175,302.332,7.915489,1103.059,2382.714,546.244,1955.083,4.390694,13.177966,7162.985,1191.298,4780.271,3.00134,7200,1757.383,546.244
12/31/2001 00:00:00,,,2634.768,312.166,7.741287,1132.288,2499.323,531.902,2673.078,4.133996,12.78835,7939.399,1085.506,5440.076,3.09346,7600,1898.926,531.902
12/31/2002 00:00:00,,,2440.288,149.408,1.906822,956.201,2686.153,508.571,2743.741,1.749656,5.762557,9139.157,1233.096,6453.004,3.293537,7200,1908.39,508.571
12/31/2003 00:00:00,,,2759.494,240.579,2.641254,937.839,2829.779,790.995,2616.585,2.578802,8.723059,9519.042,1432.568,6689.263,3.382601,7200,1897.312,790.995
12/31/2004 00:00:00,,,2829.006,243.195,2.722916,950.126,2950.196,688.195,2584.985,2.505126,8.415088,9896.747,1625.896,6946.551,3.359148,7200,1940.906,688.195
12/31/2005 00:00:00,,,2987.955,176.267,0.927519,1035.455,3424.964,400.62,2608.455,1.661377,5.529806,11322.645,2272.073,7897.681,3.328449,7300,2099.723,400.62
12/31/2006 00:00:00,,,3401.748,327.255,3.481816,1005.63,3446.116,37.346,3232.633,2.873356,9.525577,11455.943,1458.56,8009.827,3.315139,7400,2150.462,37.346
12/31/2007 00:00:00,,6.753863,3317.014,307.143,2.601211,1018.976,3531.611,504.434,3127.125,2.715898,8.803526,11162.209,1344.449,7630.598,3.241478,7600,2075.629,504.434
12/31/2008 00:00:00,,3.09359,3310.558,242.125,0.597052,947.285,3445.979,848.115,3031.603,2.125553,6.940075,11620.093,1505.928,8174.114,3.265067,7500,1980.87,848.115
12/31/2009 00:00:00,0,9.921334,3153.656,68.33,0.315081,1066.992,3428.004,457.191,3496.524,0.57891,2.020973,11986.324,1108.943,8558.32,3.490995,7200,1975.036,457.191
12/31/2010 00:00:00,0,5.656095,3189.199,350.053,3.092542,1187.69,3775.226,648.479,3045.794,2.871721,10.00232,12392.998,1449.704,8617.772,3.483041,6740,2142.384,648.479
12/31/2011 00:00:00,0,7.925196,3241.379,339.473,2.735024,1240.292,3930.586,477.435,3019.054,2.662114,9.046369,13111.018,1342.705,9180.432,3.39819,,2231.915,477.435
12/31/2012 00:00:00,0,11.460344,3301.804,381.542,2.41221,1333.017,4102.289,215.003,3199.088,2.88058,9.789835,13379.615,1083.542,9277.326,3.398563,6613,2307.014,215.003
12/31/2013 00:00:00,0,8.144765,3454.628,406.074,3.94675,1338.645,4340.46,693.549,2796.465,3.020451,9.943927,13508.686,1618.644,9168.226,3.292199,6433,2358.919,693.549
12/31/2014 00:00:00,0,9.328276,3491.632,397.595,3.288779,1307.729,4519.102,530.97,3006.573,2.860645,9.287473,14288.89,1559.143,9769.788,3.246636,6366,2311.803,530.97
12/31/2015 00:00:00,0,9.33757,3495.443,437.257,3.806261,1426.266,4719.457,357.58,3462.391,2.982944,9.769567,15028.258,1442.317,10308.801,3.275143,6400,2394.145,357.58
12/31/2016 00:00:00,0,11.359227,3498.682,442.034,3.424412,1420.995,4935.912,302.2,4021.785,2.848845,9.417463,16004.253,1292.946,11068.341,3.305713,6300,2423.172,302.2
12/31/2017 00:00:00,0,10.533439,3565.296,488.456,3.907236,1545.056,5135.73,177.4,4789.713,2.958248,9.958012,17019.082,1197.852,11883.352,3.366186,6292,2583.995,177.4
12/31/2017 00:00:00,0,10.533439,3565.296,488.456,-25.8613574106581,1545.056,5135.73,177.4,4789.713,2.95824755434301,9.95801152909306,17019.082,1197.852,11883.352,3.34986300786756,6292,2583.99504833984,177.4
