Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1990 00:00:00,0,,6548.839,286,,1672.564,6453.24,54.522,4216.215,,,13764.781,3095.325,7311.54,,67,1963.408,54.522
12/31/1991 00:00:00,154,,9628.624,426.915,0.797385,2671.772,7962.063,754.425,11688.616,2.241213,0.797385,24332.003,4681.323,16369.939,2.657309,81,2492.25,754.425
12/31/1992 00:00:00,113,,13318.205,685.924,4.508232,4377.542,9578.235,447.631,12678.638,2.605117,4.508232,28327.749,6070.876,18749.515,3.027196,119,3167.88,447.631
12/31/1993 00:00:00,131,,18657,1391,5.113871,6359,32263.002,419,30688.999,2.658112,5.113871,76333,9420,44069.999,2.519876,154,4076,419
12/31/1994 00:00:00,359,,34323.002,2619,5.975157,15199,48574.999,707,61884.998,2.40164,5.975157,141768.005,14918,93192.997,2.903716,220,7931.002,707
12/31/1995 00:00:00,512,,50798,4390,5.006203,25302,99366.999,53,83035.004,2.462446,5.18768,214787.994,14660,115421.004,2.527601,281,13687,53
12/31/1996 00:00:00,1460,,73628.998,12615,8.679266,45852.998,117529.004,26,116779.999,5.073039,9.478721,282546.997,22306.999,165017.998,2.319703,300,28975.998,26
12/31/1997 00:00:00,2527,,141744.003,-23332.001,,98525.001,316949.997,413,366712.006,-4.457947,-16.443131,764213.013,54911.999,447263.005,3.353076,367,50935.005,413
12/31/1998 00:00:00,11265,,142304.001,-175149.994,,82823,253221.993,55187,551974.976,-20.779143,-108.264202,921612,116415.001,668389.977,5.141717,390,43150.002,55187
12/31/1999 00:00:00,2409,,200944,-7793,,142941,244840,5014,453880,-0.931074,-7.847559,752368,53648,507528,6.485957,136,81423,5014
12/31/2000 00:00:00,0,,188421,37961,27.248817,131521,277847,14,365459,5.266754,27.248817,689165,45859,411318,4.635035,139,72789,14
12/31/2001 00:00:00,,,218935,17663,8.124905,153653,325361,0,302491,2.575482,8.124905,682462,47879,357101,3.261058,141,94171,0
12/31/2002 00:00:00,,,194449,25766,11.66595,121799,206109,0,368041,3.842959,11.66595,658484,67206,452375,3.035669,145,77186,0
12/31/2003 00:00:00,,,229911,35415,15.79074,142271,274066,0,358180,4.758242,16.092056,830091,106964,556025,3.460394,151,94045,0
12/31/2004 00:00:00,,,317905,42231,8.70793,190064,566340,0,620561,3.482255,9.379483,1595406,177162,1029066,3.068672,504,148122,0
12/31/2005 00:00:00,,,527535,111011,16.36983,335385,696923,0,616148,6.142722,17.575279,2018985,321760,1322062,2.861155,578,301393,0
12/31/2006 00:00:00,,,652356,158702,15.230082,440706,1256161,0,1048782,6.096117,16.251426,3187674,251685,1931513,2.665865,644,379941,0
12/31/2007 00:00:00,,5945.015,941680,230569,13.686801,657141,1728022,0,1150658,6.400977,15.452739,4016508,305433,2288486,2.414122,733,571160,0
12/31/2008 00:00:00,,7299.206,1252812,366468,16.358613,919944,2451342,0,1790668,7.659974,17.537022,5551879,353514,3100537,2.289436,835,755422,0
12/31/2009 00:00:00,0,7429.218,1024946,-53870,,433067,2378589,0,1707833,-0.984128,-2.230674,5395881,314104,3017292,2.266649,787,484499,0
12/31/2010 00:00:00,0,6633.977,951335,-239256,-7.397944,517367,2223761,0,1960536,-4.386962,-10.416852,5511714,443690,3287953,2.370006,713,490879,0
12/31/2011 00:00:00,0,7961.843,1210437,58026,0.942925,601793,2392420,0,1974967,1.021838,2.469097,5845470,511932,3453050,2.460299,756,595837,0
12/31/2012 00:00:00,0,16187.343,1405835,13002,-0.546506,685699,2357392,0,2878185,0.206804,0.547474,6728735,455143,4371343,2.647306,841,564703,0
12/31/2013 00:00:00,0,10633.404,1800997,115722,3.755068,838566,2414452,0,3140516,1.649893,4.8502,7299086,495561,4884634,2.939707,867,747241,0
12/31/2014 00:00:00,0,10664.079,1999903,634382,20.3358,1803514,3457429,0,3030824,7.927947,21.242154,8704604,639677,5247175,2.725479,990,798564,0
12/31/2015 00:00:00,0,9840.829,1713826,-713685,,307901,2759658,0,2651303,-9.14709,-22.973299,6900031,351720,4140373,2.509959,744,449843,0
12/31/2016 00:00:00,0,9862.925,1708666,-521388,,-66783,5408368,0,3773517,-5.735124,-12.772021,11282245,702653,5873877,2.226031,762,327948,0
12/31/2017 00:00:00,0,8656.866,2410797,333146,5.603435,966470,5774272,0,4108806,2.895526,5.958271,11728841,755473,5954569,2.057751,773,627177,0
12/31/2017 00:00:00,0,8656.866,2410797,333146,5.82612367560917,966470,5774272,0,4108806,2.89552609555238,5.95827103438902,11728841,755473,5954569,2.0656906198085,773,628071.006469727,0
