Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1993 00:00:00,,,424.292999,21.735001,,248.402004,56.553,0,1455.884033,,,1756.707031,,1700.154053,,,,0
12/31/1994 00:00:00,,,473.675995,23.377001,-57.998754,297.494003,101.693001,199.139008,1738.952026,1.159017,53.846687,2277.228027,,2175.534912,46.458919,4300,,199.139008
12/31/1995 00:00:00,,,553.656982,59.271,-47.326691,352.398003,319.638008,196,1784.759033,2.452425,60.716647,2556.436035,,2236.798096,25.396227,4100,,196
12/31/1996 00:00:00,,,738.158997,85.254997,-12.74669,465.549011,1945.173965,580.632996,3101.351074,2.01731,12.674388,5895.910156,,3950.736084,7.381949,7400,,580.632996
12/31/1997 00:00:00,,,1054.166992,137.237,-10.770794,685.569,2251.29895,1038.546997,4039.443115,2.024357,9.686068,7662.666992,,5411.368164,6.08068,6300,,1038.546997
12/31/1998 00:00:00,,,1405.55896,175.069,-8.097619,921.024017,4764.171997,2750.2771,5223.095215,1.672128,6.835241,13277,,8512.828125,5.356655,6300,,2750.2771
12/31/1999 00:00:00,,,1892.703003,204.384995,-6.179512,1230.185028,4727.60498,4989.720215,3779.230957,1.486423,6.194391,14223.240234,,9495.637695,5.090645,5840,,4989.720215
12/31/2000 00:00:00,,,2020.751,223.336,-5.367095,1331.04,4467.704,5567.22,3161.362,1.586126,7.151837,13937.945,,9470.241,5.398766,5370,,5567.22
12/31/2001 00:00:00,,,2048.835,199.149,-10.788723,1345.31,4185.782,5504.523,3336.855,1.435365,6.142197,13810.954,,9625.172,5.766302,4170,,5504.523
12/31/2002 00:00:00,,,2124.152,422.588,-4.877999,1409.562,4491.51,5859.555,3686.526,2.943279,14.578732,14904.502,,10412.992,5.840543,4020,,5859.555
12/31/2003 00:00:00,,,2313.653,368.715,-8.764233,1503.926,4455.897,6064.066,4202.322,2.410751,11.25666,15684.721,,11228.824,5.490398,4040,,6064.066
12/31/2004 00:00:00,,,2585.079,342.993,-7.942618,1665.933,6020.65,9534.414,5051.979,1.816953,9.204604,22070.019,,16049.369,5.779493,4610,,9534.414
12/31/2005 00:00:00,,,3166.853,475.749,-21.297552,2023.891,5574.588,9541.625,4564.492,2.202488,11.826445,21131.039,,15556.451,6.356324,4700,,9541.625
12/31/2006 00:00:00,,,3332.154,563.84,-5.890149,2132.947,5174.938,10989.465,4405.024,2.609434,15.368779,22084.455,,16909.517,6.83098,4300,,10989.465
12/31/2007 00:00:00,,3.608462,3650.799,491.239,-9.04163,2410.349,4602.502,11965.615,5253.059,2.150307,14.725331,23605.662,,19003.16,7.712719,5100,,11965.615
12/31/2008 00:00:00,,3.440952,3783.155,463.636,-14.403289,2516.364,3758.088,11788.487,6254.045,1.971727,15.659104,23422.749,,19664.661,8.714712,3500,,11788.487
12/31/2009 00:00:00,,4.633583,3775.216,309.407,-12.528187,2416.182,5713.335,12030.796,6599.506,1.253395,8.098417,25948.266,,20234.931,7.061638,5200,,12030.796
12/31/2010 00:00:00,,24.559899,3957.63,617.038,-3.180758,2760.266,5719.221,10876.137,6597.623,2.429011,13.264759,24857.429,,19138.208,5.520141,5900,,10876.137
12/31/2011 00:00:00,,137.166545,4306.432,1024.799,-0.123514,3055.592,5812.233,11647.689,6798.751,4.012969,21.744282,26216.925,,20404.692,5.436204,3300,,11647.689
12/31/2012 00:00:00,,17.222911,4880.084,1434.496,3.593235,3521.904,7071.095,15094.755,8018.252,4.878945,27.310696,32586.606,,25515.511,5.610716,3400,,15094.755
12/31/2013 00:00:00,,15.695528,4543.849,1319.641,-6.198483,3521.619,7013.117,15407.972,8180.559,4.004301,22.538844,33324.574,,26311.457,5.642928,5700,,15407.972
12/31/2014 00:00:00,,14.739246,4870.818,1408.588,-4.219189,3671.126,5977.042,14657.365,6195.628,4.481888,25.87251,29532.33,,23555.288,5.786389,5000,,14657.365
12/31/2015 00:00:00,,14.234207,5266.103,1827.72,-1.090963,3908.087,5241.906,15813.393,6603.289,6.082515,38.469018,30565.182,,25323.276,6.336094,5000,,15813.393
12/31/2016 00:00:00,,13.238074,5435.229,1838.896,-4.525994,4048.774,5097.674,16512.879,6464.225,5.963785,42.186004,31103.578,,26005.904,7.086557,5000,,16512.879
12/31/2017 00:00:00,,4.765657,5538.64,1947.962,-7.142271,4159.691,4429.244,17719.905,6912.558,6.148752,49.125784,32257.638,,27828.394,8.003264,3300,,17719.905
12/31/2017 00:00:00,,4.765657,5538.641,1947.961,-0.0738246106372648,4159.691,4429.244,17719.905,6912.558,6.14874878663945,49.1257839852407,32257.638,,27828.394,8.67983832390515,3300,,17719.905
