Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1987 00:00:00,,,756.880981,83.133003,,,471.363983,1372.379028,124.904999,,,6955.225098,,6483.860931,,6943,,1372.379028
12/31/1988 00:00:00,,,896.827026,92.348,15.087835,,505.582008,1948.453003,122.746002,1.205023,18.905446,8371.952148,,7866.370224,15.688869,7298,,1948.453003
12/31/1989 00:00:00,,,1091.968018,104.031998,14.954323,,597.17601,2731.572998,114.587997,1.133556,18.867602,9983.021484,,9385.845207,16.644607,7624,,2731.572998
12/31/1990 00:00:00,,,1320.387939,117.327003,14.3346,,695.053986,2804.646973,111.788002,1.084657,18.158842,11650.917969,,10955.864174,16.741555,8129,,2804.646973
12/31/1991 00:00:00,,,1301.671021,139.270004,14.667017,,816.568993,4896.454102,147.013,1.04333,18.426553,15046.300781,,14229.732421,17.661295,8321,,4896.454102
12/31/1992 00:00:00,,,1417.276001,160.442993,14.369634,,953.134994,3846.513916,145.798996,1.017519,18.132184,16489.828125,,15536.693314,17.820002,9338,,3846.513916
12/31/1993 00:00:00,,,1532.282959,179.828995,13.656419,,1104.973984,3862.051025,128.154007,1.021467,17.475167,18720.123047,,17615.149132,17.107914,10117,,3862.051025
12/31/1994 00:00:00,,,1953.572998,220.343002,14.291903,,1337.136055,5560.456055,127.549004,1.067888,18.045297,22546.943359,,21209.806665,16.898119,11528,,5560.456055
12/31/1995 00:00:00,,,2455.690918,247.108994,13.060526,,1587.524018,6159.273926,173.977997,1.022545,16.898305,25785.1875,,24197.662644,16.525726,11324,,6159.273926
12/31/1996 00:00:00,,,2745,293,13.799158,,1775,8196,519,1.022524,17.427385,31524,,29749,17.043503,12792,,8196
12/31/1997 00:00:00,,,3428,380,16.498674,,1995,8251,774,1.093541,20.159151,37975,,35980,18.434748,14199,,8251
12/31/1998 00:00:00,,,4234,436,16.34928,,2311,13908,922,1.025195,20.250813,47082,,44771,19.753135,16816,,13908
12/31/1999 00:00:00,,,4692,619,21.075962,,2652,20557,921,1.14653,24.94459,60896,,58244,21.756599,17213,,20557
12/31/2000 00:00:00,,,5921,595,16.334122,,3262,22938,1219,0.914021,20.121745,69298,,66036,22.014542,17604,,22938
12/31/2001 00:00:00,,,5687,628,13.986211,,3845,23333,1217,0.902338,17.672717,69896,,66051,19.585479,19753,,23333
12/31/2002 00:00:00,,,4900,1015,19.925857,,4787,29298,1270,1.303873,23.517146,85794,,81007,18.036376,19501,,29298
12/31/2003 00:00:00,,,5118,722,10.157585,,5747,25262,2222,0.833103,13.707993,87534,,81787,16.454148,19850,,25262
12/31/2004 00:00:00,,,5861,798,9.793381,,6159,23659,2458,0.87898,13.405006,94040,,87881,15.25063,19062,,23659
12/31/2005 00:00:00,,,7496,838,9.99619,,6367,23318,2659,0.87288,13.380169,97968,,91601,15.328756,20965,,23318
12/31/2006 00:00:00,,,9510,1106,12.314885,,7252,24129,2616,1.077337,16.242015,107353,,100101,15.07607,21700,,24129
12/31/2007 00:00:00,,26.966097,11818,1261,10.145006,,11299,20628,3636,1.00922,13.594954,142543,,131244,13.470756,27110,,20628
12/31/2008 00:00:00,,33.812307,12922,1811,12.506084,,12774,29833,4419,1.145572,16.12438,173631,,160857,14.24849,28475,,29833
12/31/2009 00:00:00,,7.994758,9362,-1881,-15.921037,,14491,24732,8838,-1.134578,-16.105902,157946,,143455,13.06347,,,24732
12/31/2010 00:00:00,,23.902769,9716,1556,9.419321,,17787,16442,8550,0.97723,9.542103,160505,,142718,9.865884,,,16442
12/31/2011 00:00:00,,16.187964,10207,1920,8.308573,,19398,5422,8131,1.017671,10.260324,216827,,197429,10.28573,29740,,5422
12/31/2012 00:00:00,,,10125,2061,7.958654,,20869,4901,7429,0.938078,10.280564,222582,,201713,11.187153,29660,,4901
12/31/2013 00:00:00,,,10295,2136,8.140661,,20378,3799,9699,0.916988,10.440311,243291,,222913,11.569598,29430,,3799
12/31/2014 00:00:00,,18.842196,10687,2037,7.52811,,21473,4856,9588,0.787383,10.015483,274119,,252646,13.132567,29970,,4856
12/31/2015 00:00:00,,11.341487,10760,1980,6.929882,,21135,1754,11497,0.762603,9.760993,245155,,224020,13.713825,32356,,1754
12/31/2016 00:00:00,,14.691841,10635,2143,7.758383,,21219,1585,11430,0.878543,10.836408,242698,,221479,13.431336,33783,,1585
12/31/2017 00:00:00,,19.48066,11774,2177,7.544011,,22317,1144,11620,0.904966,10.762501,238425,,216108,12.990685,36643,,1144
12/31/2017 00:00:00,,19.48066,11773,2177,5.80015042816408,,22317,1144,11620,0.904966089752516,10.7625013500378,238425,,216108,12.3821840580467,36643,,1144
