Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1995 00:00:00,0,,21045,1043,,3032,5151,0,1729,,,12645,2966,7494,,,,0
12/31/1996 00:00:00,0,,22368,1146,13.879841,2965,5901,0,2573,8.304649,20.738328,14954,3158,9053,2.497195,336000,,0
12/31/1997 00:00:00,0,,22458,909,8.742075,2761,6087,41,2583,5.889976,15.165165,15912,3398,9825,2.574741,330000,,41
12/31/1998 00:00:00,0,,24788,1741,19.230769,4202,7173,410,2191,10.558234,26.259427,17067,3717,9894,2.487104,328000,,410
12/31/1999 00:00:00,0,,27052,883,2.147911,5044,12474,512,1912,4.404539,8.98865,23028,4198,10554,2.04077,344000,,512
12/31/2000 00:00:00,0,,29771,2934,19.343509,5685,9735,623,2981,13.130454,26.421721,21662,4501,11927,2.012247,359000,,623
12/31/2001 00:00:00,0,,30321,2399,15.534982,5358,10248,518,4648,10.363299,24.010409,24636,4786,14388,2.316869,371000,,518
12/31/2002 00:00:00,0,,31272,3182,20.675103,5560,12455,1107,3495,12.480144,28.031538,26357,5555,13902,2.246091,360000,,1107
12/31/2003 00:00:00,0,,33485,2898,13.624638,5994,14852,674,3149,10.333209,21.225327,29734,5624,14882,2.054089,355000,,674
12/31/2004 00:00:00,0,,36582,3333,13.262888,6532,16378,1187,3261,10.610932,21.344861,33088,6529,16710,2.011591,384000,15666,1187
12/31/2005 00:00:00,0,,42581,3870,14.442908,7787,16884,821,3159,11.376497,23.269797,34947,6518,18063,2.045427,407000,20064,821
12/31/2006 00:00:00,0,,47547,4202,15.788173,8383,15482,983,3133,12.330355,25.965519,33210,6719,17728,2.105821,428000,13227,983
12/31/2007 00:00:00,0,6.034934,49692,382,-10.092174,2323,12183,3512,7506,1.05741,2.761612,39042,9840,26859,2.611675,425300,7326,3512
12/31/2008 00:00:00,0,6.282454,51486,3003,12.128883,7196,6780,2074,7797,8.468578,31.672204,31879,7817,25099,3.739967,426000,12925,2074
12/31/2009 00:00:00,0,6.242055,45297,1968,2.068008,5255,7696,959,8668,6.172956,27.314365,31883,6239,24187,4.424844,408000,8798,959
12/31/2010 00:00:00,0,10.726019,49545,3338,18.309949,7433,8047,355,10491,10.19548,42.770197,33597,5902,25550,4.195016,400600,10453,355
12/31/2011 00:00:00,0,13.053098,53105,3804,22.885307,7862,7108,33,11095,11.139418,50.672705,34701,6514,27593,4.548954,398000,11184,33
12/31/2012 00:00:00,0,12.147349,54127,807,-24.572211,3201,4733,1812,11089,2.194008,13.809035,38863,8390,34130,6.293977,399000,6495,1812
12/31/2013 00:00:00,0,10.335665,55438,4372,36.038465,8901,6488,87,10824,11.64702,78.583625,36212,7131,29724,6.747102,395000,12261,87
12/31/2014 00:00:00,0,25.351806,58232,3032,12.652351,6891,2158,923,9856,8.463127,70.388857,35440,8621,33282,8.317121,435000,10550,923
12/31/2015 00:00:00,0,11.292243,58363,4844,95.207113,9752,2491,3018,11316,13.136093,210.106268,38311,10696,35820,15.994578,444000,13326,3018
12/31/2016 00:00:00,0,13.724572,60906,3431,45.913043,7691,429,3681,12394,8.720516,238.678261,40377,11730,39948,27.369739,434000,11127,3681
12/31/2017 00:00:00,0,14.608732,65872,4910,282.135231,9811,1030
