Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1991 00:00:00,,,29247.999,13126,,24885,113956,7859,82485.001,,,207203.995,,93248.001,,,,7859
12/31/1992 00:00:00,,,28908.001,16514.999,0.509222,25328,118948.002,11496,92223.999,7.620942,14.181808,226207.001,,107259.003,1.8609,,,11496
12/31/1993 00:00:00,,,36018.002,20055,1.189785,31990.001,184132.007,0,96310.997,7.845769,13.234129,285023.987,,100891.998,1.686786,,,0
12/31/1994 00:00:00,,,42731.998,24952.999,0.978269,36659.999,189180.006,17900,110373.001,8.19305,13.368442,324101.99,,134921.997,1.631681,,,17900
12/31/1995 00:00:00,,,44596.001,13634,-5.616585,28718,187597,16700.001,146059.998,3.997103,7.237172,358092.01,,170494.003,1.810604,,,16700.001
12/31/1996 00:00:00,,,54401.001,30674.999,0.876186,48578.999,325536.014,16125,168270.004,6.988084,11.955964,519830.994,,194294.998,1.710907,19,,16125
12/31/1997 00:00:00,,,73307.999,46478.001,0.169462,68904,469924,240399.994,8670,7.411825,11.685817,734327.026,,264403.015,1.576645,19,,240399.994
12/31/1998 00:00:00,,,96943.001,62308.998,0.309716,90322.998,633759.007,411549.988,7429,6.893538,11.305523,1073423.95,,439665.009,1.757345,23,,411549.988
12/31/1999 00:00:00,,,128604,75638,,121955,706996,467500,71342,6.452117,11.261254,1271171,,564175,2.101353,23,,467500
12/31/2000 00:00:00,,,135270,68056,,126210,698607,374900,64852,5.605758,9.870813,1156904,,458297,2.196154,22,,374900
12/31/2001 00:00:00,,,129369,60549,,123232,757870,412250,78966,4.990137,8.135743,1269843,,511973,2.098396,24,,412250
12/31/2002 00:00:00,,,154928,67659,-5.674731,149784,897232,624500,51831,4.724868,8.012619,1594110,,696878,2.078941,30,,624500
12/31/2003 00:00:00,,,201031,82740,-4.716844,189506,1149679,865000,148184,4.381439,7.86501,2182731,,1033052,2.09982,34,,865000
12/31/2004 00:00:00,,,239055,85371,-5.398327,229242,1335279,1032733,160225,3.60603,6.982541,2552171,,1216892,2.275907,39,,1032733
12/31/2005 00:00:00,,,273538,84286,-7.251161,268452,1430756,1393278,107540,3.051444,5.685295,2972164,,1541408,2.504903,42,,1393278
12/31/2006 00:00:00,,,313449,102750,-7.146212,291146,1981021,1766814,378972,2.833399,5.819347,4280610,,2299589,2.596135,113,,1766814
12/31/2007 00:00:00,,8631.093,453531,141402,-11.431796,394969,2414043,2197192,507476,2.978619,6.261428,5213856,,2799813,2.556459,198,,2197192
12/31/2008 00:00:00,,4009.918,526406,283299,-12.257522,430737,3238285,2401151,446525,4.957596,10.379288,6215031,,2976746,2.280366,203,,2401151
12/31/2009 00:00:00,,4752.502,523288,193269,-8.072931,430353,3807451,1793027,620995,3.072098,5.311421,6367186,,2559735,1.951909,217,,1793027
12/31/2010 00:00:00,,6510.825,578571,128527,-89.176902,404336,4737653,3334949,1134787,1.624978,2.733716,9451734,,4714081,2.022999,263,,3334949
12/31/2011 00:00:00,,7400.176,1313182,217610,-20.89541,823303,7312297,5044107,2196645,1.78542,3.013909,14924606,,7612309,2.338139,308,,5044107
12/31/2012 00:00:00,,12321.589,1805044,297255,-14.5912,1078627,10555111,6114151,2417748,1.724531,2.884189,19549109,,8993998,2.240556,366,,6114151
12/31/2013 00:00:00,,19843.772,2880608,145050,-24.097663,1438586,11791370,7509308,3142706,0.680458,0.800382,23083957,,11292587,2.167514,404,,7509308
12/31/2014 00:00:00,,19026.168,3343546,512153,-4.812589,1718184,13559458,7729405,3047235,2.131889,3.95943,24962923,,11403465,2.12916,438,,7729405
12/31/2015 00:00:00,,10967.246,3859826,883750,-2.569373,1993221,15358968,9383055,3584631,3.27395,6.355277,29023845,,13664877,2.096312,476,,9383055
12/31/2016 00:00:00,,13734.354,4281160,1077803,-1.624308,2149376,15679905,8806619,3551626,3.723687,7.472405,28865184,,13185279,2.136367,466,,8806619
12/31/2017 00:00:00,,10518.064,4316641,522774,-5.984357,1743556,15300646,9050722,2681214,1.840442,3.406622,27944445,,12643799,2.087263,392,,9050722
12/31/2017 00:00:00,,10518.064,4316640,522768,,1743553,15300646,9050722,2681214,1.8404203977463,3.4065702433898,27944445,,12643799,2.024
