Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin
12/31/1987 00:00:00,0,,1770328.979,204914.001,,628203.995,1669089.996,108699.997,1248500,,,4401232.91,455920.99,2732143.036,,8265,1224570.984,108699.997
12/31/1988 00:00:00,0,,2006458.008,214779.999,4.542009,702174.011,1777299.042,13396,1275718.018,4.828289,13.916364,4495500,371782.99,2718200.958,3.182666,8158,1390015.015,13396
12/31/1989 00:00:00,0,,1989713.989,221957.001,4.48654,694335.999,1786476.044,46123.001,1262666.992,4.88445,13.912523,4592811.035,466013,2806335.022,3.120175,8014,1363799.011,46123.001
12/31/1990 00:00:00,0,,2064548.096,195487,2.104501,697230.011,1827599.03,29462,1239519.043,4.179256,11.768977,4762298.828,555122.986,2934700.012,3.104857,7795,1423121.094,29462
12/31/1991 00:00:00,0,,2201157.959,224046.997,2.755653,727509.003,1877338.959,69223.999,1233907.959,4.709414,13.276953,4752557.129,525010.986,2873578.003,3.065432,8126,1535319.946,69223.999
12/31/1992 00:00:00,0,,2159521.973,206440.002,-0.932965,653270.996,1897590.973,220587.006,1299849.976,4.24325,11.895735,4977721.191,667237.976,3080129.944,3.041731,8231,1484331.97,220587.006
12/31/1993 00:00:00,0,,2403991.943,211740.005,1.654998,762207.001,2067922.973,338417.999,1291866.943,4.008163,11.43105,5587717.773,871021.973,3519794.922,3.062844,7880,1597837.951,338417.999
12/31/1994 00:00:00,0,,2486547.119,243475.006,2.997459,787681.976,2137435.974,396144.989,1463354.004,4.2192,12.410574,5953570.801,963645.02,3816135.01,3.098814,7670,1652224.121,396144.989
12/31/1995 00:00:00,0,,2568583.984,275795.013,4.222143,865101.013,2267860.047,383553.986,1542286.011,4.527852,13.4211,6228584.961,991372.986,3960725.037,3.104242,6829,1741580.993,383553.986
12/31/1996 00:00:00,0,,2654206.055,274539.001,3.592032,908832.977,2376348.938,629585.022,1592567.993,4.267838,12.600381,6636899.902,1236400.024,4260551.025,3.090235,6470,1777486.084,629585.022
