Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1998 00:00:00,,,35.237,-112.241997,,-52.952,55.275002,0.025,1.015,,,66.571999,10.282,11.297,,177,-1.288002,0.025,,,,,,,
12/31/1999 00:00:00,14.023,,482.41,-1055.09,,-1056.862,402.636,,,-415.015597,-464.791953,441.886,39.25,,1.111141,373,57.831,,284.25,7.875,34.92,9.6,0,0,0
12/31/2000 00:00:00,39.192,,1235.396,-315.145,,-83.883,-248.907,,359.58,-98.952217,,195.078,79.297,443.985,4.143421,359,192.169,,7.875,34.92,9.6,17.9,1,1,1
12/31/2001 00:00:00,41.293,,1171.753,-7.303,,6.749,146.711,,25.345,-3.194188,,262.19,87.296,115.479,,360,192.906,,34.92,9.6,17.9,23.59,0,0,0
12/31/2002 00:00:00,12.008,,1003.606,-19.184,,22.653,131.65,,13.47,-8.105596,-15.467684,211.162,65.327,79.512,1.700497,290,158.366,,9.6,17.9,23.59,22.32,1,1,1
12/31/2003 00:00:00,8.898,,863.661,11.916,,26.003,149.107,,137.994,4.341411,7.426351,337.784,49.614,188.677,1.955235,293,145.945,,17.9,23.59,22.32,43.61,1,1,1
12/31/2004 00:00:00,,,914.372,31.509,17.227279,44.799,203.457,0,237.888,7.162227,17.227279,542.082,74.377,338.625,2.526536,,198.155,0,23.59,22.32,43.61,114.86,0,1,1
12/31/2005 00:00:00,,,962.66,192.729,67.184195,64.85,392.73,0,237.019,29.739605,67.184195,754.028,71.015,361.298,2.281024,,267.863,0,22.32,43.61,114.86,73.65,1,1,1
12/31/2006 00:00:00,,,1123.103,74.466,,97.027,371.042,0,582.335,8.008492,20.216352,1105.648,100.672,734.606,2.591424,696,401.099,0,43.61,114.86,73.65,218.5,1,1,1
12/31/2007 00:00:00,13.779,3.616735,1409.409,157.082,33.530927,178.636,596.143,569.796,0,12.789069,33.530927,1350.856,694.843,754.713,2.648056,1324,639.412,569.796,114.86,73.65,218.5,399.55,0,1,1
12/31/2008 00:00:00,17.956,6.723694,1884.806,182.246,28.521996,332.542,698.826,317.91,75.075,13.685846,28.521996,1312.421,471.577,613.595,2.084051,1780,955.971,317.91,73.65,218.5,399.55,467.71,1,1,1
12/31/2009 00:00:00,19.139,4.279963,2338.212,489.472,47.60382,510.028,1357.614,159.878,0,31.110723,47.60382,1834.224,408.765,476.61,1.530142,2010,1260.763,159.878,218.5,399.55,467.71,621.2,1,1,1
12/31/2010 00:00:00,20.998,7.482785,3084.905,527.541,33.272974,837.261,1859.125,0.175,476.23,22.258283,33.272974,2905.953,471.168,1046.828,1.494858,3400,1908.971,0.175,399.55,467.71,621.2,1162.4,1,1,1
12/31/2011 00:00:00,33.813,9.057771,4355.61,1056.371,47.317543,1452.746,2778.7,497.64,0,30.723535,47.317543,3970.671,1105.798,1191.971,1.540107,,3079.88,497.64,467.71,621.2,1162.4,1140.21,1,1,1
12/31/2012 00:00:00,43.685,10.307531,5260.956,1419.566,42.995751,1894.934,4111.917,520.344,881.996,26.935681,42.995751,6569.742,1461.726,2457.825,1.596238,9500,4083.681,520.344,621.2,1162.4,1140.21,1274.95,1,1,1
12/31/2013 00:00:00,71.89,,6793.306,1892.663,34.823952,2530.389,6918.262,151.931,1742.047,22.248037,34.823952,10444.46,1381.745,3526.198,1.56526,9500,5715.886,151.931,1162.4,1140.21,1274.95,1466.06,0,0,0
12/31/2014 00:00:00,97.498,21.966094,8441.971,2421.753,31.27812,3281.132,8567.023,37.15,3823.87,19.208495,31.27812,14770.977,1378.703,6203.954,1.628348,12700,7584.13,37.15,1140.21,1274.95,1466.06,1737.74,1,1,1
12/31/2015 00:00:00,113.617,15.006258,9223.987,2551.36,29.38933,3531.401,8795.469,0,6158.443,15.851115,29.38933,17420.575,1439.31,8625.106,1.854086,15500,8591.807,0,1274.95,1466.06,1737.74,,1,1,
12/31/2016 00:00:00,142.393,16.846213,10743.006,2134.987,22.902488,3215.448,9848.68,967.734,6170.522,11.46008,22.902488,19838.973,2858.67,9990.293,1.998458,18500,10314.692,967.734,1466.06,1737.74,,,1,,
12/31/2017 00:00:00,189.344,,12681.082,2340.765,22.174482,4900.766,11263.561,710.91,8809.788,10.336731,22.174482,25451.263,3497.868,14187.702,2.145212,22900,12430.545,710.91,1737.74,,,,,,
12/31/2017 00:00:00,189.344001953125,16.846213,12681.082,2340.765,,4900.766,11263.561,710.91,8809.788,10.3367312989934,22.1744816194548,25451.263,3497.868,14187.702,2.12175848270697,22900,12430.5452949219,710.91,1737.74,,,,,,
