Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1996 00:00:00,,,226.029999,40.568001,,151.438,,,,,,,,,,,,,,,,,,,
12/31/1997 00:00:00,,,255.108,48.869,,174.054,275.684,233,1099.253,,,1672.521,,1396.837,,323,,233,33.1875,30.5,31.125,43.5,False,False,False
12/31/1998 00:00:00,,,513.847,93.112,-0.789802,340.853,2027.715,15,3073.724,2.695926,16.574917,5235.087,,3207.372,6.148135,548,,15,30.5,31.125,43.5,38,False,True,False
12/31/1999 00:00:00,,,786.564026,119.776001,-0.195808,507.840996,1939.526006,366,2955.583984,2.245128,11.360363,5434.771973,,3495.246094,5.318853,600,,366,31.125,43.5,38,36.86,True,True,False
12/31/2000 00:00:00,,,879.353027,152.998001,0.077818,578.992996,2625.441992,0,3414.891113,2.624043,10.825157,6226.470215,,3601.028076,4.310532,600,,0,43.5,38,36.86,48.19,False,False,False
12/31/2001 00:00:00,,,1046.52,208.032,0.061875,678.888994,2698.813,,4314.942,3.086533,11.843142,7253.51,,4554.697,3.962602,675,,,38,36.86,48.19,64.67,False,True,True
12/31/2002 00:00:00,,,1184.915039,444.382996,9.898375,745.192978,3004.171,880.101,4267.119,5.667893,22.53495,8427.203,,5423.032,4.006659,675,,880.101,36.86,48.19,64.67,74.13,True,True,True
12/31/2003 00:00:00,,,1299.708984,365.321991,2.450523,806.778,3230.295899,1533.319946,3471.399902,4.303398,16.023763,8551.099609,,5320.804199,3.723514,662,,1533.319946,48.19,64.67,74.13,111.88,True,True,True
12/31/2004 00:00:00,,,1386.346,284.017,-1.097952,870.233,3722.401,1470.683,3541.131,3.224841,10.644844,9063.228,,5340.827,3.30089,667,,1470.683,64.67,74.13,111.88,91.81,True,True,True
12/31/2005 00:00:00,,,1437.635,438.292,-7.191009,892.952,3656.614,1529.062,3297.192,4.879237,14.975589,8902.368,,5245.754,3.069248,673,,1529.062,74.13,111.88,91.81,55,True,True,False
12/31/2006 00:00:00,,,1417.627,873.635,-2.988164,901.778,3846.734,1921.475,2679.462,9.395243,28.454515,9695.022,,5848.288,3.028609,650,,1921.475,111.88,91.81,55,67.07,False,False,False
12/31/2007 00:00:00,,6.222762,1482.289,1324.69,2.086803,931.75,4322.717,2766.039,2726.127,12.683949,38.441097,11192.637,,6869.92,3.030688,660,,2766.039,91.81,55,67.07,86.1,False,False,False
12/31/2008 00:00:00,,8.863187,1488.4,105.27,-6.009271,900.495,4314.757,3432.242,2660.642,0.952234,2.861446,10917.476,,6602.719,3.004982,700,,3432.242,55,67.07,86.1,99.6,True,True,True
12/31/2009 00:00:00,,5.836861,1518.19,231.014,-1.344193,889.212,5124.711,4076.47,2643.301,1.985835,5.679512,12348.703,,7223.992,2.860011,680,,4076.47,67.07,86.1,99.6,105.81,True,True,True
12/31/2010 00:00:00,,8.139362,1543.31,159.072,-2.775011,947.443,5019.845,4738.415,3047.586,1.238061,3.607629,13348.263,,8328.418,2.913936,,,4738.415,86.1,99.6,105.81,100.37,True,True,False
12/31/2011 00:00:00,,9.993445,1722.792,272.679,-0.831274,1044.35,5469.168,5580.871,3123.267,1.938621,5.903011,14782.966,,9313.798,3.044953,700,,5580.871,99.6,105.81,100.37,128.69,False,False,False
12/31/2012 00:00:00,,10.673309,1847.186,289.65,-2.448371,1094.365,5843.288,4639.528,4272.841,1.91534,5.814477,15462.321,,9619.033,3.035742,730,,4639.528,105.81,100.37,128.69,127.54,False,True,False
12/31/2013 00:00:00,,30.02943,2135.539,749.811,-3.098885,1243.517,7194.539,6580.734,4760.774,4.207861,13.94508,20176.264,,12981.725,3.350052,760,,6580.734,100.37,128.69,127.54,125.78,True,True,False
12/31/2014 00:00:00,,6.437541,2396.998,443.611,-11.846244,1430.395,8008.261,5287.704,4619.28,2.214565,7.847315,19886.767,,11878.506,3.629407,750,,5287.704,128.69,127.54,125.78,130.03,False,False,False
12/31/2015 00:00:00,,8.769765,2490.821,583.106,-3.817592,1488.907,7886.927,5264.819,3743.724,3.049857,10.40465,18351.486,,10464.559,3.474078,765,,5264.819,127.54,125.78,130.03,,False,False,
12/31/2016 00:00:00,,10.002021,2550.82,512.785,1.577022,1520.187,7931.924,7245.953,2370.18,2.756677,9.078208,18851.643,,10919.719,3.362013,785,,7245.953,125.78,130.03,,,False,,
12/31/2017 00:00:00,,10.062297,2602.076,462.439,-0.328381,1525.657,8102.456,7292.33,2979.281,2.419634,8.091832,19372.233,,11269.777,3.421935,740,,7292.33,130.03,,,,,,
12/31/2017 00:00:00,,10.062297,2602.076,462.458,-1.53229787439573,1525.657,8102.456,7292.33,2979.281,2.41973367640686,8.09217195816173,19372.233,,11269.777,3.45081158961297,740,,7292.33,130.03,,,,,,
