Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/2002 00:00:00,,,1170276.978,18726.999,,121386.003,256956.002,133904.999,499003.998,,,1324875.977,431087.006,1067919.998,,,623183.96,133904.999,,,,,,,
12/31/2003 00:00:00,,,1630073.975,-34703.999,,155269.001,339584.99,281421.997,791419.983,-1.961588,-11.879439,2213480.957,833416.992,1873895.981,6.056031,13500,833665.955,281421.997,,,,,,,
12/31/2004 00:00:00,,,2365096,64725,14.498078,251439,565873,171923,600884,2.886212,14.498078,2271636,809088,1705763,5.023219,13500,1161331,171923,,,,,,,
12/31/2005 00:00:00,,,2910641,217341,32.112249,417922,800509,284065,549156,8.54444,32.112249,2815672,1137803,2015163,3.758262,14500,1440554,284065,,,,,,,
12/31/2006 00:00:00,,,4032027,318571,,617734,1259777,181900,2185150,7.273059,32.25503,5944631,1954662,4684854,4.434864,24000,1921515,181900,,,,,,,
12/31/2007 00:00:00,,6087.624,6034249,390505,35.988193,788366,1252156,706757,1991857,6.408443,35.988193,6242573,2428361,4990417,5.615747,29000,2833531,706757,,,,,,,
12/31/2008 00:00:00,,3347.719,5128817,-1012066,,455106,345723,633099,2287001,-18.453226,-183.473422,4726414,1872845,4380691,9.94262,30000,2202096,633099,,,,,,,
12/31/2009 00:00:00,0,7224.535,4165820,33341,8.964948,341889,784295,638375,2372302,0.68281,8.964948,5039406,1629041,4255111,13.12949,29000,1717935,638375,,,,,,,
12/31/2010 00:00:00,0,11539.125,5115316,200345,26.063901,555341,1065795,663666,1851901,3.943421,26.063901,5121568,1956768,4055773,6.609464,31000,2155146,663666,,,,,,,
12/31/2011 00:00:00,0,5350.398,5905411,239162,23.223039,579792,1417163,972161,2611187,3.875984,23.223039,7219143,2680648,5801980,5.991521,,2448281,972161,,,,,,,
12/31/2012 00:00:00,0,8141.786,6514099,315555,23.455304,755986,1681812,1207729,2543707,4.199369,23.455304,7809542,2972293,6127730,5.585435,,2771585,1207729,,,,,,,
12/31/2013 00:00:00,0,5541.213,7184794,316538,18.430182,807398,1936006,621359,1866890,4.275242,18.430182,6998414,2605740,5062408,4.310909,,2995405,621359,,,,,,,
12/31/2014 00:00:00,0,6367.953,9049918,484503,23.317993,1057355,2301398,548457,1808605,6.652326,23.317993,7568010,2928765,5266612,3.505239,52000,3438656,548457,,,,,,,
12/31/2015 00:00:00,0,7696.23,10855810,547132,22.006394,1150040,2759070,1785225,2645111,5.887586,22.006394,11017943,4994157,8258873,3.737762,70000,3772878,1785225,,,,,,,
12/31/2016 00:00:00,0,4960.794,13071589,571973,19.974127,1182414,3057245,1254680,2548126,5.248053,19.974127,10779587,4525429,7722342,3.806007,75000,3947862,1254680,,,,,,,
12/31/2017 00:00:00,0,8610.288,14209608,691479,19.661278,1477556,4079548,910790,1999603,6.211796,19.661278,11483830,4606645,7404282,3.165152,80000,4316382,910790,,,,,,,
12/31/2017 00:00:00,0,8610.288,14209608,691479,19.6612783460482,1477556,4079548,910790,1999603,6.21179579037665,19.6612783460482,11483830,4606645,7404282,2.96047857298238,80000,4316381.99072266,910790,,,,,,,
