Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
12/31/1999 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2000 00:00:00,,,226.552,-5.909,,25.406,163.671,0,6.063,,,381.444,198.294,217.773,,,226.552,0,,,,,,,
12/31/2001 00:00:00,,,387.674,75.108,36.45692,163.926,248.366,0,6.65,6.135467,36.45692,2066.878,1801.845,1818.512,5.941996,1057,,0,,,,,,,
12/31/2002 00:00:00,,,461.339,94.067,22.109848,217.14,446.139,0,2.328,3.469894,27.088934,3355.016,2889.494,2908.877,7.806847,1156,,0,,,,,,,
12/31/2003 00:00:00,,,535.539,122.132,20.116654,258.639,562.995,0,0,2.968818,24.205309,4872.636,4287.975,4309.641,8.153181,1221,,0,,,,,,,
12/31/2004 00:00:00,,,738.282,219.555,26.849316,425.918,812.597,0,0,5.68052,31.921529,2857.466,2025.623,2044.869,5.619473,1283,,0,,,,,,,
12/31/2005 00:00:00,0,,948.491,306.857,25.226469,602.001,1118.684,0,0,8.989697,31.777561,3969.394,2829.927,2850.71,3.534887,1321,,0,,,,,,,
12/31/2006 00:00:00,0,,1089.947,407.348,24.248534,695.128,1519.092,0,0,9.844199,30.885716,4306.505,2755.354,2787.413,3.137453,1430,,0,,,,,,,
12/31/2007 00:00:00,0,3.604984,1756.101,658.533,7.333974,1200.331,12305.637,164.435,0,5.351164,9.526885,20306.197,4076.063,8000.56,1.780339,1970,,164.435,,,,,,,
12/31/2008 00:00:00,0,4.079484,2561.019,715.486,0.978255,1823.057,18688.569,249.85,2966.079,2.090083,4.616902,48158.654,18642.975,29470.085,2.208956,2300,,249.85,41.622,67.19,64.35,48.734,True,True,False
12/31/2009 00:00:00,0,4.729014,2612.8,825.8,2.738646,1840.5,19301,299.8,2014.7,1.970656,4.347509,35651,6523.6,16350,2.206123,,,299.8,67.19,64.35,48.734,50.71,False,False,False
12/31/2010 00:00:00,0,6.906028,3003.7,951.4,4.524289,2089.1,20128.2,420.5,2104.8,2.691482,4.834214,35046.1,4781.2,14917.9,1.796116,,,420.5,64.35,48.734,50.71,78.46,False,False,False
12/31/2011 00:00:00,0,6.000074,3280.6,1812.3,8.352219,2281.6,21622.3,0,2106.8,4.781491,8.710447,40758.7,9615.2,19136.4,1.821701,,,0,48.734,50.71,78.46,88.65,False,True,True
12/31/2012 00:00:00,0,9.349773,2914.6,896.3,-1.541501,1945.1,21505.7,749.7,2106.8,2.251391,4.171641,38863.2,7616.9,17357.5,1.852917,2600,,749.7,50.71,78.46,88.65,90.6,True,True,True
12/31/2013 00:00:00,0,4.149354,2936.3,976.8,-2.34322,1875.1,21160.5,749.9,2107.2,2.097465,4.588727,54277.8,23311,33117.3,2.187749,2730,,749.9,78.46,88.65,90.6,115.35,True,False,True
12/31/2014 00:00:00,0,5.368575,3112.5,1127.1,-0.842715,2001.6,20923.5,0,2107.9,1.781704,5.357156,72241.5,41531.2,51318,3.006759,2680,,0,88.65,90.6,115.35,146.05,False,True,True
12/31/2015 00:00:00,0,4.918001,3326.8,1247,-1.975634,2217.3,20551.8,0,2229.3,1.786521,6.013218,67359.4,36824.5,46807.6,3.36588,2530,,0,90.6,115.35,146.05,,True,True,
12/31/2016 00:00:00,0,8.40048,3595.2,1534.1,-1.873693,2428,20340.7,0,2231.2,2.244004,7.503087,69369.4,38945.6,49028.7,3.343616,2700,,0,115.35,146.05,,,True,,
12/31/2017 00:00:00,0,12.142855,3644.7,4063.4,9.238758,2520.5,22411.8,0,2233.1,5.598489,19.008947,75791.2,45672.9,53379.4,3.395371,2830,,0,146.05,,,,,,
12/31/2017 00:00:00,0,12.142855,3644.7,4063.4,9.88426121188417,2520.5,22411.8,0,2233.1,5.59848884614696,19.0089468452137,75791.2,45672.9,53379.4,3.56121795834614,2830,,0,146.05,,,,,,
