Date,Rdexpense,Ceo,Revenue,NetIncome,SustGrowthRate,Ebitda,TotalEquity,ShortTermDebt,LongTermDebt,ReturnOfAssets,ReturnOfEquity,TotalAssets,TotalCurrentLiab,TotalLiab,FinLeverage,NumOfEmployees,GrossProfit,OperatingMargin,StockNow,TargetStock1Year,TargetStock2Year,TargetStock3Year,TargetStock1YGrowth,TargetStock2YGrowth,TargetStock3YGrowth
8/2/1987 00:00:00,44799.999,,4490399.902,247300.003,,564000,1759599.953,93500,380200.012,,,3090000,686400.024,1330400.024,,49226,1309899.902,93500,,,,,,,
7/31/1988 00:00:00,46900.002,,4868899.902,274100.006,8.560999,625299.988,1924300.022,138000,525799.988,8.182578,15.097354,3609600.098,863299.988,1685299.988,1.845061,48389,1476099.854,138000,,,,,,,
7/30/1989 00:00:00,47700.001,,5672100.098,13100,-4.007291,727800.003,1833199.951,271500,629200.012,0.347402,0.713255,3932100.098,1232099.976,2098899.994,2.053113,55412,1670500,271500,,,,,,,
7/29/1990 00:00:00,53700.001,,6205799.805,4400,-6.910412,806800.018,1748099.972,202300.003,805799.988,0.109348,0.253595,4115600.098,1298099.976,2367499.97,2.319155,49941,1947599.61,202300.003,,,,,,,
7/28/1991 00:00:00,56299.999,,6204100.098,401500,15.149776,983899.994,1816900.047,282200.012,772599.976,9.716139,23.040284,4149000,1278000,2332099.976,2.371342,44934,2108600.098,282200.012,,,,,,,
8/2/1992 00:00:00,59700.001,,6263200.195,490500,16.325569,1108400.009,2049999.976,293700.012,693299.988,11.537376,25.673907,4353799.805,1299699.951,2303799.927,2.225281,43256,2300100.097,293700.012,,,,,,,
8/1/1993 00:00:00,68800.003,,6586200.195,8200,0.069717,1216799.973,1703999.97,669400.024,461899.994,0.177272,0.43949,4897500,1850500,3193499.97,2.479178,43256,2558400.146,669400.024,,,,,,,
7/31/1994 00:00:00,78000,,6690000,630000,19.712971,1323000,1989000,434000,560000,12.740786,34.118603,4992000,1665000,3003000,2.677904,44738,2712000,434000,,,,,,,
7/30/1995 00:00:00,88000,,7278000,698000,18.083913,1441000,2468000,865000,857000,12.346334,31.321517,6315000,2164000,3847000,2.536908,43781,3014000,865000,,,,,,,
7/28/1996 00:00:00,84000,,7678000,802000,17.504798,1643000,2742000,865000,744000,12.38897,30.786948,6632000,2229000,3890000,2.485029,40650,3315000,865000,,,,,,,
8/3/1997 00:00:00,68000,,6614000,713000,15.185689,1776000,1503000,1506000,1151000,11.116308,34.262374,6196000,2769000,4693000,3.082172,37000,3202000,1506000,,,,,,,
8/2/1998 00:00:00,71000,,6696000,660000,26.223517,1835000,878000,1401000,1169000,11.159016,57.541412,5633000,2803000,4755000,5.156495,24250,3463000,1401000,55.5625,43.8125,26.6875,26.92,False,False,False
8/1/1999 00:00:00,66000,,6424000,724000,60.955816,1561000,235000,1987000,1330000,12.980726,130.568079,5522000,3146000,5287000,10.058611,24500,3374000,1987000,43.8125,26.5,26.77,23.06,False,False,False
7/30/2000 00:00:00,64000,,6466000,714000,178.494624,1516000,137000,1873000,1218000,13.323381,383.870968,5196000,3032000,5059000,28.811828,22000,3359000,1873000,26.5,26.97,22.9,24.02,False,False,False
